num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,8388608,sequential,1000,7.429654,7.404,0.5118095283181794,7.37,7.394,7.416,7.382,7.45,21.25,52
3,8388608,sequential,1000,7.499252,7.228,3.475219735312388,7.19,7.216,7.24,7.204,7.292,68.618,65
4,8388608,sequential,1000,7.62815,7.229,4.248794350746449,7.194,7.218,7.244,7.206,7.4001,69.152,110
5,8388608,sequential,1000,15.501364,15.264,4.023633222326783,14.878,14.9315,15.294,14.894,15.326,76.304,10
6,8388608,sequential,1000,15.33263,15.292,0.6780747041472676,15.238,15.273499999999999,15.308,15.252,15.328,28.774,6
7,8388608,sequential,1000,15.338164,15.286,1.5474334633280449,14.874,15.266,15.304,14.927900000000001,15.328,60.09,103
8,8388608,sequential,1000,15.29481,15.242,2.668185566657259,14.878,14.928,15.288499999999999,14.8979,15.326,66.86,8
9,8388608,sequential,1000,21.753454,21.395,4.992103222537417,20.872,20.93,21.442,20.8859,21.474,82.976,16
10,8388608,sequential,1000,21.484906,21.434,0.7001606788017591,21.382,21.408,21.458,21.39,21.4741,35.976,6
11,8388608,sequential,1000,21.318878,20.924,4.061539142409109,20.874,20.898,20.95,20.88,20.9721,72.882,29
12,8388608,sequential,1000,21.372558,20.946,3.4610400556628784,20.872,20.908,21.402,20.882,21.466,73.752,11
13,8388608,sequential,1000,21.619494,20.956,4.796345972785392,20.874,20.916,21.424,20.882,21.472,89.888,14
14,8388608,sequential,1000,21.41076,21.356,0.7273983907177819,21.306,21.33,21.380499999999998,21.312,21.404,35.304,6
15,8388608,sequential,1000,21.48555,21.334,3.4347794326930585,20.8,20.88,21.372,20.812,21.3981,72.448,11
16,8388608,sequential,1000,21.480768,20.947000000000003,4.180424309275505,20.874,20.91,21.4045,20.88,21.47,81.77,13
17,8388608,sequential,1000,21.430918,21.35,2.260408889033491,20.8,21.318,21.376,20.832,21.396,73.082,151
18,8388608,sequential,1000,21.41647,21.34,2.6655301345132076,20.8,20.888,21.372,20.8199,21.4,73.102,9
19,8388608,sequential,1000,21.511558,21.396,3.4928712862712903,20.872,20.93,21.444,20.884,21.48,72.98,11
20,8388608,sequential,1000,21.680618,20.996,4.878576640385197,20.874,20.922,21.434,20.884,21.4701,82.824,15
21,8388608,sequential,1000,21.510682,20.956,4.093089598009471,20.872,20.914,21.422,20.882,21.47,82.316,13
22,8388608,sequential,1000,21.705774,20.954,5.1213945760239294,20.872,20.914,21.422,20.882,21.474,82.66,17
23,8388608,sequential,1000,21.28246,20.946,2.6847938159631988,20.872,20.91,21.406,20.882,21.468,72.742,9
24,8388608,sequential,1000,21.379906,20.926,4.51706694669948,20.872,20.896,20.95,20.88,20.968,82.642,24
25,8388608,sequential,1000,21.567936,20.926,5.340482530779926,20.872,20.9,20.95,20.88,20.9741,73.646,39
26,8388608,sequential,1000,21.388522000000002,20.926,4.4291759905733565,20.872,20.898,20.952,20.88,21.4042,82.368,57
27,8388608,sequential,1000,21.113092,20.866,3.1381380106218577,20.802,20.842,20.89,20.824,20.9101,73.012,14
28,8388608,sequential,1000,21.320602,20.952,2.8840486240807492,20.872,20.914,21.42,20.882,21.468,82.97,9
29,8388608,sequential,1000,21.397114,20.874,4.079198584047128,20.798,20.838,21.33,20.808,21.394,73.098,13
30,8388608,sequential,1000,21.239,20.872,3.8225621603146585,20.816,20.842,20.896,20.824,21.346,73.238,64
31,8388608,sequential,1000,21.92221,20.892,6.359622169440417,20.816,20.856,21.358,20.826,21.418,82.86,23
32,8388608,sequential,1000,21.55076,21.354,3.1756028283971096,20.802,21.328,21.384,20.86,21.414,82.642,105
33,8388608,sequential,1000,21.782018,21.434,3.868861539689588,21.382,21.408,21.46,21.39,21.4801,74.612,19
34,8388608,sequential,1000,21.487754,21.434,0.7204183132250527,21.382,21.408,21.458,21.39,21.474,34.718,6
35,8388608,sequential,1000,21.667628,21.388,4.630185902434923,20.874,20.922,21.4345,20.8859,21.4721,82.364,15
36,8388608,sequential,1000,21.32384,20.868,4.487146758066692,20.816,20.842,20.892,20.824,20.924,82.208,31
37,8388608,sequential,1000,21.267312,20.948999999999998,2.6394244858060008,20.874,20.908,21.4065,20.882,21.468,72.304,7
38,8388608,sequential,1000,21.43855,20.956,3.6073900765878735,20.874,20.9155,21.424,20.882,21.47,82.97,11
39,8388608,sequential,1000,23.01918,22.642,2.69901410680803,22.454,22.572,23.122,22.516,23.19,74.888,9
40,8388608,sequential,1000,23.08057,22.535,4.881393657875089,22.43,22.504,22.566,22.4699,22.612,74.96,28
