size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
808560,101070,random,1000,35.11689,34.805,4.275065857736929,33.496,34.537499999999994,35.075,34.2256,35.6441,130.054,29
820320,102540,random,1000,35.621086,34.972,10.424406209920708,33.732,34.688,35.2305,34.2958,35.7361,274.522,31
832248,104031,random,1000,35.280398,35.1,2.85155478612884,34.09,34.8515,35.322,34.492,35.7121,115.644,23
844360,105545,random,1000,35.518756,35.178,6.127404287605622,34.08,34.9195,35.4585,34.5478,35.89,222.176,23
856640,107080,random,1000,35.92622,35.36,11.196468989347911,33.998,35.096,35.614,34.731899999999996,36.042,371.24,25
869096,108637,random,1000,35.610364,35.501000000000005,1.2246587608736503,33.936,35.2495,35.768,34.8938,36.158,57.646,25
881736,110217,random,1000,35.846156,35.619,3.441056475754696,34.476,35.354,35.88,34.9978,36.3581,136.266,21
894568,111821,random,1000,35.938586,35.74,3.1513507821815643,34.69,35.49,35.976,35.1698,36.3722,127.232,27
907576,113447,random,1000,38.697904,35.885000000000005,85.13232630843274,34.834,35.62,36.156,35.2299,36.584500000000006,2727.772,25
920776,115097,random,1000,36.889586,35.988,13.9407743885035,34.872,35.734,36.304500000000004,35.3797,36.8083,421.848,31
934168,116771,random,1000,36.98715,36.124,15.510753970914703,34.948,35.88,36.3825,35.4798,36.788599999999995,431.154,31
947760,118470,random,1000,36.564102,36.22,5.303669023110577,35.158,35.986,36.458,35.6778,36.8726,190.274,32
961544,120193,random,1000,36.625364,36.406,3.1019570837220254,35.178,36.157000000000004,36.628,35.84,37.1047,123.056,28
975528,121941,random,1000,36.623238,36.516999999999996,1.253122926302294,35.204,36.291,36.7425,35.8837,37.2002,61.77,35
989720,123715,random,1000,36.719104,36.61,1.2454158959712769,35.308,36.336,36.8665,35.991299999999995,37.334,58.478,22
1004112,125514,random,1000,37.070574,36.761,5.917438907309965,35.724,36.5395,37.02,36.2276,37.392300000000006,219.708,22
1018720,127340,random,1000,37.506454,36.870999999999995,16.780949874085213,35.868,36.5975,37.112,36.2919,37.5344,566.18,24
1033536,129192,random,1000,36.985018,36.878,1.2041464297585656,35.648,36.636,37.126,36.3,37.5123,59.86,18
1048568,131071,random,1000,37.368596,37.0,6.177516253628788,36.04,36.752,37.239,36.432,37.616,205.306,23
1063824,132978,random,1000,37.263246,37.156,1.1858534191947232,36.128,36.912,37.418,36.5056,37.8182,60.344,14
1079296,134912,random,1000,37.835768,37.262,10.206086918518986,36.266,37.0215,37.5255,36.716,37.932500000000005,298.04,17
1095000,136875,random,1000,38.194174,37.375,13.881480991314875,36.298,37.148,37.642,36.8399,38.0124,369.7,27
1110920,138865,random,1000,37.5976,37.483000000000004,1.2002356858974415,36.45,37.2515,37.726,36.8956,38.1561,60.878,20
1127080,140885,random,1000,37.78674,37.548,3.3576391242789763,36.45,37.317499999999995,37.7785,37.0239,38.1884,131.604,20
1143472,142934,random,1000,37.88976,37.724999999999994,2.4522190768364887,36.578,37.46,37.944,37.0739,38.3001,89.908,20
1160112,145014,random,1000,37.946404,37.81,1.7420572505656202,36.83,37.5775,38.0065,37.1918,38.4561,78.698,25
1176984,147123,random,1000,38.784022,37.917,20.73493170232823,36.774,37.686,38.1745,37.3018,38.642,685.17,26
1194104,149263,random,1000,38.132836,38.01,1.45015721943004,36.888,37.788,38.2385,37.4292,38.6282,64.37,27
1211472,151434,random,1000,38.322138,38.114999999999995,3.3875584318333294,37.17,37.894,38.3365,37.5958,38.6982,138.684,21
1229088,153636,random,1000,38.522612,38.146,7.316499832245692,36.94,37.9355,38.364,37.615899999999996,38.742,260.542,24
1246968,155871,random,1000,39.040828,38.216,22.79591175968558,37.142,37.9695,38.450500000000005,37.6519,38.8204,758.156,24
1265104,158138,random,1000,38.863466,38.358999999999995,10.009834431807361,37.35,38.091499999999996,38.578,37.7778,39.0161,334.052,23
1283512,160439,random,1000,38.567638,38.473,1.1959168106410971,37.476,38.2315,38.69,37.8951,39.038,61.814,18
1302176,162772,random,1000,38.760624,38.551,3.395098481093048,37.606,38.335,38.776,38.085499999999996,39.1182,139.632,16
1321120,165140,random,1000,38.739442,38.641000000000005,1.1781101766066806,37.546,38.425,38.846999999999994,38.088,39.194,60.752,22
1340336,167542,random,1000,39.082564,38.713,8.913009206267827,37.748,38.472,38.918,38.1298,39.288,318.122,16
1359832,169979,random,1000,39.351416,38.788,11.012527575381709,37.916,38.5535,39.04,38.252,39.438,369.268,18
1379608,172451,random,1000,39.496878,38.84,12.783913533748356,37.54,38.622,39.072500000000005,38.3095,39.440599999999996,433.278,29
1399680,174960,random,1000,39.17585,38.93,3.1066724492947766,38.014,38.7475,39.168,38.4559,39.570100000000004,125.276,19
1420032,177504,random,1000,39.167532,39.042,1.2743664586165342,38.182,38.86,39.2425,38.5577,39.6242,66.77,31
1440688,180086,random,1000,39.68247,39.072,10.76913878884256,37.966,38.8555,39.323,38.4738,39.7505,311.386,28
1461648,182706,random,1000,39.688676,39.144999999999996,10.661421355914621,38.236,38.9195,39.3805,38.5538,39.778,359.168,20
1482904,185363,random,1000,41.309522,39.284,60.48614439422631,38.098,39.078,39.4945,38.769800000000004,39.816,1951.762,23
1504472,188059,random,1000,39.529042,39.339,3.032682872250186,38.316,39.1315,39.5625,38.846,39.9183,130.206,23
1526360,190795,random,1000,39.549504,39.452,1.3523368992499882,38.226,39.213499999999996,39.65,38.853899999999996,40.006,62.046,23
1548560,193570,random,1000,39.723482,39.528,3.675352794200556,38.354,39.284,39.734,38.9297,40.0645,149.212,22
1571088,196386,random,1000,39.667128,39.581,0.9603861166786561,38.684,39.372,39.7825,39.0778,40.142,52.95,16
1593936,199242,random,1000,39.843026,39.653000000000006,3.1309603012066014,38.636,39.456,39.866,39.167899999999996,40.1863,134.418,23
1617120,202140,random,1000,39.787714,39.684,1.1057001614592679,38.57,39.4615,39.8885,39.1438,40.270500000000006,55.412,28
1640640,205080,random,1000,40.07092,39.754,5.857193025309627,38.598,39.544,39.9945,39.194,40.3102,218.984,21
1664504,208063,random,1000,39.938154,39.836,1.188370327936675,38.984,39.64,40.01,39.3615,40.3244,62.886,16
1688720,211090,random,1000,40.108594,39.928,2.5350547705826503,39.048,39.716,40.1205,39.45,40.4424,106.542,20
1713280,214160,random,1000,40.210924,39.986,4.173877855733033,39.142,39.8,40.202,39.5079,40.520500000000006,168.732,19
1738200,217275,random,1000,40.608248,40.032,10.525401334474033,38.926,39.806,40.2685,39.482,40.692,312.254,24
1763480,220435,random,1000,42.187946,40.128,39.099858172609814,39.206,39.906,40.3265,39.6339,40.6421,1105.006,28
1789136,223642,random,1000,40.385566,40.172,3.627464049590991,39.226,39.968,40.3985,39.698,40.6989,150.688,16
1815160,226895,random,1000,46.866784,40.278999999999996,196.6781360287948,39.384,40.076,40.514,39.7737,41.4115,6259.242,60
1841560,230195,random,1000,41.042462,40.272,14.51962633084417,39.146,40.08,40.492,39.8239,40.8681,437.374,31
1868344,233543,random,1000,40.62168,40.357,5.000556441669899,39.45,40.183,40.554500000000004,39.9599,40.8701,195.702,20
1895520,236940,random,1000,40.611606,40.426,3.3213415745175348,39.468,40.189499999999995,40.636,39.8676,40.9347,140.362,17
1923088,240386,random,1000,43.804686,40.476,96.4948186185851,39.504,40.2575,40.6605,39.9818,40.9961,3085.086,25
1951064,243883,random,1000,41.266912,40.528,8.134731437965474,39.734,40.3375,40.718500000000006,40.082,41.042500000000004,226.776,28
1979440,247430,random,1000,40.681538,40.58,1.1832221757866412,39.716,40.3895,40.766,40.0718,41.042,63.112,19
2008232,251029,random,1000,40.828246,40.637,3.0322863902072696,39.78,40.452,40.83,40.1978,41.1143,131.7,19
2037448,254681,random,1000,40.773394,40.685,0.9137802006057141,39.76,40.478,40.8825,40.2119,41.198100000000004,49.828,20
2067080,258385,random,1000,41.583576,40.742999999999995,14.752453154587624,39.68,40.537499999999994,40.95,40.3059,41.2566,377.516,24
2097144,262143,random,1000,40.982414,40.831,1.589591968786717,39.728,40.65,41.032,40.346,41.33,66.742,24
2127648,265956,random,1000,41.051358,40.846,2.6540479110502417,39.85,40.646,41.05,40.3699,41.358,111.736,21
