size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
808560,101070,sequential,1000,7.599544,7.516,1.851211198909235,7.45,7.502,7.53,7.484,7.568,56.522,54
820320,102540,sequential,1000,7.554732,7.514,0.910753208934003,7.456,7.502,7.528499999999999,7.484,7.568,35.002,50
832248,104031,sequential,1000,7.532348,7.514,0.3513996821749169,7.444,7.502,7.528,7.484,7.566,15.524,59
844360,105545,sequential,1000,7.53217,7.514,0.36100154184326305,7.436,7.502,7.528,7.48,7.5621,15.79,53
856640,107080,sequential,1000,7.649126,7.516,3.28329429773963,7.444,7.502,7.528499999999999,7.4839,7.564,108.702,51
869096,108637,sequential,1000,7.557718,7.514,0.9795357179290087,7.446,7.5015,7.526,7.482,7.564,35.272,64
881736,110217,sequential,1000,7.555042,7.514,0.9354057505458014,7.44,7.502,7.526,7.482,7.566,34.36,74
894568,111821,sequential,1000,7.552162,7.514,0.9395799211265554,7.442,7.5,7.526,7.482,7.5641,36.166,57
907576,113447,sequential,1000,7.531258,7.513,0.3564051487648096,7.444,7.5,7.526,7.48,7.5621,15.534,53
920776,115097,sequential,1000,7.532518,7.514,0.35698770833167337,7.44,7.502,7.528,7.4839,7.562,15.642,56
934168,116771,sequential,1000,13.425151999999999,7.514,185.92644660791305,7.452,7.502,7.53,7.4839,7.582,5887.03,66
947760,118470,sequential,1000,7.53463,7.516,0.37441513028961554,7.444,7.502,7.53,7.482,7.564,16.064,43
961544,120193,sequential,1000,7.532846,7.514,0.3624373616573285,7.45,7.502,7.526,7.484,7.5581,15.642,60
975528,121941,sequential,1000,7.5351859999999995,7.516,0.35953819423966227,7.442,7.502,7.528,7.482,7.568,15.678,54
989720,123715,sequential,1000,7.543354,7.514,0.48114672279134657,7.442,7.502,7.526,7.482,7.562,17.472,63
1004112,125514,sequential,1000,7.633174,7.516,3.106197277580941,7.442,7.504,7.528,7.484,7.5661,104.98,64
1018720,127340,sequential,1000,7.539284,7.516,0.448484186353777,7.45,7.504,7.53,7.482,7.564,19.098,50
1033536,129192,sequential,1000,7.542038,7.516,0.46933302040240044,7.45,7.504,7.528,7.4859,7.57,19.682,67
1048568,131071,sequential,1000,7.555236,7.514,0.8958091461524215,7.452,7.502,7.528,7.484,7.568,33.706,62
1063824,132978,sequential,1000,7.556506,7.516,0.9102471102759766,7.454,7.502,7.53,7.484,7.5621,33.798,41
1079296,134912,sequential,1000,7.555446,7.516,0.9403887643480819,7.448,7.504,7.53,7.486,7.564,36.136,48
1095000,136875,sequential,1000,10.072011999999999,7.516,72.20463229192617,7.446,7.5035,7.532,7.482,7.592099999999999,2276.81,82
1110920,138865,sequential,1000,8.035592,7.516,11.237776491727091,7.448,7.502,7.53,7.484,7.5661,313.946,53
1127080,140885,sequential,1000,7.5328859999999995,7.516,0.35689471955304247,7.446,7.502,7.528,7.482,7.568,15.61,64
1143472,142934,sequential,1000,7.533394,7.514,0.3631728008087159,7.452,7.504,7.53,7.484,7.5641,15.844,58
1160112,145014,sequential,1000,7.633242,7.516,3.0300837461933203,7.46,7.504,7.528,7.4859,7.57,102.468,67
1176984,147123,sequential,1000,7.531676,7.514,0.3396890043019403,7.448,7.502,7.528,7.482,7.564,15.4,52
1194104,149263,sequential,1000,7.534278,7.514,0.3888779149665724,7.45,7.502,7.528,7.484,7.5641,16.342,57
1211472,151434,sequential,1000,7.532436,7.514,0.3556288539837365,7.438,7.502,7.528,7.482,7.562,15.564,47
1229088,153636,sequential,1000,7.537018,7.516,0.38319889492151343,7.444,7.504,7.53,7.484,7.566,16.686,53
1246968,155871,sequential,1000,7.534074,7.516,0.36094356176385634,7.438,7.502,7.53,7.484,7.564,15.658,51
1265104,158138,sequential,1000,7.590628,7.516,1.6678333302922188,7.448,7.502,7.528,7.484,7.57,53.174,62
1283512,160439,sequential,1000,7.666188,7.516,4.142235919291303,7.446,7.502,7.528,7.484,7.5701,137.966,64
1302176,162772,sequential,1000,7.535808,7.518,0.36213107855313115,7.45,7.504,7.53,7.484,7.57,15.782,57
1321120,165140,sequential,1000,7.533052,7.518,0.26680048687323604,7.452,7.506,7.532,7.486,7.582,15.694,83
1340336,167542,sequential,1000,7.54216,7.516,0.4488270804532055,7.45,7.502,7.53,7.482,7.564,16.446,46
1359832,169979,sequential,1000,7.599026,7.516,1.6518843934650431,7.44,7.502,7.532,7.482,7.576,54.236,51
1379608,172451,sequential,1000,7.53222,7.514,0.3516058165762481,7.44,7.502,7.528,7.482,7.566,15.542,57
1399680,174960,sequential,1000,7.534504,7.516,0.34497093055346983,7.452,7.504,7.528,7.486,7.568,15.27,61
1420032,177504,sequential,1000,10.873232,7.52,95.61964501303376,7.452,7.506,7.5344999999999995,7.486,7.586,3015.296,72
1440688,180086,sequential,1000,7.59817,7.518,1.8995958221125324,7.444,7.504,7.53,7.486,7.584099999999999,64.908,91
1461648,182706,sequential,1000,8.019206,7.516,11.117390976829757,7.444,7.5035,7.53,7.482,7.584,311.68,74
1482904,185363,sequential,1000,7.533304,7.516,0.34009702964532573,7.448,7.504,7.53,7.482,7.566,15.19,53
1504472,188059,sequential,1000,7.534078,7.516,0.355492983302311,7.452,7.502,7.528,7.484,7.568,15.594,62
1526360,190795,sequential,1000,7.554438,7.514,0.7873552161460495,7.438,7.5,7.528,7.482,7.564,29.582,47
1548560,193570,sequential,1000,7.536758,7.516,0.36370289692719415,7.448,7.504,7.53,7.486,7.5801,15.924,76
1571088,196386,sequential,1000,7.552576,7.516,0.9087228033659975,7.446,7.504,7.53,7.482,7.564,35.256,53
1593936,199242,sequential,1000,7.534512,7.514,0.3468780278746727,7.448,7.502,7.53,7.484,7.57,15.286,51
1617120,202140,sequential,1000,7.534162,7.516,0.3520399265223561,7.436,7.504,7.53,7.486,7.5641,15.506,55
1640640,205080,sequential,1000,7.541344,7.516,0.4897340350527918,7.452,7.504,7.53,7.484,7.574,20.7,67
1664504,208063,sequential,1000,7.68804,7.516,4.288489490311071,7.45,7.502,7.53,7.482,7.58,140.602,61
1688720,211090,sequential,1000,7.563998,7.516,1.044277687152169,7.448,7.504,7.53,7.486,7.568099999999999,38.248,58
1713280,214160,sequential,1000,7.668034,7.516,3.2975648179486288,7.452,7.504,7.532,7.486,7.5721,107.186,53
1738200,217275,sequential,1000,7.538254,7.514,0.4465071960900073,7.444,7.502,7.53,7.482,7.566,19.222,44
1763480,220435,sequential,1000,7.535328,7.516,0.36959223319062706,7.446,7.502,7.528,7.482,7.5661,15.994,56
1789136,223642,sequential,1000,7.533246,7.516,0.3468564326473835,7.444,7.504,7.53,7.482,7.562,15.314,55
1815160,226895,sequential,1000,7.534008,7.516,0.3495347743708693,7.442,7.502,7.528,7.484,7.57,15.34,63
1841560,230195,sequential,1000,7.798322,7.518,7.81572961826225,7.456,7.504,7.5305,7.484,7.586,254.076,78
1868344,233543,sequential,1000,7.553164,7.514,0.8554875475704178,7.448,7.502,7.53,7.484,7.5741,33.364,58
1895520,236940,sequential,1000,7.62653,7.516,2.9859409864688677,7.446,7.504,7.53,7.486,7.578,101.378,66
1923088,240386,sequential,1000,7.537586,7.516,0.36637474675400195,7.45,7.504,7.53,7.4859,7.572,15.96,65
1951064,243883,sequential,1000,7.536104,7.514,0.3580474873353913,7.446,7.502,7.53,7.4839,7.584,15.646,71
1979440,247430,sequential,1000,7.550682,7.516,0.7858505582971714,7.446,7.502,7.528,7.482,7.568,31.052,60
2008232,251029,sequential,1000,7.550502,7.514,0.7811750344387808,7.452,7.502,7.528,7.484,7.578,30.944,67
2037448,254681,sequential,1000,13.574432,7.522,189.7851110889482,7.442,7.504,7.55,7.484,7.688,6009.088,104
2067080,258385,sequential,1000,7.555864,7.514,0.8909430829638227,7.452,7.502,7.528,7.482,7.576,34.506,66
2097144,262143,sequential,1000,7.554752,7.514,0.8116193346886461,7.442,7.502,7.53,7.4839,7.5781,31.888,68
2127648,265956,sequential,1000,7.557408,7.516,0.8327028158445937,7.434,7.504,7.53,7.484,7.576099999999999,31.24,70
2158600,269825,sequential,1000,7.5517579999999995,7.514,0.8519933086791435,7.448,7.5,7.528,7.482,7.572,33.258,61
2189992,273749,sequential,1000,7.551814,7.514,0.7665432107180246,7.446,7.5,7.528,7.482,7.584199999999999,30.488,74
2221848,277731,sequential,1000,7.55353,7.516,0.7973754791531745,7.454,7.504,7.528,7.484,7.574,31.482,75
2254168,281771,sequential,1000,7.5457279999999995,7.516,0.44500126757588476,7.45,7.504,7.53,7.484,7.582,18.678,71
2286952,285869,sequential,1000,8.054832,7.516,11.276712951688127,7.452,7.502,7.53,7.482,7.584,317.78,73
2320216,290027,sequential,1000,7.568832,7.516,0.8994143772466604,7.442,7.504,7.53,7.484,7.588,31.616,86
2353968,294246,sequential,1000,7.576436,7.516,0.9584824476778417,7.44,7.504,7.53,7.486,7.588,31.884,89
2388208,298526,sequential,1000,7.602518,7.516,1.5044282741653416,7.446,7.504,7.53,7.486,7.592,46.77,88
2422944,302868,sequential,1000,7.567246,7.518,0.9358710306821502,7.442,7.504,7.532,7.486,7.582,34.534,70
2458184,307273,sequential,1000,7.603084,7.516,1.4997424353255848,7.444,7.502,7.53,7.482,7.588,43.186,73
2493944,311743,sequential,1000,7.639858,7.528,1.0195559259413494,7.45,7.51,7.596,7.488,7.9881,35.344,93
2530216,316277,sequential,1000,7.560858,7.514,0.8552315059472287,7.446,7.502,7.528,7.484,7.5861,31.832,84
2567024,320878,sequential,1000,7.566828,7.518,0.8324573476471042,7.442,7.504,7.53,7.486,7.588,30.902,83
2604360,325545,sequential,1000,7.541432,7.514,0.45202808625877083,7.45,7.5,7.528,7.482,7.582,18.83,72
2642240,330280,sequential,1000,7.570232,7.518,0.8725063332019302,7.452,7.506,7.534,7.486,7.6061,32.042,101
2680672,335084,sequential,1000,7.572404,7.52,0.9147967128328619,7.45,7.506,7.534,7.484,7.614199999999999,33.928,103
2719664,339958,sequential,1000,12.784734,7.524,164.69038656026834,7.456,7.508,7.560499999999999,7.486,7.74,5215.53,127
2759224,344903,sequential,1000,7.785412,7.522,5.8088377841577445,7.438,7.508,7.546,7.488,7.7101,185.59,119
2799360,349920,sequential,1000,7.561616,7.52,0.5128558956604805,7.444,7.506,7.534,7.486,7.642,21.246,130
2840072,355009,sequential,1000,7.567756,7.518,0.4982702215441715,7.432,7.502,7.538,7.482,7.680199999999999,20.382,124
2881384,360173,sequential,1000,7.557756,7.516,0.4555371846409364,7.446,7.502,7.532,7.484,7.6581,18.79,126
2923296,365412,sequential,1000,7.589174,7.518,0.9643455667425948,7.442,7.506,7.536,7.484,7.656,33.828,115
2965816,370727,sequential,1000,14.433273999999999,7.554,213.44038960764848,7.442,7.518,7.674,7.492,8.268,6757.226,89
3008952,376119,sequential,1000,7.555474,7.52,0.27488649641244645,7.454,7.506,7.536,7.488,7.6621,15.278,140
3052720,381590,sequential,1000,7.555306,7.518,0.4689650846434248,7.45,7.504,7.534,7.484,7.616,19.668,102
3097120,387140,sequential,1000,7.574882,7.52,0.5515829636979752,7.436,7.506,7.538,7.486,7.668,20.254,123
3142168,392771,sequential,1000,7.56862,7.518,0.4722173618545138,7.448,7.506,7.538,7.486,7.698,19.374,120
3187872,398484,sequential,1000,7.856644,7.524,8.72344051711936,7.448,7.51,7.558,7.492,7.696199999999999,282.888,119
3234248,404281,sequential,1000,7.629248,7.528,0.997495832789507,7.442,7.51,7.592,7.486,7.8603,34.544,93
3281288,410161,sequential,1000,7.61159,7.526,0.9907388391232815,7.45,7.508,7.584,7.486,7.750299999999999,34.804,73
3329016,416127,sequential,1000,7.582768,7.522,0.4107343775542838,7.448,7.508,7.554,7.486,7.7181999999999995,16.35,146
3377440,422180,sequential,1000,7.570786,7.52,0.3807514541979766,7.454,7.508,7.544,7.488,7.6861,15.726,126
3426560,428320,sequential,1000,7.577574,7.522,0.5215535568248352,7.446,7.506,7.546,7.487900000000001,7.7021,21.444,117
3476400,434550,sequential,1000,7.626594,7.524,1.1242197192458159,7.446,7.508,7.5805,7.486,7.7985,40.598,99
3526968,440871,sequential,1000,7.594574,7.522,0.8651657750641447,7.444,7.506,7.55,7.488,7.726,33.242,122
