size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,sequential,1000,18.859188,7.9190000000000005,342.1318590018134,7.646,7.898,7.9845,7.862,8.8202,10827.188,218
68084984,8510623,sequential,1000,8.03438,7.944,0.4435941019979045,7.674,7.926,7.97,7.892,8.62,16.42,211
69075304,8634413,sequential,1000,8.07592,7.934,1.3685685739273503,7.658,7.907500000000001,7.9725,7.8519000000000005,8.758299999999998,48.878,217
70080024,8760003,sequential,1000,8.04898,7.942,0.9811285485749708,7.646,7.92,7.97,7.866,8.6002,37.024,219
71099360,8887420,sequential,1000,18.846353999999998,7.92,342.05053915628287,7.644,7.896,7.98,7.8559,8.7188,10824.606,206
72133528,9016691,sequential,1000,8.039086,7.946,0.6167917644429801,7.652,7.928,7.972,7.896,8.604099999999999,22.186,216
73182728,9147841,sequential,1000,8.030626,7.944,0.4396719089406458,7.638,7.928,7.974,7.8798,8.614,16.564,212
74247200,9280900,sequential,1000,8.043532,7.946,0.500422585161521,7.614,7.928,7.974,7.884,8.6241,16.41,225
75327152,9415894,sequential,1000,8.024506,7.922,0.4563274775100999,7.608,7.896,7.968,7.8499,8.632399999999999,16.378,220
76422808,9552851,sequential,1000,19.06747,7.936,342.3044309515905,7.648,7.91,7.97,7.8619,8.64,10830.618,206
77534400,9691800,sequential,1000,8.04984,7.944,0.531576466691237,7.66,7.928,7.976,7.8899,8.62,17.032,226
78662168,9832771,sequential,1000,8.025838,7.938,0.4344859995901362,7.65,7.912,7.9685,7.867900000000001,8.6181,16.048,217
79806336,9975792,sequential,1000,8.016508,7.92,0.46003318626863043,7.644,7.894,7.964,7.856,8.636,16.394,201
80967144,10120893,sequential,1000,22.436188,7.92,455.91534712660666,7.648,7.894,7.974,7.858,8.635699999999998,14425.322,200
82144840,10268105,sequential,1000,8.035272,7.922,0.5348869395059614,7.644,7.896,7.962,7.862,8.744399999999999,16.762,209
83339664,10417458,sequential,1000,8.016574,7.918,0.44670151193471996,7.634,7.8935,7.9625,7.86,8.681599999999998,15.92,204
84551864,10568983,sequential,1000,18.83603,7.922,342.1086750203907,7.64,7.894,7.972,7.856,8.654499999999999,10826.436,205
85781704,10722713,sequential,1000,8.045350000000001,7.936,0.6315997116019731,7.65,7.914,7.97,7.8639,8.642399999999999,22.744,224
87029424,10878678,sequential,1000,8.024876,7.918,0.4665115493207533,7.648,7.894,7.964,7.858,8.749199999999998,16.468,202
88295296,11036912,sequential,1000,8.022644,7.92,0.5224587221784898,7.652,7.896,7.958,7.8639,8.696399999999999,18.79,205
89579584,11197448,sequential,1000,8.024602,7.93,0.4518727327053078,7.632,7.906,7.968,7.864,8.654,16.566,201
90882544,11360318,sequential,1000,51.314564000000004,7.922,1367.5096416807698,7.646,7.896,7.9704999999999995,7.864,8.745499999999998,43252.504,212
92204464,11525558,sequential,1000,8.032636,7.92,0.5000155388015887,7.634,7.896,7.9864999999999995,7.862,8.693399999999999,18.038,201
93545608,11693201,sequential,1000,8.194772,7.92,5.166737717230734,7.648,7.894,7.97,7.86,8.7467,170.454,216
94906264,11863283,sequential,1000,8.021492,7.923,0.45531432337350103,7.652,7.896,7.972,7.8619,8.620199999999999,16.564,206
96286704,12035838,sequential,1000,40.455166,7.92,1025.6895024982734,7.638,7.896,7.9725,7.86,8.7102,32443.166,187
97687224,12210903,sequential,1000,8.032508,7.922,0.47081070150608584,7.63,7.898,7.986,7.86,8.6721,16.698,197
