stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,8192,65536,4096,random,1000,11.064952,10.689,3.940188719952998,10.484,10.626,10.834,10.562,11.016399999999999,72.424,12
16,4096,65536,4096,random,1000,11.193762,11.122,1.5092141991297505,10.718,11.04,11.235,10.824,11.368,55.288,13
24,2730,65536,4096,random,1000,11.7606,11.59,2.805290233343654,11.176,11.536,11.648,11.292,11.722,62.954,116
32,2048,65536,4096,random,1000,12.064424,12.034,1.509855111817913,11.64,11.986,12.064,11.7359,12.1101,56.246,192
40,1638,65536,4096,random,1000,12.117206,12.088,1.4826409942672845,11.718,12.052,12.116,11.79,12.156,56.528,180
48,1365,65536,4096,random,1000,12.50101,12.472,0.43936830610367017,12.368,12.442,12.51,12.411900000000001,12.56,21.504,5
56,1170,65536,4096,random,1000,13.07277,13.046,0.44218441645783735,12.948,13.02,13.074,12.988,13.116,22.132,17
64,1024,65536,4096,random,1000,13.87175,13.482,3.6473112448510365,13.372,13.442,13.772,13.402,13.814,74.686,9
72,910,65536,4096,random,1000,13.824666,13.752,2.6455893209830017,13.374,13.474,13.804,13.43,13.846,65.598,7
80,819,65536,4096,random,1000,13.853538,13.766,1.7557571613881475,13.334,13.742,13.79,13.6839,13.834,65.402,81
88,744,65536,4096,random,1000,13.824826,13.792,0.549014494015084,13.688,13.77,13.812,13.738,13.846,25.154,12
96,682,65536,4096,random,1000,13.829448,13.774999999999999,0.6543649324045113,13.604,13.754,13.8,13.722,13.8501,26.182,51
104,630,65536,4096,random,1000,13.854422,13.782,1.0226268212459184,13.53,13.76,13.806,13.72,13.84,39.788,31
112,585,65536,4096,random,1000,13.443707999999999,13.434,0.4847964751917637,12.646,13.3355,13.5265,13.1559,13.63,22.82,21
120,546,65536,4096,random,1000,11.188134,11.16,0.5223509438610717,11.066,11.132,11.186,11.1,11.2201,22.614,4
128,512,65536,4096,random,1000,13.831178,13.808,0.44115912513478595,13.678,13.784,13.832,13.7499,13.866,23.386,11
136,481,65536,4096,random,1000,7.731164,7.708,0.526563609014465,7.616,7.682,7.732,7.658,7.76,20.36,8
144,455,65536,4096,random,1000,7.693162,7.634,1.4810172321069723,7.42,7.62,7.652,7.4699,7.6901,52.232,94
152,431,65536,4096,random,1000,7.85355,7.5,3.8949888178775804,7.392,7.476,7.5264999999999995,7.448,7.6480999999999995,59.61,68
160,409,65536,4096,random,1000,7.563956,7.538,0.49736996989258503,7.486,7.526,7.552,7.512,7.586,19.872,41
168,390,65536,4096,random,1000,7.659156,7.392,3.404186925579776,7.348,7.38,7.406,7.366,7.462,60.126,69
176,372,65536,4096,random,1000,7.589666,7.568,0.4330883812687545,7.506,7.552,7.586,7.53,7.6141,18.152,29
184,356,65536,4096,random,1000,7.581614,7.56,0.42949191180545687,7.52,7.548,7.572,7.532,7.6061,18.126,48
192,341,65536,4096,random,1000,7.574854,7.554,0.4348906857965489,7.51,7.542,7.566,7.528,7.598,17.644,43
200,327,65536,4096,random,1000,7.458436,7.428,0.4678263089645123,7.39,7.414,7.442,7.402,7.502,18.268,105
208,315,65536,4096,random,1000,7.563932,7.542,0.40800708959668974,7.49,7.53,7.558,7.514,7.592,17.536,35
216,303,65536,4096,random,1000,7.452804,7.418,0.43504268264127793,7.368,7.4,7.47,7.384,7.5,18.362,2
224,292,65536,4096,random,1000,7.4368,7.406,0.4776077607966323,7.3,7.394,7.418,7.38,7.456,17.856,52
232,282,65536,4096,random,1000,7.606432,7.588,0.4184819859307549,7.504,7.57,7.606,7.54,7.638,18.044,24
240,273,65536,4096,random,1000,7.425526,7.406,0.390381086525355,7.37,7.394,7.418,7.38,7.448,16.902,38
248,264,65536,4096,random,1000,7.611914,7.594,0.40633248293816077,7.524,7.572,7.612,7.55,7.6441,17.574,17
256,256,65536,4096,random,1000,13.776036,13.746,0.5343276979464875,13.664,13.724,13.768,13.7,13.798,25.384,12
264,248,65536,4096,random,1000,7.4772,7.454,0.41274666298809465,7.408,7.444,7.466,7.432,7.5181,17.718,91
272,240,65536,4096,random,1000,7.432218,7.404,0.46158669256245977,7.368,7.394,7.416,7.38,7.452,17.372,53
280,234,65536,4096,random,1000,7.450944,7.432,0.3708718468565534,7.388,7.422,7.444,7.408,7.478,16.994,52
288,227,65536,4096,random,1000,7.425232,7.406,0.3971798307995938,7.368,7.394,7.416,7.38,7.448,17.354,49
296,221,65536,4096,random,1000,7.659538,7.638,0.40257790740119803,7.592,7.628,7.652,7.612,7.684,17.946,46
304,215,65536,4096,random,1000,7.424276,7.404999999999999,0.3731368474580485,7.368,7.396,7.416,7.38,7.4501,16.536,56
312,210,65536,4096,random,1000,7.45409,7.436,0.36670019489077577,7.398,7.424,7.446,7.412,7.482,16.352,55
320,204,65536,4096,random,1000,7.424952,7.406,0.38363358093423006,7.368,7.396,7.416,7.382,7.448,17.038,53
328,199,65536,4096,random,1000,7.752166,7.732,0.38624754187904886,7.684,7.718,7.746,7.704,7.7821,17.228,38
336,195,65536,4096,random,1000,7.42416,7.406,0.3704943298465558,7.37,7.394,7.416,7.382,7.4481,16.652,50
344,190,65536,4096,random,1000,7.425134,7.406,0.3860116306836143,7.368,7.396,7.416,7.382,7.4481,17.19,52
352,186,65536,4096,random,1000,7.4263200000000005,7.406,0.3910032188065939,7.37,7.396,7.418,7.382,7.45,16.768,49
360,182,65536,4096,random,1000,7.458826,7.44,0.3673445136594743,7.398,7.43,7.452,7.416,7.4841,16.278,50
368,178,65536,4096,random,1000,7.424678,7.406,0.38585359310405715,7.368,7.396,7.416,7.38,7.448,17.112,53
376,174,65536,4096,random,1000,7.423584,7.406,0.3463663676002689,7.37,7.394,7.416,7.382,7.4521999999999995,15.83,57
384,170,65536,4096,random,1000,7.718392,7.698,0.3828752797136632,7.648,7.688,7.712,7.672,7.74,17.126,40
392,167,65536,4096,random,1000,7.506046,7.482,0.432706585197028,7.448,7.472,7.494,7.458,7.534,17.416,58
400,163,65536,4096,random,1000,7.42878,7.406,0.4183816664468208,7.37,7.396,7.418,7.382,7.4521999999999995,18.118,52
408,160,65536,4096,random,1000,7.423564,7.404,0.36966850109889626,7.368,7.394,7.416,7.3819,7.448,16.368,47
416,157,65536,4096,random,1000,7.423976,7.406,0.3625523129199476,7.37,7.3955,7.418,7.38,7.448,16.3,42
424,154,65536,4096,random,1000,7.761112,7.734,0.4449681877889071,7.682,7.72,7.752,7.702,7.782,16.916,18
432,151,65536,4096,random,1000,7.431502,7.404,0.5334711721241246,7.368,7.396,7.416,7.38,7.4460999999999995,22.022,50
440,148,65536,4096,random,1000,7.431662,7.406,0.44672268233313484,7.368,7.394,7.416,7.382,7.448,17.168,48
448,146,65536,4096,random,1000,7.424628,7.406,0.3767304971507928,7.366,7.396,7.4165,7.38,7.452,16.344,55
456,143,65536,4096,random,1000,7.484098,7.462,0.404750918098652,7.39,7.448,7.478,7.432,7.522,17.59,53
464,141,65536,4096,random,1000,7.424558,7.406,0.3811690733762362,7.368,7.396,7.416,7.382,7.448,17.076,54
472,138,65536,4096,random,1000,7.468674,7.45,0.3613500513125515,7.408,7.44,7.46,7.426,7.494,16.3,59
480,136,65536,4096,random,1000,7.423654,7.406,0.3552582450903915,7.37,7.396,7.416,7.382,7.4481,16.124,53
488,134,65536,4096,random,1000,7.423786,7.406,0.3659251007834573,7.368,7.394,7.416,7.382,7.448,16.308,49
496,132,65536,4096,random,1000,7.423112,7.404,0.3563809462286597,7.368,7.394,7.416,7.382,7.45,15.946,51
504,130,65536,4096,random,1000,7.42413,7.404,0.3754421498818532,7.368,7.394,7.416,7.382,7.448,16.834,47
512,128,65536,4096,random,1000,13.766624,13.744,0.41907523271445507,13.652,13.722,13.766,13.694,13.796,22.34,5
520,126,65536,4096,random,1000,7.4765,7.456,0.38832173228879135,7.412,7.446,7.468,7.434,7.4962,17.25,50
528,124,65536,4096,random,1000,7.430778,7.404999999999999,0.4349690710944961,7.368,7.394,7.416,7.382,7.448,16.664,48
536,122,65536,4096,random,1000,7.424008,7.406,0.3782691415903225,7.37,7.394,7.416,7.38,7.446,17.028,46
544,120,65536,4096,random,1000,7.4240260000000005,7.406,0.3728578311988181,7.368,7.396,7.416,7.38,7.446,16.67,49
552,118,65536,4096,random,1000,7.433472,7.404,0.5984394999087637,7.372,7.396,7.418,7.383900000000001,7.45,24.702,48
