stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
36,1820,65536,4096,random,1000,13.02974,12.562,4.867227481406202,12.328,12.48,12.626,12.412,12.7204,74.372,23
37,1771,65536,4096,random,1000,13.206098,13.15,1.53962295164408,12.67,13.036,13.246,12.8,13.3281,57.526,22
38,1724,65536,4096,random,1000,13.189004,13.042,2.774745442063515,12.628,12.8255,13.134,12.712,13.2721,64.49,7
39,1680,65536,4096,random,1000,13.349894,13.222999999999999,2.636410995216736,12.79,13.008,13.302,12.8819,13.3781,64.442,10
40,1638,65536,4096,random,1000,12.15173,12.137,1.5267106630100375,11.758,11.906,12.19,11.836,12.2601,56.604,9
41,1598,65536,4096,random,1000,13.159474,13.078,1.5185790917109923,12.55,12.9375,13.256,12.718,13.3801,57.182,7
42,1560,65536,4096,random,1000,13.078324,13.030999999999999,1.5146261939935977,12.496,12.884,13.14,12.6577,13.274099999999999,58.028,7
43,1524,65536,4096,random,1000,13.569664,13.19,3.759115722363189,12.834,13.072,13.418,12.97,13.5682,77.058,17
44,1489,65536,4096,random,1000,12.849972,12.609,3.210840125189282,12.344,12.486,12.676,12.404,12.758,57.798,19
45,1456,65536,4096,random,1000,13.501938,13.442,1.5297970293823644,13.042,13.2575,13.58,13.16,13.67,58.01,7
46,1424,65536,4096,random,1000,13.05342,12.958,1.5605256601337691,12.786,12.9,13.016,12.838,13.1341,57.804,25
47,1394,65536,4096,random,1000,13.516018,13.37,2.6693568959421508,12.93,13.166,13.474,13.0239,13.6561,65.376,9
48,1365,65536,4096,random,1000,12.611978,12.558,1.5196716426312025,12.168,12.5115,12.598,12.25,12.6561,57.032,147
49,1337,65536,4096,random,1000,13.481232,13.4,1.4881010257502139,13.034,13.2555,13.592500000000001,13.1099,13.7221,58.442,5
50,1310,65536,4096,random,1000,13.416724,13.4,1.534572468306559,12.96,13.154,13.46,13.036,13.5601,58.392,8
51,1285,65536,4096,random,1000,13.741018,13.628,2.057277122031165,13.194,13.534,13.7,13.4459,13.776,57.828,19
52,1260,65536,4096,random,1000,13.506842,13.476,0.49945658461563597,13.268,13.432,13.522,13.372,13.5921,23.716,18
53,1236,65536,4096,random,1000,13.907576,13.768,2.640382836208747,13.332,13.5515,13.8765,13.4039,14.036,65.5,7
54,1213,65536,4096,random,1000,13.819092,13.798,1.4972731061133404,13.278,13.706,13.852,13.44,13.918199999999999,58.39,107
55,1191,65536,4096,random,1000,13.91904,13.874,1.5181791628033796,13.442,13.61,13.956,13.518,14.28,58.06,6
56,1170,65536,4096,random,1000,13.18641,13.084,2.633267215481203,12.708,12.838,13.1485,12.764,13.2261,64.586,10
57,1149,65536,4096,random,1000,14.145698,14.102,0.5867657444285879,13.918,14.06,14.15,14.01,14.232,24.802,21
58,1129,65536,4096,random,1000,14.111576,14.074,0.5840241779793577,13.874,14.026,14.118,13.968,14.188,25.42,19
59,1110,65536,4096,random,1000,14.299094,14.261,0.5720851480160803,14.048,14.218,14.306,14.145900000000001,14.3881,24.814,27
60,1092,65536,4096,random,1000,14.065662,14.026,0.5699247107574227,13.882,13.988,14.064,13.936,14.138,24.55,19
61,1074,65536,4096,random,1000,14.448444,14.406,0.5216944622822596,14.248,14.368,14.45,14.318,14.540099999999999,23.568,30
62,1057,65536,4096,random,1000,14.333332,14.082,2.660169535900999,13.87,14.035499999999999,14.3385,13.9779,14.4561,66.31,9
63,1040,65536,4096,random,1000,14.748024,14.748,1.5305932036236731,14.288,14.456,14.8125,14.3879,14.928,59.442,7
64,1024,65536,4096,random,1000,13.662016,13.578,1.4970657693173208,13.44,13.546,13.618,13.502,13.732,58.834,56
65,1008,65536,4096,random,1000,14.797852,14.713000000000001,2.635835048803415,14.278,14.4215,14.774,14.354,14.9067,66.522,9
66,992,65536,4096,random,1000,14.814192,14.436,3.3199962810886463,14.268,14.376,14.7485,14.324,14.876,65.898,10
67,978,65536,4096,random,1000,14.845792,14.651,1.540229900008723,14.452,14.5715,14.976,14.514,15.1101,60.082,6
68,963,65536,4096,random,1000,14.580022,14.578,1.525117536131237,14.166,14.317499999999999,14.666,14.2559,14.7381,58.996,7
69,949,65536,4096,random,1000,15.165374,15.084,2.6309949514506026,14.602,14.778,15.15,14.7119,15.2261,66.732,9
70,936,65536,4096,random,1000,15.062842,14.968,2.643440873310142,14.482,14.6755,15.034,14.5899,15.1261,66.578,9
71,923,65536,4096,random,1000,15.07918,14.888,1.5111671521581462,14.678,14.816,15.2125,14.754,15.364,59.428,5
72,910,65536,4096,random,1000,13.860882,13.86,1.522041996107175,13.486,13.61,13.934,13.548,14.01,58.284,7
73,897,65536,4096,random,1000,15.048254,14.870999999999999,1.5304291296250228,14.634,14.808,15.1785,14.726,15.3241,60.06,7
74,885,65536,4096,random,1000,14.987106,14.988,1.5117397824804155,14.528,14.682,15.056,14.598,15.1701,59.166,5
75,873,65536,4096,random,1000,15.091878,15.087,1.5316750260748857,14.602,14.81,15.142,14.7019,15.216099999999999,60.314,6
76,862,65536,4096,random,1000,14.564326,14.27,3.4106046692535235,14.122,14.232,14.31,14.192,14.6321,66.432,68
77,851,65536,4096,random,1000,15.02544,15.04,1.5146609746964066,14.612,14.7415,15.104,14.676,15.1761,59.274,6
78,840,65536,4096,random,1000,15.037234,14.946,2.636172203238842,14.45,14.646,14.996,14.562,15.098,66.59,8
79,829,65536,4096,random,1000,15.168852,14.917,2.84959056435841,14.614,14.7955,15.1745,14.714,15.2721,76.534,9
80,819,65536,4096,random,1000,13.809734,13.801,1.5501680251347434,13.412,13.556,13.8785,13.491900000000001,13.95,58.43,6
81,809,65536,4096,random,1000,15.308934,15.106,3.523069621679822,14.618,14.826,15.182,14.74,15.27,67.746,11
82,799,65536,4096,random,1000,15.001964,14.906,2.6431233319033094,14.438,14.622,14.968,14.526,15.054,66.434,7
83,789,65536,4096,random,1000,15.079056,14.888,1.703976536487783,14.636,14.796,15.150500000000001,14.728,15.2521,59.634,12
84,780,65536,4096,random,1000,14.419236,14.367,1.6368438490247292,13.93,14.166,14.482,14.0759,14.5541,58.956,6
85,771,65536,4096,random,1000,15.19384,15.118,2.513442182745807,14.656,14.818,15.18,14.742,15.248,59.742,8
86,762,65536,4096,random,1000,14.83373,14.556,3.5519176378410022,14.396,14.5115,14.602,14.454,14.6941,76.206,34
87,753,65536,4096,random,1000,15.269612,15.2,1.5218932842432233,14.658,15.142,15.264,14.8817,15.370199999999999,59.778,81
88,744,65536,4096,random,1000,13.727534,13.688,1.475324360543407,13.142,13.5635,13.796,13.331900000000001,13.9,57.888,20
89,736,65536,4096,random,1000,14.609184,14.548,2.0710372651155984,14.118,14.4475,14.594,14.184,14.6541,59.574,128
90,728,65536,4096,random,1000,14.469474,14.416,0.5550683022332874,14.18,14.364,14.514,14.2899,14.602,24.464,6
91,720,65536,4096,random,1000,15.126724,15.076,0.6027373957140807,14.862,15.012,15.158,14.946,15.244,25.248,15
92,712,65536,4096,random,1000,14.561832,14.446,2.8540943239819856,14.036,14.192,14.5225,14.092,14.606,76.066,8
93,704,65536,4096,random,1000,15.00255,14.994,1.5247402632482592,14.512,14.728,15.0585,14.622,15.1261,59.386,6
