footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048576,65536,16,4096,0,random,1000,37.83083,36.545,7.703502874903315,35.27,36.261,36.9225,35.911899999999996,38.1743,103.608,68
1176976,73561,16,4096,0,random,1000,38.269298,38.149,1.0792682795372128,37.312,37.915499999999994,38.406,37.6299,38.8002,51.038,14
1321120,82570,16,4096,0,random,1000,38.603808,38.074,4.18979971081587,36.968,37.786,38.4705,37.432,39.3262,91.472,30
1482896,92681,16,4096,0,random,1000,39.037396,38.536,4.559566894942265,37.6,38.346,38.75,38.088,39.0564,99.676,30
1664496,104031,16,4096,0,random,1000,39.42273,39.026,4.038798508032864,37.936,38.82,39.242,38.5158,39.5524,101.864,31
1868336,116771,16,4096,0,random,1000,39.977984,39.6,3.5299326498187265,38.714,39.3835,39.8305,39.1219,40.6687,92.554,72
2097152,131072,16,4096,0,random,1000,40.334058,39.963,3.571290914982345,38.882,39.7795,40.1565,39.474,40.9527,94.202,72
2353968,147123,16,4096,0,random,1000,40.495624,40.304,2.3513845955394324,39.416,40.1255,40.468,39.8798,40.778999999999996,91.854,38
2642240,165140,16,4096,0,random,1000,40.970602,40.653000000000006,3.2139381026590605,39.814,40.49,40.8445,40.234,41.2363,93.218,44
2965808,185363,16,4096,0,random,1000,41.091436,40.906,2.35773519402607,40.194,40.7575,41.0805,40.504,41.332100000000004,93.586,20
3329008,208063,16,4096,0,random,1000,41.547998,41.222,3.2145758335721037,40.57,41.066,41.392,40.824,41.9123,93.504,54
3736688,233543,16,4096,0,random,1000,41.904236,41.407,4.362964883525752,40.62,41.2615,41.584500000000006,41.0479,41.8763,93.954,36
4194304,262144,16,4096,0,random,1000,42.017616,41.662,2.4947018013425217,40.932,41.496,41.908,41.2439,43.462700000000005,94.992,110
4707936,294246,16,4096,0,random,1000,42.6124,42.323,2.4737377068400446,41.4,42.0715,42.6565,41.7499,43.4817,94.88,47
5284480,330280,16,4096,0,random,1000,45.283162,44.632,3.141750462676138,42.178,43.884,45.635999999999996,43.1778,49.7739,98.212,90
5931632,370727,16,4096,0,random,1000,47.407488,47.204,1.7354541523678957,43.974,46.4075,48.116,45.4376,49.651799999999994,60.994,16
6658032,416127,16,4096,0,random,1000,53.707288,53.249,4.0074510638415894,47.708,52.0095,54.565,50.5777,57.161699999999996,123.51,33
7473392,467087,16,4096,0,random,1000,68.444416,66.71799999999999,8.265735919882829,58.33,64.29350000000001,70.12549999999999,61.6699,78.2468,135.346,44
8388608,524288,16,4096,0,random,1000,84.796086,83.7,9.444144992917636,70.398,77.8605,90.1615,74.0339,97.26389999999999,149.956,13
9415888,588493,16,4096,0,random,1000,105.778432,101.366,15.563559831864175,87.356,95.6785,110.053,91.1922,140.0522,250.444,82
10568976,660561,16,4096,0,random,1000,123.878066,118.158,17.242404394658912,102.88,113.496,127.807,108.6786,162.05819999999997,278.246,104
11863280,741455,16,4096,0,random,1000,135.5841,131.498,14.81266785744739,117.012,126.929,137.8955,122.384,168.1548,253.444,103
13316080,832255,16,4096,0,random,1000,150.437442,146.353,13.883639374418904,131.37,142.454,151.604,138.4119,180.9174,282.276,124
14946800,934175,16,4096,0,random,1000,167.561924,162.52100000000002,14.91141167698164,148.532,158.1935,171.88049999999998,153.9974,193.8301,288.418,62
16777216,1048576,16,4096,0,random,1000,173.449518,169.149,13.157644705716821,155.316,165.82750000000001,176.1745,161.9029,199.3294,298.026,102
18831776,1176986,16,4096,0,random,1000,188.09643,184.067,13.357589197466295,169.01,179.643,194.141,175.5866,207.9734,291.81,23
21137968,1321123,16,4096,0,random,1000,190.12751,188.82999999999998,8.080909069113654,179.078,186.54399999999998,191.888,182.64610000000002,199.52759999999998,298.086,48
23726560,1482910,16,4096,0,random,1000,201.012498,198.728,11.687054150242767,188.242,196.6915,201.692,192.9324,211.4786,319.384,72
26632160,1664510,16,4096,0,random,1000,214.64845,206.922,17.843316769783772,194.134,203.3935,217.89600000000002,199.5722,253.65779999999998,311.352,132
29893600,1868350,16,4096,0,random,1000,219.674486,214.148,17.698568819032968,203.604,211.125,221.42649999999998,207.8886,241.56629999999998,352.602,84
33554432,2097152,16,4096,0,random,1000,222.991326,220.488,12.799097818467155,207.408,217.56550000000001,223.80200000000002,214.6534,234.844,347.438,66
