footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048576,65536,16,4096,0,sequential,1000,9.697866,9.461,2.829216566547076,9.118,9.3395,9.656500000000001,9.188,10.062399999999998,71.676,46
1176976,73561,16,4096,0,sequential,1000,8.811722,9.097999999999999,3.3654921768306503,7.31,7.608,9.348,7.423900000000001,9.498,80.12,6
1321120,82570,16,4096,0,sequential,1000,7.6779020000000004,7.456,2.8290150300831627,7.34,7.412,7.59,7.38,7.7360999999999995,69.302,25
1482896,92681,16,4096,0,sequential,1000,7.657626,7.616,0.4135121478510885,7.5,7.584,7.666,7.554,7.778,17.01,44
1664496,104031,16,4096,0,sequential,1000,7.638304,7.606,0.389397043699155,7.502,7.578,7.64,7.548,7.7421,16.118,62
1868336,116771,16,4096,0,sequential,1000,7.623006,7.602,0.38042520855393286,7.496,7.578,7.628,7.5479,7.678,16.416,20
2097152,131072,16,4096,0,sequential,1000,7.620978,7.596,0.43174628240248736,7.498,7.574,7.622,7.548,7.668,18.086,30
2353968,147123,16,4096,0,sequential,1000,7.748524,7.42,3.782314323673677,7.32,7.396,7.454,7.368,7.6,59.682,82
2642240,165140,16,4096,0,sequential,1000,7.705434,7.42,3.4074227594335142,7.318,7.396,7.452,7.368,7.624099999999999,59.24,91
2965808,185363,16,4096,0,sequential,1000,7.451824,7.42,0.4563874697519056,7.33,7.3975,7.452,7.368,7.5181,18.798,37
3329008,208063,16,4096,0,sequential,1000,7.683354,7.602,1.5027802711066003,7.368,7.578,7.634,7.544,7.72,52.488,69
3736688,233543,16,4096,0,sequential,1000,7.694664,7.606,1.5258116017871106,7.366,7.574,7.644,7.4597,7.786099999999999,52.734,121
4194304,262144,16,4096,0,sequential,1000,7.624606,7.58,1.4998881735973844,7.332,7.452,7.618,7.38,7.79,53.176,20
4707936,294246,16,4096,0,sequential,1000,7.568068,7.438,1.706174437326555,7.346,7.408,7.54,7.378,7.752999999999999,58.89,56
5284480,330280,16,4096,0,sequential,1000,7.799032,7.59,2.655241152240706,7.332,7.442,7.7204999999999995,7.384,8.1287,59.014,50
5931632,370727,16,4096,0,sequential,1000,7.750476,7.572,2.2257051936483037,7.322,7.43,7.7170000000000005,7.378,8.2721,59.6,64
6658032,416127,16,4096,0,sequential,1000,7.730642,7.632,0.6169473882884309,7.328,7.462,7.8225,7.398,8.4161,20.08,56
7473392,467087,16,4096,0,sequential,1000,7.850158,7.738,0.7788383659246867,7.346,7.584,7.9544999999999995,7.43,8.562599999999998,24.618,65
8388608,524288,16,4096,0,sequential,1000,7.981384,7.87,0.6752381677061267,7.38,7.664,8.106,7.456,8.9009,21.376,70
9415888,588493,16,4096,0,sequential,1000,8.251598,8.100999999999999,0.873830210987028,7.384,7.932,8.357,7.6159,9.212399999999999,22.126,95
10568976,660561,16,4096,0,sequential,1000,8.492924,8.162,3.1605953979422123,7.378,7.9795,8.5045,7.673900000000001,9.2722,61.794,46
11863280,741455,16,4096,0,sequential,1000,8.306656,8.198,0.7642395643878794,7.412,8.0145,8.464500000000001,7.6658,9.0928,20.208,43
13316080,832255,16,4096,0,sequential,1000,8.409254,8.234,0.7061541227870366,7.54,8.122,8.68,7.942,9.148399999999999,21.846,3
14946800,934175,16,4096,0,sequential,1000,8.405628,8.242,0.6682431073093582,7.564,8.1495,8.6545,7.948,9.0781,20.95,9
16777216,1048576,16,4096,0,sequential,1000,8.439988,8.27,0.7633677030803085,7.736,8.2035,8.6845,8.0158,8.9941,21.594,9
18831776,1176986,16,4096,0,sequential,1000,8.454316,8.278,0.7756504817337598,7.896,8.234,8.688,8.0259,8.936,21.644,17
21137968,1321123,16,4096,0,sequential,1000,8.435926,8.276,0.7262400809506311,7.772,8.222,8.672,8.03,8.9101,20.938,8
23726560,1482910,16,4096,0,sequential,1000,8.443878,8.282,0.7161805803983655,7.758,8.22,8.6685,8.0239,8.9401,20.522,15
26632160,1664510,16,4096,0,sequential,1000,8.426108,8.273,0.6346893562325706,7.838,8.221499999999999,8.6745,8.018,8.9161,21.352,8
29893600,1868350,16,4096,0,sequential,1000,8.435804,8.284,0.6667052493219725,7.704,8.23,8.674,8.026,8.9221,22.08,14
33554432,2097152,16,4096,0,sequential,1000,8.454386,8.288,0.6442425066785111,7.878,8.2415,8.6925,8.042,8.952,21.422,15
