footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048560,21845,48,4096,16,random,1000,38.946502,37.706,7.748239935242719,36.67,37.506,38.0565,37.207699999999996,39.0885,137.472,70
1176960,24520,48,4096,16,random,1000,39.338254,38.518,5.822178044741389,37.502,38.329499999999996,38.7355,37.9779,39.7601,101.386,125
1321104,27523,48,4096,16,random,1000,40.01402,39.282,5.080112484429302,38.088,38.9475,39.950500000000005,38.566,40.346199999999996,91.698,22
1482864,30893,48,4096,16,random,1000,39.913748,39.518,3.5349963620597653,38.656,39.286,39.784,39.0299,40.62,92.316,63
1664496,34677,48,4096,16,random,1000,40.715468,39.91,5.841157236955948,39.302,39.722,40.1185,39.512,40.9465,102.994,72
1868304,38923,48,4096,16,random,1000,40.510114,40.234,2.8355030785934114,39.554,40.0535,40.4285,39.8598,40.7221,94.03,25
2097120,43690,48,4096,16,random,1000,40.939142,40.623000000000005,3.2577718694514797,39.89,40.4535,40.822,40.1958,41.1481,95.018,35
2353968,49041,48,4096,16,random,1000,41.072348,40.88,2.4142356199270454,39.938,40.7195,41.048500000000004,40.4779,41.3102,94.326,23
2642208,55046,48,4096,16,random,1000,41.698504,41.209,4.035272106681154,40.432,41.0295,41.456,40.8279,42.4133,97.234,102
2965776,61787,48,4096,16,random,1000,41.905322,41.468,4.002266056861526,40.56,41.29,41.668,41.0058,42.3457,101.43,57
3328992,69354,48,4096,16,random,1000,42.069506,41.687,3.2790606018179043,40.91,41.514,41.87,41.2879,42.9821,94.608,106
3736656,77847,48,4096,16,random,1000,41.904362,41.796,0.9207403998086757,41.086,41.65,41.968,41.4718,42.2082,53.34,13
4194288,87381,48,4096,16,random,1000,42.928026,42.126,5.120501804907216,41.374,41.9035,42.486,41.67,44.270300000000006,102.6,123
4707936,98082,48,4096,16,random,1000,43.539784,42.587,4.703003465333503,41.534,42.207499999999996,43.5985,41.885600000000004,46.0726,97.816,67
5284464,110093,48,4096,16,random,1000,46.476828,44.286,5.6882281161639,42.13,43.4055,46.9345,42.696,56.534699999999994,96.748,139
5931600,123575,48,4096,16,random,1000,69.264494,52.976,34.90856278180836,45.876,50.194,62.753,48.2225,158.831,241.268,204
6658032,138709,48,4096,16,random,1000,54.83203,54.351,3.455316181916934,49.156,53.091,55.767,51.490199999999994,59.343399999999995,107.762,43
7473360,155695,48,4096,16,random,1000,72.28105,71.643,5.587217852995964,62.468,69.4875,73.9465,66.8253,78.1358,130.66,30
8388576,174762,48,4096,16,random,1000,95.914182,91.279,11.80979162716909,79.054,87.6625,102.426,84.3078,116.18260000000001,184.418,15
9415872,196164,48,4096,16,random,1000,130.424566,127.432,15.059386676312908,108.356,121.43,133.47050000000002,114.85130000000001,161.9782,226.402,83
10568976,220187,48,4096,16,random,1000,142.72349,140.901,9.679527032839955,124.232,136.138,146.7,131.5919,161.4587,214.122,44
11863248,247151,48,4096,16,random,1000,169.466288,165.231,16.811420501085575,144.182,158.137,176.827,150.9519,198.8125,312.524,25
13316064,277418,48,4096,16,random,1000,185.302334,177.368,19.913286261543526,164.134,172.815,191.0965,168.9016,228.7869,318.06,77
14946768,311391,48,4096,16,random,1000,189.577502,186.769,11.699300388038832,173.364,183.0745,191.4005,178.7006,210.8763,290.584,100
16777200,349525,48,4096,16,random,1000,201.979364,198.414,14.629863985825287,182.12,193.454,205.4485,188.7827,219.8782,336.034,43
18831744,392328,48,4096,16,random,1000,205.815408,202.53,12.017776855062424,189.62,199.446,209.55349999999999,195.6872,221.0873,314.182,31
21137952,440374,48,4096,16,random,1000,223.821246,213.924,26.183112119603962,200.064,209.1035,225.5505,204.6761,295.1304999999999,362.588,137
23726544,494303,48,4096,16,random,1000,222.60766,219.87400000000002,12.325208405485022,206.892,214.97,227.2605,211.47709999999998,236.84429999999998,338.756,26
26632128,554836,48,4096,16,random,1000,232.10511,227.409,17.298593749944693,214.282,222.9665,234.749,219.353,258.7784,360.078,60
29893584,622783,48,4096,16,random,1000,231.47379,229.75799999999998,10.127503379441578,218.46,226.6235,233.474,222.8451,241.91199999999998,344.508,40
33554400,699050,48,4096,16,random,1000,236.577718,233.86,12.07348239297882,224.43,231.67,236.89100000000002,229.12120000000002,246.7505,353.292,68
