num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,524288,random,1000,6.168792,6.12,0.5651755232740605,5.976,6.12,6.144,6.12,6.144,20.832,17
3,524288,random,1000,6.26964,6.12,0.5419600198013346,6.072,6.12,6.144,6.12,7.656,13.992,89
4,524288,random,1000,6.14904,6.12,0.36935426486365763,5.616,6.12,6.144,6.12,6.144,13.992,4
5,524288,random,1000,6.138552,6.12,0.22273966025890463,5.64,6.12,6.144,6.12,6.144,11.568,4
6,524288,random,1000,6.163824,6.12,0.5667290559401792,5.88,6.12,6.144,6.12,6.144,22.632,18
7,524288,random,1000,6.142752,6.12,0.3089229610953059,5.88,6.12,6.144,6.12,6.144,13.584,5
8,524288,random,1000,6.14364,6.12,0.28955812250100377,6.0,6.12,6.144,6.12,6.144,14.472,22
9,524288,random,1000,18.195791999999997,18.24,1.57441325637135,14.376,18.24,18.24,14.422799999999999,22.656,27.816,308
10,524288,random,1000,9.689616000000001,9.648,0.5167366731066543,9.576,9.648,9.672,9.648,9.672,22.584,6
11,524288,random,1000,9.913176,9.672,0.8819472637295269,9.576,9.648,9.672,9.648,12.072,21.6,116
12,524288,random,1000,10.015608,9.672,0.9186018395777766,9.576,9.648,9.672,9.648,12.072,17.208,147
13,524288,random,1000,29.156232,28.32,1.6095280894867436,28.248,28.296,29.088,28.272,33.6504,36.6,102
14,524288,random,1000,27.53988,27.072,1.3951266480015225,26.976,27.024,27.288,27.0,31.968,37.968,98
15,524288,random,1000,25.8444,25.488,1.2865990926567707,25.248,25.434,25.512,25.344,30.264,35.424,170
16,524288,random,1000,25.042344,24.672,1.3210898561687892,24.336,24.408,24.936,24.36,28.8,35.712,96
17,524288,random,1000,29.466408,29.016,1.5370898369004666,27.96,28.968,29.064,28.752,34.296,35.328,263
18,524288,random,1000,29.037624,28.464,1.6168167054069185,27.936,28.464,28.584,27.984,33.552,37.224,184
19,524288,random,1000,28.265184,27.816,1.6630734329509889,27.408,27.528,27.84,27.432,32.448,41.64,126
20,524288,random,1000,26.54232,26.112,1.387614319290162,26.064,26.112,26.136,26.088,30.744,37.896,229
21,524288,random,1000,29.732184,29.064,1.8181502084053247,28.848,28.872,29.544,28.872,34.3212,48.072,114
22,524288,random,1000,28.788936,28.344,1.4802741365785674,28.2,28.296,28.536,28.248,33.408,40.752,76
23,524288,random,1000,28.41684,27.696,1.9692464777396683,27.552,27.624,27.84,27.6,32.6652,49.248,151
24,524288,random,1000,27.875256,27.264,1.7047320745237098,27.192,27.24,27.288,27.216,32.0892,41.784,180
25,524288,random,1000,29.587056,29.352,1.5950304018566062,28.848,28.944,29.376,28.896,34.272,41.712,75
26,524288,random,1000,29.11608,28.632,1.523915885219793,28.392,28.584,28.68,28.44,33.8172,40.536,247
27,524288,random,1000,28.56,28.368,1.3731262679548983,27.864,27.936,28.464,27.888,33.408,38.04,69
28,524288,random,1000,27.547272,26.928,1.6782501725480792,26.856,26.904,26.976,26.856,31.872,38.088,134
29,524288,random,1000,29.519136,29.016,1.5587427974533234,28.464,28.896,29.52,28.488,34.392,40.032,87
30,524288,random,1000,29.433552,28.848,1.631392148945078,28.248,28.752,29.016,28.32,34.032,37.152,265
31,524288,random,1000,28.928976,28.656,1.2850943945979327,28.08,28.44,28.968,28.104,32.645999999999994,41.928,69
32,524288,random,1000,28.670256,28.224,1.3742438330138422,27.24,28.2,28.896,27.792,32.976,40.296,72
33,524288,random,1000,29.323176,29.064,1.1980194103317074,28.824,29.016,29.184,28.992,29.305199999999996,45.552,48
34,524288,random,1000,29.466336000000002,28.92,1.6488587466093845,28.728,28.848,28.968,28.8,34.2,39.36,121
35,524288,random,1000,29.168928,28.776,1.6698137551214485,28.392,28.464,28.824,28.416,34.008,45.216,95
36,524288,random,1000,28.711872,28.224,1.458437404648989,28.032,28.2,28.248,28.128,33.288,36.264,215
37,524288,random,1000,29.472552,29.304,1.1987348215800142,28.872,29.136,29.358,28.896,29.568,44.112,46
38,524288,random,1000,29.326968,29.16,1.0976974166839395,28.92,28.992,29.184,28.944,29.497199999999996,43.872,51
39,524288,random,1000,36.544536,36.312,1.4585666475582695,34.536,35.712,36.84,35.1588,39.505199999999995,51.288,65
40,524288,random,1000,29.408736,28.728,1.7384965656027662,28.56,28.656,28.776,28.608,33.96,38.832,199
