size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,6.27396,6.072,1.1700391369445649,5.688,5.952,6.144,5.712,6.336,15.456,48
1112,139,random,1000,6.12768,6.12,0.3876951342448305,5.664,6.048,6.144,5.8548,6.264,13.368,110
1216,152,random,1000,6.067224,6.048,0.30767564434989997,5.88,5.952,6.144,5.88,6.288,13.008,2
1328,166,random,1000,6.102024,6.12,0.37078927183524085,5.664,6.018,6.144,5.832,6.288,14.832,86
1448,181,random,1000,6.093456,6.072,0.4188941350274081,5.664,5.976,6.168,5.784,6.361199999999999,14.208,17
1576,197,random,1000,6.081552,6.096,0.324209782824762,5.664,5.976,6.168,5.808,6.264,12.504,11
1720,215,random,1000,6.108864,6.072,1.0429846856778668,5.712,5.952,6.144,5.784,6.336,34.584,3
1872,234,random,1000,6.104904,6.12,0.3330746605695389,5.664,6.0,6.168,5.808,6.288,13.488,47
2048,256,random,1000,6.12432,6.12,0.3654305913810681,5.808,6.024,6.144,5.952,6.24,13.824,23
2232,279,random,1000,6.075096,6.072,0.31686423864129853,5.472,5.976,6.144,5.808,6.336,12.96,29
2432,304,random,1000,6.121512,6.12,0.33213480905708664,5.808,6.024,6.168,5.832,6.288,12.504,36
2656,332,random,1000,6.29904,6.12,0.5853999756846011,5.688,5.976,6.264,5.856,7.656,11.28,143
2896,362,random,1000,6.3150960000000005,6.12,0.5856559806846606,5.64,6.072,6.198,5.856,7.68,10.584,215
3152,394,random,1000,6.32448,6.12,0.5819044718975911,5.64,6.096,6.192,5.832,7.68,10.536,254
3440,430,random,1000,6.29412,6.12,0.5745226173422922,5.712,6.0,6.216,5.832,7.656,10.464,144
3752,469,random,1000,6.202584,6.12,0.5135093288098813,5.448,6.0,6.192,5.832,7.488,14.832,86
4096,512,random,1000,6.146256,6.072,0.4215958794266727,5.76,5.976,6.144,5.808,7.369199999999999,10.224,61
4464,558,random,1000,6.223968,6.12,0.5021586704482023,5.52,6.096,6.144,5.856,7.609199999999999,13.224,289
4864,608,random,1000,6.212616,6.12,0.5420937023487048,5.664,5.976,6.168,5.808,7.608,13.968,93
5312,664,random,1000,6.110352,6.12,0.2937193816743648,5.76,6.024,6.144,5.832,6.312,12.216,95
5792,724,random,1000,6.231024,6.12,0.5140735735894845,5.64,6.024,6.192,5.832,7.609199999999999,11.64,119
6312,789,random,1000,6.071856,6.072,0.2996001794584435,5.592,5.952,6.168,5.808,6.312,12.096,7
6888,861,random,1000,6.277416,6.12,0.5569380997839805,5.496,6.0,6.24,5.832,7.656,11.4,133
7512,939,random,1000,6.295464,6.12,0.6152063585233556,5.64,6.0,6.216,5.832,7.68,12.624,140
8192,1024,random,1000,6.2096160000000005,6.12,0.4836278780927217,5.64,6.024,6.192,5.832,7.585199999999999,13.752,85
8928,1116,random,1000,6.269832,6.12,0.591696026658929,5.64,6.024,6.192,5.808,7.656,14.016,151
9736,1217,random,1000,6.279984,6.12,0.551601602673589,5.64,6.024,6.192,5.856,7.656,10.512,143
10624,1328,random,1000,6.189384,6.12,0.5304019181137439,5.568,6.0,6.216,5.784,7.44,14.4,79
11584,1448,random,1000,6.106344,6.12,0.28501075206523846,5.64,6.024,6.168,5.856,6.264,11.904,24
12632,1579,random,1000,6.415608,6.144,0.6776214940696799,5.64,6.048,6.288,5.856,7.704,12.864,214
13776,1722,random,1000,6.29568,6.12,0.610570006906115,5.496,6.024,6.216,5.8548,7.68,13.008,147
15024,1878,random,1000,6.188856,6.12,0.45566280499493905,5.64,6.0,6.192,5.832,7.537199999999999,12.312,80
16384,2048,random,1000,6.10164,6.12,0.3103832214281954,5.592,6.0,6.144,5.832,6.312,12.432,36
17864,2233,random,1000,6.252192,6.12,0.52883032500855,5.616,6.024,6.216,5.808,7.656,11.712,119
19480,2435,random,1000,6.302664,6.12,0.57535383125094,5.64,6.024,6.24,5.832,7.68,11.184,148
21240,2655,random,1000,6.200736,6.12,0.5728198013588818,5.64,6.0,6.192,5.808,7.465199999999999,15.48,77
23168,2896,random,1000,6.347376,6.144,0.6170830885400783,5.616,6.024,6.288,5.856,7.656,13.536,156
25264,3158,random,1000,6.287208,6.12,0.5762701623683426,5.664,6.0,6.264,5.856,7.68,11.592,119
27552,3444,random,1000,6.33144,6.144,0.6163616114230639,5.592,6.024,6.288,5.856,7.704,12.936,141
30048,3756,random,1000,6.358536,6.168,0.6116378974700812,5.664,6.048,6.336,5.88,7.776,13.416,134
32768,4096,random,1000,6.281136,6.24,0.45957392190342317,5.688,6.12,6.36,5.976,6.624,13.44,31
35728,4466,random,1000,7.247568,7.056,0.6779095269301817,6.336,6.912,7.224,6.744,8.832,14.712,121
38968,4871,random,1000,7.636392,7.608,0.3757764418777077,7.008,7.488,7.728,7.3188,7.896,15.24,19
42488,5311,random,1000,8.292048,8.088,0.6922033741662975,7.464,7.968,8.232,7.824,10.104,14.232,109
46336,5792,random,1000,8.554968,8.424,0.5942989940007222,7.92,8.328,8.544,8.184,10.345199999999998,15.96,64
50528,6316,random,1000,8.97984,8.76,0.7749261260926108,8.28,8.664,8.88,8.52,10.969199999999999,15.792,102
55104,6888,random,1000,9.04128,9.012,0.35450834371812134,8.448,8.904,9.12,8.76,9.264,14.328,14
60096,7512,random,1000,9.309384,9.288,0.3162456511256019,8.856,9.192,9.384,9.070799999999998,9.528,14.496,12
65536,8192,random,1000,9.53004,9.504,0.4879543768364763,9.024,9.402,9.6,9.24,9.744,19.536,16
71464,8933,random,1000,9.744936000000001,9.696,0.5530125086638988,9.264,9.624,9.792,9.48,9.912,21.984,24
77936,9742,random,1000,9.972456,9.912,0.5401611445912471,9.456,9.84,10.008,9.72,10.152,21.984,28
84984,10623,random,1000,10.152,10.104,0.6151162491757147,9.696,10.032,10.2,9.888,10.344,23.208,23
92680,11585,random,1000,10.363415999999999,10.248,0.6870651595572851,9.888,10.176,10.344,10.056,10.536,22.152,46
101064,12633,random,1000,10.43184,10.392,0.40729237345852365,10.056,10.32,10.488,10.2,10.632,17.592,15
110216,13777,random,1000,10.589496,10.56,0.44810459461124896,10.2,10.488,10.632,10.368,10.776,20.184,31
