size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,262144,sequential,1000,6.15696,6.144,0.3442792916087615,5.64,6.072,6.216,5.928,6.336,13.488,19
2127656,265957,sequential,1000,6.170424,6.12,0.4506400966633137,5.496,6.0,6.192,5.808,7.297199999999999,13.08,72
2158600,269825,sequential,1000,6.212856,6.12,0.5745074952741053,5.64,6.048,6.216,5.832,7.417199999999999,15.696,80
2190000,273750,sequential,1000,6.109968,6.12,0.3555507042311677,5.544,6.024,6.168,5.808,6.312,13.536,54
2221848,277731,sequential,1000,6.217584,6.12,0.5468455751188145,5.616,6.018,6.198,5.832,7.536,13.296,91
2254168,281771,sequential,1000,6.108264,6.12,0.4355158094998669,5.52,6.0,6.168,5.8548,6.312,15.216,14
2286960,285870,sequential,1000,6.33312,6.12,0.6423720007810018,5.544,6.048,6.24,5.856,7.656,13.008,168
2320224,290028,sequential,1000,6.235248,6.144,0.5363440047090928,5.544,6.048,6.216,5.9028,7.584,14.592,103
2353968,294246,sequential,1000,6.104184,6.12,0.3867653572718033,5.616,6.0,6.168,5.832,6.312,13.92,17
2388208,298526,sequential,1000,6.1095120000000005,6.12,0.3636959672757077,5.544,6.024,6.168,5.856,6.312,13.368,38
2422944,302868,sequential,1000,6.268368,6.144,0.6183774763680185,5.592,6.072,6.216,5.904,7.656,16.152,111
2458192,307274,sequential,1000,6.111048,6.12,0.3791631342553999,5.544,6.024,6.168,5.856,6.312,15.504,38
2493944,311743,sequential,1000,6.098016,6.096,0.34579372615049725,5.592,6.0,6.168,5.832,6.312,13.944,25
2530216,316277,sequential,1000,6.107448,6.12,0.31846068596375365,5.664,6.0,6.168,5.808,6.312,12.456,32
2567024,320878,sequential,1000,6.09372,6.12,0.2813588392007552,5.544,6.024,6.168,5.808,6.288,12.432,60
2604360,325545,sequential,1000,6.122808,6.12,0.3360903447822562,5.712,6.048,6.192,5.88,6.312,13.104,41
2642240,330280,sequential,1000,6.1698960000000005,6.144,0.3589797426591641,5.736,6.072,6.216,5.976,6.336,12.72,19
2680672,335084,sequential,1000,6.148248,6.12,0.3852095597215896,5.544,6.048,6.192,5.88,6.336,13.392,34
2719664,339958,sequential,1000,6.109632,6.12,0.39045872841389345,5.544,6.024,6.168,5.856,6.312,13.272,40
2759224,344903,sequential,1000,6.103104,6.096,0.31098507504525186,5.64,6.0,6.168,5.856,6.312,12.6,25
2799360,349920,sequential,1000,6.152184,6.144,0.3372851603961008,5.616,6.072,6.216,5.928,6.336,12.552,19
2840080,355010,sequential,1000,6.106704,6.12,0.3273032229963277,5.544,6.024,6.168,5.832,6.312,12.816,44
2881384,360173,sequential,1000,6.145224,6.12,1.2009803560590155,5.544,6.0,6.168,5.808,6.312,42.888,39
2923296,365412,sequential,1000,6.130488,6.12,0.30280088876064126,5.616,6.048,6.192,5.904,6.312,13.68,24
2965816,370727,sequential,1000,6.10488,6.096,0.3339112251876333,5.592,6.0,6.168,5.856,6.312,12.84,19
3008960,376120,sequential,1000,6.258552,6.144,0.5229115831761807,5.64,6.072,6.216,5.952,7.609199999999999,15.648,86
3052720,381590,sequential,1000,6.1076880000000005,6.12,0.35847430938142066,5.544,6.024,6.168,5.856,6.312,13.344,46
3097128,387141,sequential,1000,6.10512,6.12,0.3275994917990977,5.64,6.0,6.168,5.808,6.312,12.576,24
3142176,392772,sequential,1000,6.149904,6.12,0.37699273508425374,5.544,6.048,6.216,5.88,6.336,13.056,38
3187880,398485,sequential,1000,6.112776,6.12,0.385039433291175,5.664,6.024,6.168,5.832,6.312,13.536,40
3234248,404281,sequential,1000,6.141552,6.12,0.37846430019557,5.664,6.048,6.192,5.88,6.312,13.536,43
3281288,410161,sequential,1000,6.136152,6.12,0.33959982470098093,5.664,6.048,6.192,5.856,6.312,13.056,44
3329016,416127,sequential,1000,6.231672,6.12,0.5508998521174816,5.712,6.024,6.216,5.88,7.585199999999999,13.944,84
3377440,422180,sequential,1000,6.257712,6.144,0.5697455001937188,5.616,6.048,6.216,5.904,8.064,12.648,78
3426568,428321,sequential,1000,6.13332,6.12,0.37340254828142655,5.688,6.048,6.192,5.8788,6.336,14.472,46
3476408,434551,sequential,1000,6.110856,6.12,0.3474213592525147,5.688,6.0,6.168,5.856,6.312,13.992,15
3526968,440871,sequential,1000,6.131856,6.12,0.357272521919779,5.616,6.024,6.192,5.88,6.336,13.296,25
3578272,447284,sequential,1000,6.125544,6.12,0.3110640977948708,5.544,6.048,6.192,5.9028,6.312,11.616,38
3630320,453790,sequential,1000,6.22284,6.12,0.5259396190466001,5.64,6.024,6.192,5.856,7.656,12.384,97
3683128,460391,sequential,1000,6.119616,6.12,0.33843795412570504,5.664,6.024,6.192,5.88,6.336,13.776,16
3736696,467087,sequential,1000,6.130416,6.12,0.34545399318202336,5.64,6.024,6.192,5.88,6.337199999999999,12.888,27
3791048,473881,sequential,1000,6.126864,6.12,0.28644445173179384,5.688,6.048,6.192,5.88,6.336,12.552,41
3846192,480774,sequential,1000,6.105,6.12,0.32922765200822196,5.64,6.024,6.168,5.856,6.312,13.8,34
3902136,487767,sequential,1000,6.125952,6.12,0.312916644687563,5.712,6.0,6.192,5.88,6.336,11.136,15
3958896,494862,sequential,1000,6.119784,6.12,0.3263680950667168,5.712,6.024,6.168,5.856,6.312,11.808,40
4016472,502059,sequential,1000,6.118944,6.12,0.2829670992239969,5.616,6.024,6.192,5.856,6.336,11.88,20
4074896,509362,sequential,1000,6.12612,6.12,0.315925387473768,5.664,6.048,6.192,5.856,6.312,12.048,46
4134168,516771,sequential,1000,6.126744,6.12,0.3131538276690608,5.616,6.024,6.192,5.856,6.336,11.928,23
4194304,524288,sequential,1000,6.160776,6.144,0.2985151472155427,5.688,6.072,6.216,5.952,6.336,12.696,21
4255312,531914,sequential,1000,6.124032,6.12,0.3007908145041835,5.496,6.024,6.192,5.856,6.336,11.328,28
4317200,539650,sequential,1000,6.14364,6.12,0.28254164326728937,5.712,6.048,6.192,5.856,6.336,11.232,52
4380000,547500,sequential,1000,6.128544,6.12,0.40323110419136493,5.544,6.048,6.192,5.88,6.312,14.328,34
4443704,555463,sequential,1000,6.136344,6.12,0.28577240512605756,5.64,6.024,6.192,5.904,6.336,11.304,24
4508344,563543,sequential,1000,6.11844,6.12,0.2670679233372584,5.688,6.024,6.192,5.88,6.336,10.464,23
4573920,571740,sequential,1000,6.146832,6.12,0.39067625434842046,5.592,6.048,6.192,5.904,6.336,15.048,38
4640448,580056,sequential,1000,6.155712,6.144,0.3509959932011237,5.808,6.072,6.192,5.952,6.336,13.704,55
4707944,588493,sequential,1000,6.116064,6.12,0.2852492296694718,5.64,6.024,6.192,5.856,6.312,11.88,29
4776424,597053,sequential,1000,6.217008,6.12,0.4765692627501255,5.592,6.024,6.192,5.856,7.56,12.12,101
4845896,605737,sequential,1000,6.16164,6.12,0.39168788825007317,5.664,6.048,6.216,5.904,6.336,13.392,25
4916384,614548,sequential,1000,6.1541760000000005,6.12,0.40177496206725494,5.544,6.048,6.216,5.88,6.36,13.344,42
4987896,623487,sequential,1000,6.13764,6.12,0.3654772715724414,5.688,6.024,6.192,5.904,6.336,14.592,23
5060440,632555,sequential,1000,6.13512,6.12,0.25617910401383903,5.712,6.024,6.192,5.88,6.336,10.272,25
