size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2286960,285870,random,1000,24.974136,24.768,0.9909200977597257,23.928,24.6,24.936,24.384,27.34799999999999,33.6,64
2320224,290028,random,1000,25.267464,24.816,1.3337129432223858,24.0,24.648,25.008,24.432,28.464,34.584,134
2353968,294246,random,1000,25.018872,24.888,0.7782861433540603,24.192,24.72,25.08,24.528,25.369199999999996,31.488,33
2388208,298526,random,1000,25.128456,25.008,0.8108463429379551,24.336,24.84,25.152,24.624,25.4412,31.632,41
2422944,302868,random,1000,25.212336,25.08,0.851908654410471,24.336,24.936,25.224,24.696,25.56,36.48,41
2458192,307274,random,1000,25.269216,25.2,0.7102135880738164,24.384,25.032,25.344,24.84,25.608,32.904,22
2493944,311743,random,1000,25.634592,25.344,1.1479373648983335,24.552,25.176,25.512,24.936,28.945199999999996,34.656,88
2530216,316277,random,1000,25.552632,25.392,0.8708910217402334,24.72,25.224,25.56,25.008,25.946399999999997,31.632,47
2567024,320878,random,1000,25.619688,25.512,0.8224545398538002,24.72,25.344,25.662,25.104,25.944,34.56,37
2604360,325545,random,1000,25.682448,25.608,0.7360750435694486,24.936,25.464,25.752,25.248,26.016,35.952,20
2642240,330280,random,1000,25.910712,25.728,0.910522980024751,24.984,25.56,25.896,25.344,26.257199999999997,32.784,50
2680672,335084,random,1000,26.06892,25.824,1.1463764078471208,25.032,25.656,25.992,25.44,29.329199999999997,39.624,66
2719664,339958,random,1000,25.966944,25.92,0.5928068832806049,25.176,25.752,26.088,25.536,26.304,32.16,17
2759224,344903,random,1000,26.337384,26.016,1.4549589623512156,25.224,25.872,26.16,25.68,29.832,51.624,84
2799360,349920,random,1000,26.159112,26.112,0.5751733963700788,25.416,25.962,26.256,25.728,26.496,33.12,17
2840072,355009,random,1000,26.353944,26.184,0.8850288542962523,25.584,26.04,26.352,25.848,26.736,33.864,43
2881384,360173,random,1000,26.334888,26.28,0.6380332984617229,25.56,26.112,26.424,25.896,26.664,33.384,18
2923296,365412,random,1000,26.441016,26.376,0.6983831289047143,25.656,26.208,26.52,25.968,26.76,34.296,25
2965816,370727,random,1000,26.623032,26.472,0.871699146711971,25.704,26.328,26.64,26.088,27.0,35.448,42
3008952,376119,random,1000,26.931984,26.592,1.2639111484337557,25.968,26.424,26.784,26.232,30.456,38.304,88
3052720,381590,random,1000,26.723472,26.64,0.668228591626149,26.016,26.496,26.808,26.28,27.073199999999996,33.216,20
3097128,387141,random,1000,26.876088,26.76,0.8304442943280314,25.992,26.592,26.904,26.376,27.192,34.992,33
3142176,392772,random,1000,26.887416,26.832,0.5524868040167227,26.112,26.688,26.976,26.472,27.216,32.784,19
3187880,398485,random,1000,26.991624,26.94,0.62353375928892,26.064,26.784,27.096,26.544,27.312,34.104,18
3234248,404281,random,1000,27.140304,27.0,0.8309571718237982,26.16,26.856,27.168,26.64,27.456,34.368,39
3281288,410161,random,1000,27.154632,27.072,0.7498926773903074,26.256,26.928,27.24,26.712,27.456,35.304,20
3329016,416127,random,1000,27.206568,27.144,0.6448530195267701,26.424,27.0,27.288,26.784,27.504,34.968,17
3377440,422180,random,1000,27.29484,27.252,0.6008742099776093,26.544,27.072,27.384,26.88,27.6,34.584,14
3426568,428321,random,1000,27.367584,27.336,0.5501717439962651,26.52,27.168,27.456,26.928,27.696,33.408,21
3476408,434551,random,1000,27.463152,27.384,0.6262998486319444,26.76,27.264,27.552,27.048,27.792,34.344,19
3526968,440871,random,1000,27.541992,27.504,0.5588658326959656,26.856,27.336,27.648,27.12,27.864,33.672,16
3578272,447284,random,1000,27.640296,27.576,0.6768064741027434,26.88,27.408,27.72,27.24,27.96,35.664,16
3630320,453790,random,1000,27.730176,27.672,0.6506227532072569,26.736,27.528,27.816,27.312,28.032,34.728,28
3683120,460390,random,1000,27.844248,27.72,0.816348864128544,27.072,27.576,27.888,27.36,28.128,36.168,29
3736696,467087,random,1000,27.86472,27.792,0.6546675547231642,27.12,27.648,27.96,27.432,28.1532,35.832,15
3791048,473881,random,1000,27.98604,27.864,0.8118139493062977,27.12,27.72,28.008,27.504,28.272,34.56,35
