size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2719664,339958,random,1000,26.063832,25.92,0.9434388165517553,25.056,25.728,26.088,25.536,26.376,35.424,38
2759224,344903,random,1000,26.192952,25.992,1.0105912271162483,25.224,25.848,26.16,25.632,26.617199999999997,34.032,55
2799360,349920,random,1000,26.142912,26.088,0.5916556368772704,25.416,25.944,26.232,25.704,26.496,32.4,19
2840072,355009,random,1000,26.378304,26.195999999999998,0.9934156664107278,25.608,26.04,26.352,25.848,26.736,37.68,48
2881384,360173,random,1000,26.440704,26.28,1.0204995304632314,25.464,26.112,26.448,25.848,26.784,39.48,46
2923296,365412,random,1000,26.497752,26.376,0.8444295635420304,25.68,26.232,26.52,25.992,26.832,35.832,37
2965816,370727,random,1000,26.533943999999998,26.472,0.6804231599089942,25.752,26.328,26.616,26.088,26.856,33.552,19
3008952,376119,random,1000,26.629824,26.544,0.6843777362757425,25.872,26.424,26.736,26.206799999999998,26.952,34.824,17
3052720,381590,random,1000,26.710056,26.664,0.6660839712233891,25.728,26.496,26.808,26.256,27.048,33.792,20
3097128,387141,random,1000,26.860896,26.76,0.7619227963065099,26.016,26.616,26.904,26.4,27.192,33.864,38
3142176,392772,random,1000,26.895312,26.832,0.7016976915355403,26.256,26.688,26.976,26.472,27.192,36.768,13
3187880,398485,random,1000,26.984088,26.928,0.6138342322815833,26.184,26.784,27.072,26.544,27.312,33.624,22
3234248,404281,random,1000,27.117432,27.0,0.8169115385632875,26.328,26.856,27.168,26.64,27.456,37.248,36
3281288,410161,random,1000,27.138432,27.072,0.6595885918407673,26.256,26.928,27.24,26.688,27.48,34.776,18
3329016,416127,random,1000,27.209448,27.144,0.6436931599606912,26.376,27.0,27.288,26.808,27.528,35.76,14
3377440,422180,random,1000,27.303144,27.24,0.6827534456387104,26.544,27.096,27.384,26.88,27.624,36.168,17
3426568,428321,random,1000,27.369312,27.336,0.5865153560810824,26.688,27.168,27.456,26.952,27.672,33.816,19
3476408,434551,random,1000,27.55416,27.408,0.9173504817169426,26.784,27.264,27.552,27.048,27.84,34.68,40
3526968,440871,random,1000,27.759936,27.504,1.1333727019765323,26.808,27.336,27.672,27.1188,31.465199999999996,35.64,66
3578272,447284,random,1000,27.642264,27.576,0.7155086658838975,26.952,27.432,27.72,27.238799999999998,27.936,39.144,24
3630320,453790,random,1000,27.849096,27.672,1.0447832784280588,26.592,27.528,27.816,27.288,28.2,39.312,53
3683120,460390,random,1000,27.897624,27.744,0.9942207629845343,27.12,27.576,27.888,27.36,28.224,39.192,38
3736696,467087,random,1000,27.84948,27.792,0.5787357329979277,27.216,27.648,27.936,27.456,28.152,34.032,13
3791048,473881,random,1000,28.129632,28.032,0.7482503318643668,27.144,27.864,28.248,27.576,28.632,36.192,27
3846192,480774,random,1000,27.99672,27.936,0.6404588895387345,27.096,27.792,28.08,27.576,28.32,34.992,24
3902136,487767,random,1000,28.553712,28.392,0.9099364534984875,27.216,28.128,28.704,27.8388,29.448,35.16,44
3958888,494861,random,1000,28.142232,28.08,0.6856281558863696,27.36,27.936,28.224,27.744,28.44,36.672,18
4016472,502059,random,1000,28.752168,28.608,0.8690001962698958,27.624,28.368,28.944,28.008,29.641199999999998,40.032,32
4074896,509362,random,1000,28.330152,28.272,0.6395566351665704,27.576,28.104,28.416,27.912,28.68,35.232,22
4134168,516771,random,1000,29.05896,28.896,0.9123040112862647,27.672,28.608,29.256,28.272,30.0,35.808,35
4194296,524287,random,1000,26.416776,26.304,0.7654794972333908,25.704,26.184,26.424,25.992,26.64,33.168,38
4255304,531913,random,1000,26.36712,26.304,0.590317111298573,25.632,26.208,26.424,26.016,26.592,33.096,20
4317200,539650,random,1000,26.640336,26.376,1.5872446164900282,25.776,26.256,26.496,26.064,28.78319999999995,59.04,73
4380000,547500,random,1000,26.48796,26.376,0.8543102881672844,25.872,26.256,26.496,26.064,26.688,37.656,27
4443704,555463,random,1000,26.48628,26.424,0.6481974896477043,25.8,26.304,26.544,26.136,26.76,34.176,21
4508344,563543,random,1000,26.54736,26.496,0.5959258191939514,25.872,26.376,26.616,26.184,26.808,33.864,16
4573920,571740,random,1000,26.6424,26.592,0.646662617243753,26.112,26.472,26.712,26.28,26.88,38.928,16
4640448,580056,random,1000,26.807664,26.688,0.7350702329378815,26.16,26.568,26.808,26.4,27.048,32.28,33
4707944,588493,random,1000,26.841552,26.772,0.6987451696492135,26.28,26.658,26.904,26.472,27.073199999999996,34.704,17
4776424,597053,random,1000,27.050208,26.856,1.0163054193702998,26.28,26.736,27.0,26.568,27.312,35.544,51
4845896,605737,random,1000,27.025416,26.952,0.7415278190671274,26.376,26.832,27.072,26.664,27.288,37.752,22
4916384,614548,random,1000,27.17184,27.048,0.813921535939839,26.376,26.928,27.168,26.736,27.408,34.224,39
4987888,623486,random,1000,27.367392,27.144,1.0580496450485617,26.448,27.0,27.288,26.808,28.912799999999987,35.736,66
5060440,632555,random,1000,27.4032,27.216,0.9354938186245192,26.544,27.096,27.336,26.904,27.701999999999995,33.888,56
5134048,641756,random,1000,27.363816,27.288,0.7540542075288036,26.784,27.144,27.408,26.976,27.6,36.96,15
5208728,651091,random,1000,27.422088,27.36,0.6498070370821183,26.832,27.24,27.48,27.072,27.672,34.872,17
5284488,660561,random,1000,27.490056,27.432,0.5922110356745937,26.856,27.312,27.552,27.12,27.744,34.272,24
5361352,670169,random,1000,27.58428,27.528,0.6349848434028575,27.024,27.408,27.648,27.192,27.84,36.672,17
5439336,679917,random,1000,27.671544,27.6,0.7901755814459933,27.024,27.48,27.72,27.312,27.912,40.152,18
5518448,689806,random,1000,27.738192,27.672,0.6512389018196343,27.096,27.57,27.798000000000002,27.36,27.984,34.896,28
5598720,699840,random,1000,27.881664,27.744,1.008667390673957,27.072,27.624,27.888,27.432,28.129199999999997,41.184,31
5680152,710019,random,1000,27.968064000000002,27.84,0.8321389710686378,27.24,27.72,27.96,27.552,28.177199999999996,35.112,32
5762776,720347,random,1000,28.34412,28.056,1.1097567560765997,27.456,27.864,28.272,27.648,31.873199999999997,34.704,82
5846592,730824,random,1000,28.2288,27.984,1.102883362696034,27.312,27.864,28.128,27.696,31.705199999999998,35.976,64
5931640,741455,random,1000,28.104336,28.056,0.6215084487405266,27.432,27.912,28.152,27.768,28.32,35.16,21
6017912,752239,random,1000,28.504104,28.296,1.0998230839548695,27.432,28.104,28.488,27.888,29.328,43.416,69
6105448,763181,random,1000,28.339728,28.2,0.8805928604081468,27.624,28.08,28.32,27.888,28.632,37.416,46
6194256,774282,random,1000,28.761408,28.56,0.9324065419630514,27.72,28.344,28.872,28.104,29.6652,37.104,52
6284352,785544,random,1000,28.455,28.344,1.849737239679154,27.768,28.224,28.464,28.008,28.68,83.736,29
6375760,796970,random,1000,26.983176,26.928,0.649195027096794,26.4,26.808,27.024,26.664,27.192,33.96,20
6468496,808562,random,1000,27.001272,26.952,0.601528475238307,26.4,26.832,27.048,26.664,27.216,33.072,22
6562584,820323,random,1000,27.06384,27.0,0.613205031625484,26.4,26.88,27.096,26.712,27.264,33.768,22
6658040,832255,random,1000,27.12816,27.072,0.5910664175115262,26.544,26.976,27.174,26.808,27.336,34.008,21
6754880,844360,random,1000,27.39828,27.168,0.9914183051849789,26.568,27.072,27.288,26.904,30.744,33.696,73
6853136,856642,random,1000,27.3024,27.24,0.5943503380366872,26.712,27.144,27.336,26.976,27.504,34.536,20
6952816,869102,random,1000,27.385176,27.336,0.61509122106744,26.808,27.216,27.432,27.0708,27.576,33.936,18
7053944,881743,random,1000,27.630888,27.552,0.6060464732871432,26.928,27.384,27.72,27.216,28.152,35.064,41
7156544,894568,random,1000,27.626712,27.504,0.8313546461069451,26.904,27.384,27.6,27.216,27.84,35.304,40
7260640,907580,random,1000,27.621216,27.552,0.6221420915885101,26.952,27.456,27.672,27.264,27.84,35.544,21
7366248,920781,random,1000,27.707352,27.648,0.6517839783628089,27.168,27.528,27.744,27.36,27.912,35.4,19
7473392,934174,random,1000,27.783984,27.72,0.5967225532435905,27.168,27.624,27.84,27.48,28.008,35.736,16
7582096,947762,random,1000,28.21668,27.816,1.283683433232959,27.264,27.72,27.96,27.5508,31.752,36.696,108
7692384,961548,random,1000,27.963888,27.888,0.8270684601009118,27.36,27.768,27.984,27.6468,28.176,44.976,18
7804272,975534,random,1000,28.1022,27.96,0.8879306441546146,27.408,27.864,28.08,27.696,28.296,39.576,41
7917784,989723,random,1000,28.241712,28.032,0.9715982133290202,27.48,27.912,28.176,27.768,28.639199999999995,34.872,54
8032952,1004119,random,1000,28.709832,28.488,1.0112328968876299,27.696,28.248,28.8,27.936,29.905199999999997,35.472,57
8149792,1018724,random,1000,29.701224,29.472,1.1452367532720233,28.008,29.04,29.982,28.5828,31.416,36.96,51
8268336,1033542,random,1000,29.513472,29.4,0.8169808681694787,28.008,29.016,29.832,28.56,30.625199999999996,36.456,29
8388600,1048575,random,1000,27.429528,27.24,0.9599310458719568,26.736,27.12,27.336,27.0,28.725599999999982,37.632,61
8510616,1063827,random,1000,27.402288,27.24,0.8503368637415633,26.808,27.144,27.336,27.0,27.552,34.104,52
8634408,1079301,random,1000,27.513288,27.288,1.0875455412810815,26.712,27.192,27.408,27.046799999999998,29.005199999999967,39.072,59
8760000,1095000,random,1000,27.455568,27.36,1.239021450795559,26.88,27.264,27.456,27.12,27.624,59.784,30
8887416,1110927,random,1000,27.607632,27.432,0.9217042971514169,26.88,27.336,27.528,27.192,27.768,34.896,52
9016688,1127086,random,1000,27.561288,27.504,0.621510038361235,27.048,27.408,27.6,27.264,27.744,35.184,17
9147840,1143480,random,1000,27.639768,27.576,0.6393759800147483,27.168,27.48,27.672,27.336,27.816,40.416,14
9280896,1160112,random,1000,27.71304,27.648,0.5888829064232359,27.192,27.552,27.744,27.408,27.912,33.72,18
9415888,1176986,random,1000,27.87948,27.744,0.7622347324724762,27.192,27.648,27.84,27.48,28.081199999999995,34.008,53
9552848,1194106,random,1000,27.868584,27.816,0.5938148558490491,27.336,27.72,27.912,27.5748,28.056,34.92,18
9691792,1211474,random,1000,28.586136,28.416,2.5540946617236107,27.528,28.152,28.728,27.8868,29.329199999999997,106.488,21
9832768,1229096,random,1000,28.369272,28.2,0.8548478196795093,27.6,28.032,28.44,27.792,29.064,35.304,53
9975784,1246973,random,1000,28.76736,28.656,0.7253035499979574,27.744,28.368,29.016,28.032,29.592,35.76,25
10120888,1265111,random,1000,29.224128,29.112,0.8418654245240204,27.744,28.728,29.544,28.272,30.385199999999998,35.256,24
10268096,1283512,random,1000,29.621136,29.4,1.0969878375897428,28.056,29.016,29.904,28.512,31.2492,37.224,51
10417456,1302182,random,1000,30.441048,30.216,1.2639075963487634,28.056,29.736,30.792,29.1348,32.209199999999996,41.712,47
10568976,1321122,random,1000,27.459096,27.408,0.5277795657791746,26.952,27.312,27.504,27.192,27.624,33.864,13
10722704,1340338,random,1000,27.49632,27.432,0.6368343329057939,27.024,27.336,27.528,27.216,27.625199999999996,34.536,13
10878672,1359834,random,1000,27.5706,27.528,0.5734781505769765,27.072,27.432,27.6,27.288,27.744,34.104,24
11036904,1379613,random,1000,27.644328,27.6,0.5270094946236011,27.216,27.504,27.696,27.384,27.816,33.12,11
11197440,1399680,random,1000,27.72144,27.672,0.5741985844761499,27.24,27.576,27.768,27.456,27.888,34.128,17
11360312,1420039,random,1000,27.799728,27.744,0.5633302859131816,27.216,27.648,27.84,27.528,27.961199999999998,34.56,15
11525552,1440694,random,1000,28.08912,27.924,0.8226507277209567,27.36,27.792,28.104,27.624,28.584,35.376,52
11693192,1461649,random,1000,29.19912,29.016,0.9727267812654236,27.696,28.632,29.496,28.176,30.457199999999997,36.6,37
11863280,1482910,random,1000,28.596,28.464,0.7470212800133559,27.672,28.224,28.8,27.936,29.448,34.992,25
12035832,1504479,random,1000,29.830152000000002,29.688,0.989045606687633,27.984,29.232,30.264,28.656,31.177199999999996,39.192,23
12210896,1526362,random,1000,30.121656,29.928,1.2348482902623967,28.032,29.4,30.456,28.8,32.161199999999994,40.416,55
12388512,1548564,random,1000,31.730208,31.608,1.2223356843605857,28.872,30.912,32.352,30.0948,33.7452,38.832,21
12568704,1571088,random,1000,32.436456,32.244,1.3361546307449828,29.424,31.584,33.072,30.6708,34.536,40.104,29
12751520,1593940,random,1000,27.631056,27.528,0.8690196407446728,27.12,27.456,27.624,27.312,27.816,45.072,33
12936992,1617124,random,1000,27.656208,27.6,0.5747840197895252,27.192,27.504,27.672,27.384,27.816,34.512,20
13125168,1640646,random,1000,27.737712000000002,27.672,0.545814333214457,27.312,27.6,27.768,27.456,27.936,33.576,24
13316080,1664510,random,1000,28.103568,27.984,0.7129010094152097,27.264,27.816,28.224,27.6,28.681199999999997,37.272,35
13509768,1688721,random,1000,28.926912,28.752,0.9245574718614169,27.528,28.416,29.166,28.032,30.12,36.48,44
13706272,1713284,random,1000,29.44632,29.232,1.1035238821876754,27.672,28.824,29.712,28.32,31.179599999999994,37.152,52
13905632,1738204,random,1000,30.492528,30.384,1.049953070697289,28.032,29.832,30.96,29.1588,32.1132,37.608,25
14107896,1763487,random,1000,32.43576,32.292,1.461664439374966,28.872,31.464,33.144,30.456,34.7772,46.2,27
14313096,1789137,random,1000,33.405336,33.288,1.4109172642754892,29.904,32.442,34.2,31.392,35.712,41.208,23
14521288,1815161,random,1000,36.111384,35.952,1.7672714848163666,32.328,34.92,37.038,33.552,39.0288,44.328,28
14732504,1841563,random,1000,27.67236,27.624,0.5427440589389381,27.168,27.528,27.696,27.432,27.816,33.456,16
14946792,1868349,random,1000,27.887208,27.792,0.6297869388327487,27.264,27.648,27.96,27.48,28.344,34.776,38
15164200,1895525,random,1000,28.63476,28.368,1.0070053078758274,27.384,28.08,28.824,27.816,30.001199999999997,34.368,55
15384768,1923096,random,1000,30.315912,30.144,1.1069151826032009,28.152,29.616,30.816,28.896,31.9212,39.144,23
15608544,1951068,random,1000,32.307648,32.184,1.4043915464398493,28.992,31.392,32.934,30.456,34.5132,43.08,33
15835576,1979447,random,1000,34.992912,34.752,1.757124031227482,30.936,33.888,35.88,32.5908,38.0916,45.72,37
16065912,2008239,random,1000,36.006696,35.796,1.801349349533028,30.552,34.824,36.912,33.48,39.0744,43.944,29
16299592,2037449,random,1000,39.69288,39.528,2.0730610661009927,34.032,38.322,40.824,36.624,43.248,48.096,27
16536680,2067085,random,1000,40.839336,40.824,1.9709876507536577,34.944,39.48,42.024,37.704,44.064,48.504,15
