footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4088,73,56,4096,40,random,1000,6.2238240000000005,6.12,0.47750083567683105,5.904,6.12,6.144,6.12,7.656,16.056,61
4592,82,56,4096,40,random,1000,6.181104,6.096,0.5237601453660576,5.52,5.976,6.168,5.832,7.536,14.136,95
5152,92,56,4096,40,random,1000,6.1074720000000005,6.096,0.7550925545798886,5.76,6.0,6.168,5.808,6.264,28.32,3
5768,103,56,4096,40,random,1000,6.1764,6.12,0.5056962731924378,5.496,6.0,6.192,5.784,7.225199999999999,13.8,85
6496,116,56,4096,40,random,1000,6.08484,6.12,0.2846965446269458,5.664,5.976,6.192,5.808,6.24,12.6,2
7280,130,56,4096,40,random,1000,6.122736,6.12,0.25023117700627545,5.904,6.072,6.192,5.904,6.24,11.592,2
8176,146,56,4096,40,random,1000,6.31968,6.12,0.6165821982568156,5.712,6.072,6.216,5.88,7.656,14.16,175
9184,164,56,4096,40,random,1000,6.079776,6.12,0.27586341992089214,5.664,6.048,6.144,5.784,6.24,11.16,104
10304,184,56,4096,40,random,1000,6.11232,6.12,0.21720663968747445,5.928,5.976,6.216,5.928,6.336,10.68,2
11536,206,56,4096,40,random,1000,6.067056,6.072,0.26757563713011245,5.592,5.952,6.144,5.808,6.288,11.184,22
12992,232,56,4096,40,random,1000,6.264312,6.12,0.5522536724864532,5.64,6.12,6.192,5.856,7.656,12.312,247
14560,260,56,4096,40,random,1000,6.23328,6.144,0.5160155595112008,5.76,6.072,6.192,5.856,7.584,13.176,206
16352,292,56,4096,40,random,1000,6.108768,6.12,0.27755948090714083,5.736,6.072,6.144,5.808,6.288,11.112,254
18368,328,56,4096,40,random,1000,6.29832,6.12,0.5637972161166644,5.736,6.072,6.192,5.784,7.656,10.704,251
20608,368,56,4096,40,random,1000,6.096192,6.12,0.21135470173607673,5.664,6.072,6.144,5.832,6.24,10.632,191
23128,413,56,4096,40,random,1000,6.105528,6.096,0.4281236773399705,5.52,5.976,6.192,5.808,6.337199999999999,16.8,18
25984,464,56,4096,40,random,1000,6.20184,6.192,0.37341870323797116,5.664,6.072,6.312,5.904,6.48,13.848,8
29176,521,56,4096,40,random,1000,6.211992,6.168,0.3742324650185682,5.688,6.072,6.288,5.904,6.504,12.936,28
32760,585,56,4096,40,random,1000,6.392568,6.36,0.3907806378044885,5.784,6.24,6.504,6.048,6.744,14.208,20
36736,656,56,4096,40,random,1000,8.902848,8.88,0.3850059616246045,8.328,8.76,8.976,8.616,9.144,14.616,16
41272,737,56,4096,40,random,1000,10.270176,10.392,4.063905242847924,8.376,10.224,10.488,8.64,10.632,134.976,266
46312,827,56,4096,40,random,1000,9.271704,9.168,0.572655937895703,8.712,9.072,9.24,8.928,10.131599999999953,14.64,61
51968,928,56,4096,40,random,1000,9.835032,9.576,0.8474239590325154,9.072,9.48,9.672,9.336,11.928,18.024,125
58352,1042,56,4096,40,random,1000,10.015392,9.888,0.6194777857704528,9.48,9.816,9.984,9.672,10.250399999999997,17.04,60
65520,1170,56,4096,40,random,1000,10.285176,10.272,0.4224759957571448,9.864,10.176,10.344,10.056,10.464,17.016,11
73528,1313,56,4096,40,random,1000,10.330512,10.32,0.3727249787252872,10.008,10.224,10.374,10.128,10.488,16.776,8
82544,1474,56,4096,40,random,1000,10.748904,10.728,0.33371886231237075,10.368,10.656,10.8,10.536,10.92,16.488,21
92680,1655,56,4096,40,random,1000,11.118696,10.824,0.9817344927210198,10.44,10.752,10.92,10.632,13.5132,22.368,113
103992,1857,56,4096,40,random,1000,11.052624,11.04,0.30616330706764083,10.68,10.968,11.112,10.872,11.208,16.512,9
116760,2085,56,4096,40,random,1000,11.17164,11.136,0.45903637415001525,10.776,11.088,11.208,10.992,11.304,22.488,13
131040,2340,56,4096,40,random,1000,11.510807999999999,11.304,0.8579905494345023,10.992,11.232,11.376,11.136,14.064,21.456,79
