footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
65536,2048,32,4096,0,random,1000,10.365456,9.912,1.8760637748625049,9.552,9.816,10.008,9.696,12.576,25.944,81
73536,2298,32,4096,0,random,1000,10.244616,10.104,0.7339859316716445,9.744,10.032,10.2,9.912,10.519199999999994,20.928,57
82560,2580,32,4096,0,random,1000,10.470024,10.368,0.8713832016444363,9.912,10.272,10.44,10.152,10.608,30.672,46
92672,2896,32,4096,0,random,1000,10.792632,10.584,0.7937626217425936,10.176,10.512,10.704,10.392,13.152,18.648,78
104032,3251,32,4096,0,random,1000,10.817448,10.776,0.5072371208742443,10.416,10.704,10.848,10.608,10.968,21.24,15
116768,3649,32,4096,0,random,1000,11.025264,10.968,0.45357217068292227,10.608,10.896,11.064,10.776,11.16,18.768,19
131072,4096,32,4096,0,random,1000,11.235456,11.088,0.8173496219296051,10.704,11.016,11.16,10.896,11.929199999999977,24.792,70
147104,4597,32,4096,0,random,1000,11.307456,11.232,0.5871165829253556,10.848,11.16,11.304,11.064,11.448,20.976,38
165120,5160,32,4096,0,random,1000,11.389272,11.328,0.5209085291216796,11.016,11.256,11.4,11.184,11.496,20.4,21
185344,5792,32,4096,0,random,1000,11.523624,11.4,0.7191395054175874,11.088,11.328,11.448,11.232,11.664,22.512,65
208064,6502,32,4096,0,random,1000,11.65704,11.52,0.6993424556469242,11.16,11.448,11.592,11.352,11.860799999999996,19.872,53
233536,7298,32,4096,0,random,1000,11.631168,11.568,0.6118552857225855,11.232,11.496,11.664,11.4,11.784,22.536,23
262144,8192,32,4096,0,random,1000,11.828856,11.76,0.5931082098678222,11.448,11.688,11.832,11.592,11.976,22.536,51
294240,9195,32,4096,0,random,1000,13.017312,12.936,0.5840742670289502,12.48,12.816,13.08,12.648,13.346399999999997,21.984,44
330272,10321,32,4096,0,random,1000,13.654224,13.464,0.8269899480635773,13.056,13.344,13.584,13.224,15.15599999999999,23.568,91
370720,11585,32,4096,0,random,1000,14.254728,13.968,1.1458137681173182,13.416,13.848,14.112,13.68,17.065199999999997,31.92,113
416128,13004,32,4096,0,random,1000,14.792304,14.592,0.841630432772823,14.184,14.496,14.736,14.352,15.770399999999999,24.696,90
467072,14596,32,4096,0,random,1000,15.431519999999999,15.24,0.8388043313588136,14.664,15.096,15.408,14.928,16.707599999999996,22.344,81
524288,16384,32,4096,0,random,1000,16.749168,16.44,1.0482500426558197,15.696,16.272,16.68,16.032,19.752,24.12,104
588480,18390,32,4096,0,random,1000,18.030672,17.808,1.0189053206596128,16.632,17.592,18.048,17.232,21.001199999999997,25.248,97
660544,20642,32,4096,0,random,1000,19.46388,19.128,1.3204092131192096,18.192,18.888,19.44,18.624,22.536,36.96,97
741440,23170,32,4096,0,random,1000,21.211944,20.904,1.1778306371774652,19.968,20.664,21.168,20.424,24.576,28.896,96
832224,26007,32,4096,0,random,1000,22.602024,22.392,0.9575900679111925,21.648,22.218,22.608,21.936,23.894399999999987,29.016,62
934144,29192,32,4096,0,random,1000,24.06288,23.616,1.404657703807182,22.704,23.4,23.928,23.136,27.648,35.16,114
1048576,32768,32,4096,0,random,1000,24.891336,24.672,1.0470275879239639,23.784,24.48,24.912,24.192,27.171599999999994,32.232,63
1176960,36780,32,4096,0,random,1000,26.210808,25.8,1.616501806131136,25.032,25.56,26.04,25.296,29.976,54.072,100
1321120,41285,32,4096,0,random,1000,26.859312,26.592,1.1497668435167412,25.776,26.376,26.808,26.112,30.553199999999997,33.888,70
1482880,46340,32,4096,0,random,1000,27.476472,27.264,1.0146764141545035,26.544,27.072,27.456,26.832,30.062399999999986,34.8,58
1664480,52015,32,4096,0,random,1000,28.303968,27.96,1.2589763955454212,27.24,27.792,28.2,27.576,32.185199999999995,39.6,76
1868320,58385,32,4096,0,random,1000,28.74768,28.584,0.9307928152198345,27.72,28.392,28.8,28.08,29.2812,36.576,46
2097152,65536,32,4096,0,random,1000,25.330056,25.128,0.8964154246093032,24.36,24.984,25.32,24.768,27.56399999999999,31.872,69
