footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
65536,4096,16,4096,0,random,1000,9.889944,9.648,1.6078324396584422,9.144,9.528,9.744,9.408,12.025199999999998,54.744,96
73552,4597,16,4096,0,random,1000,10.047096,9.912,3.8042596028543993,9.576,9.816,9.984,9.696,10.128,129.84,9
82560,5160,16,4096,0,random,1000,10.251336,10.176,1.7164652854573494,9.72,10.104,10.272,9.984,10.368,63.528,12
92672,5792,16,4096,0,random,1000,10.626144,10.608,0.35083218564790564,10.2,10.512,10.704,10.392,10.824,16.824,6
104032,6502,16,4096,0,random,1000,10.82508,10.776,0.47227719757717646,10.44,10.704,10.848,10.608,10.968,19.392,24
116768,7298,16,4096,0,random,1000,10.969632,10.944,0.3562555017940895,10.656,10.872,11.016,10.776,11.112,17.832,9
131072,8192,16,4096,0,random,1000,11.106576,11.064,0.36234823646385866,10.704,10.992,11.136,10.896,11.256,15.624,24
147120,9195,16,4096,0,random,1000,11.345495999999999,11.208,0.7370151866612854,10.896,11.136,11.28,11.04,11.5932,20.904,55
165136,10321,16,4096,0,random,1000,11.54064,11.376,0.7580300310198324,11.088,11.304,11.448,11.208,14.04,21.48,66
185360,11585,16,4096,0,random,1000,11.522376,11.496,0.46564182902412987,11.184,11.424,11.568,11.328,11.64,20.76,10
208064,13004,16,4096,0,random,1000,11.584872,11.544,0.5261659607331458,11.256,11.472,11.592,11.376,11.688,19.632,20
233536,14596,16,4096,0,random,1000,11.913624,11.664,0.9461000305950169,11.352,11.592,11.712,11.52,14.52,23.568,100
262144,16384,16,4096,0,random,1000,12.063600000000001,11.784,0.9559172944736767,11.496,11.712,11.856,11.616,14.736,22.824,102
294240,18390,16,4096,0,random,1000,12.143448,12.072,0.5103161901310891,11.76,12.024,12.144,11.928,12.432,19.08,69
330272,20642,16,4096,0,random,1000,12.905808,12.816,0.5350376925679802,12.48,12.744,12.912,12.648,13.344,19.992,67
370720,23170,16,4096,0,random,1000,13.464864,13.272,0.7788892822590501,12.816,13.176,13.392,13.032,15.364799999999995,19.824,99
416128,26008,16,4096,0,random,1000,14.509511999999999,14.352,0.7583675330413159,13.824,14.208,14.496,14.064,15.217199999999998,21.0,67
467088,29193,16,4096,0,random,1000,15.268584,15.072,0.8094663419208378,14.472,14.904,15.264,14.712,16.44,20.952,80
524288,32768,16,4096,0,random,1000,16.017096,15.912,0.591975338663348,15.24,15.744,16.104,15.528,16.824,23.208,70
588480,36780,16,4096,0,random,1000,17.684256,17.568,0.7685627307742259,16.632,17.376,17.766000000000002,17.112,18.6,28.584,67
660560,41285,16,4096,0,random,1000,19.078776,18.864,0.9808235257234671,17.88,18.648,19.104,18.384,21.937199999999997,26.544,77
741440,46340,16,4096,0,random,1000,20.006496,19.776,0.9837199290869748,18.816,19.536,20.064,19.272,22.687199999999994,27.408,69
832240,52015,16,4096,0,random,1000,21.47892,21.408,0.6393063696180684,20.496,21.192,21.648,20.88,22.104,28.104,31
934160,58385,16,4096,0,random,1000,22.838304,22.728,0.8990234650857423,21.6,22.464,22.92,22.128,23.4732,30.264,46
1048576,65536,16,4096,0,random,1000,23.875656,23.784,0.7136675437674233,22.968,23.568,24.024,23.328,24.433199999999996,31.2,29
1176976,73561,16,4096,0,random,1000,25.105032,24.936,0.9776135387806406,23.976,24.672,25.152,24.312,26.064,31.968,54
1321120,82570,16,4096,0,random,1000,26.027856,25.824,1.0108456797415974,24.576,25.608,26.064,25.344,26.713199999999997,35.28,55
1482896,92681,16,4096,0,random,1000,26.667839999999998,26.544,0.8686861239722792,25.464,26.352,26.736,26.088,27.168,38.352,43
1664496,104031,16,4096,0,random,1000,27.655632,27.36,1.3331753872575016,26.352,27.12,27.576,26.8548,31.632,39.36,74
1868336,116771,16,4096,0,random,1000,27.992736,27.912,0.6251454047508316,26.976,27.744,28.128,27.456,28.44,34.776,21
2097152,131072,16,4096,0,random,1000,24.828672,24.72,0.7961345229259906,24.072,24.552,24.864,24.336,25.152,33.816,35
