footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048576,131072,8,4096,0,sequential,1000,6.115104,6.12,0.3727947600451449,5.544,6.024,6.192,5.856,6.264,12.576,50
1176984,147123,8,4096,0,sequential,1000,6.106272,6.096,0.676356030131687,5.544,6.0,6.168,5.808,6.312,25.848,33
1321120,165140,8,4096,0,sequential,1000,6.125376,6.12,0.3675122690358676,5.544,6.048,6.192,5.88,6.312,14.664,35
1482904,185363,8,4096,0,sequential,1000,6.117072,6.12,0.40091651109035764,5.616,6.0,6.168,5.832,6.312,14.04,31
1664504,208063,8,4096,0,sequential,1000,6.107808,6.12,0.32202238051034526,5.544,6.024,6.192,5.832,6.312,13.464,23
1868344,233543,8,4096,0,sequential,1000,6.102504,6.12,0.3605301873630002,5.544,6.0,6.168,5.808,6.288,13.536,25
2097152,262144,8,4096,0,sequential,1000,6.11424,6.12,0.42665387368208435,5.544,6.0,6.192,5.832,6.264,14.112,40
2353968,294246,8,4096,0,sequential,1000,6.34128,6.144,0.7136317368614261,5.568,6.048,6.24,5.832,7.705199999999999,16.08,166
2642240,330280,8,4096,0,sequential,1000,6.116064,6.12,0.5696552984595711,5.544,6.0,6.192,5.8548,6.264,17.904,31
2965816,370727,8,4096,0,sequential,1000,6.094848,6.12,0.3065118568904218,5.544,6.0,6.168,5.808,6.312,12.12,36
3329016,416127,8,4096,0,sequential,1000,6.206568,6.12,0.5037571564242523,5.544,6.018,6.192,5.808,7.537199999999999,12.696,91
3736696,467087,8,4096,0,sequential,1000,6.099768,6.12,0.32278102448218016,5.64,6.0,6.168,5.808,6.289199999999999,12.36,25
4194304,524288,8,4096,0,sequential,1000,6.103032,6.12,0.3516158026150825,5.544,6.0,6.168,5.808,6.264,12.6,48
4707944,588493,8,4096,0,sequential,1000,6.31848,6.144,0.5949510571134068,5.544,6.048,6.24,5.856,7.68,11.472,159
5284488,660561,8,4096,0,sequential,1000,6.085848,6.12,0.23050286867730843,5.544,6.0,6.168,5.808,6.264,10.272,39
5931640,741455,8,4096,0,sequential,1000,6.315816,6.12,0.5849779391851742,5.544,6.024,6.24,5.8548,7.656,10.488,170
6658040,832255,8,4096,0,sequential,1000,6.106536,6.12,0.33114491338031704,5.544,6.0,6.168,5.808,6.264,11.208,50
7473400,934175,8,4096,0,sequential,1000,6.318024,6.12,0.6298007116226214,5.544,6.048,6.24,5.8788,7.68,13.56,159
8388608,1048576,8,4096,0,sequential,1000,6.108816,6.12,0.29074254138218125,5.544,6.024,6.168,5.856,6.264,10.248,56
9415888,1176986,8,4096,0,sequential,1000,6.098376,6.12,0.29911600593918247,5.544,6.0,6.192,5.856,6.264,11.232,28
10568984,1321123,8,4096,0,sequential,1000,6.122544,6.12,0.32702977928705596,5.544,6.0,6.192,5.856,6.264,10.536,39
11863280,1482910,8,4096,0,sequential,1000,6.108,6.12,0.29858235618238305,5.544,6.024,6.192,5.832,6.264,10.968,48
13316080,1664510,8,4096,0,sequential,1000,6.26928,6.12,0.5423172702594133,5.544,6.0,6.216,5.856,7.656,10.296,145
14946800,1868350,8,4096,0,sequential,1000,6.109392,6.12,0.3109278283628702,5.544,6.0,6.192,5.832,6.264,10.92,33
16777216,2097152,8,4096,0,sequential,1000,6.206184,6.12,0.5355602439678648,5.544,6.024,6.216,5.856,7.489199999999999,15.216,104
18831784,2353973,8,4096,0,sequential,1000,6.179064,6.144,0.38846835594108253,5.52,6.048,6.24,5.88,6.6,12.744,77
21137968,2642246,8,4096,0,sequential,1000,6.209688,6.12,0.5688291529635777,5.544,6.024,6.192,5.808,7.56,15.456,119
23726560,2965820,8,4096,0,sequential,1000,6.128496,6.12,0.346513078104272,5.544,6.024,6.192,5.856,6.336,12.72,54
26632168,3329021,8,4096,0,sequential,1000,6.249456,6.144,0.4769541585239962,5.544,6.048,6.24,5.856,7.561199999999999,11.184,126
29893600,3736700,8,4096,0,sequential,1000,6.222216,6.12,0.5152397046980146,5.544,6.024,6.216,5.856,7.584,13.656,116
33554432,4194304,8,4096,0,sequential,1000,6.104184,6.12,0.27030176689986546,5.544,6.018,6.192,5.832,6.264,10.632,40
