footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1048576,32768,32,4096,0,sequential,1000,6.188688,6.168,0.3624882624256907,5.736,6.048,6.264,5.904,6.456,14.136,17
1176960,36780,32,4096,0,sequential,1000,6.146832,6.12,0.32929918574106704,5.568,6.0,6.264,5.832,6.432,11.736,13
1321120,41285,32,4096,0,sequential,1000,6.790032,6.216,0.984890324821971,5.544,6.048,8.064,5.88,8.136,13.848,2
1482880,46340,32,4096,0,sequential,1000,8.139336,8.088,0.9773028312288509,8.064,8.064,8.088,8.064,8.136,29.232,81
1664480,52015,32,4096,0,sequential,1000,8.102544,8.088,0.3354837423861332,8.064,8.064,8.088,8.064,8.136,15.144,95
1868320,58385,32,4096,0,sequential,1000,6.156504,6.144,0.26075489467908197,5.616,6.024,6.264,5.856,6.432,10.776,8
2097152,65536,32,4096,0,sequential,1000,8.093615999999999,8.088,0.44540253699767357,5.688,8.064,8.088,8.064,8.16,15.48,142
2353952,73561,32,4096,0,sequential,1000,8.2302,8.088,0.6430474181442469,8.064,8.064,8.088,8.064,10.08,18.84,151
2642240,82570,32,4096,0,sequential,1000,8.327568,8.088,0.7049492682788222,8.064,8.064,8.112,8.064,10.104,15.384,129
2965792,92681,32,4096,0,sequential,1000,8.293968,8.088,0.7320202925361322,8.064,8.064,8.088,8.064,10.104,17.4,210
3328992,104031,32,4096,0,sequential,1000,8.130912,8.088,0.545658867659874,8.064,8.064,8.088,8.064,8.16,17.856,109
3736672,116771,32,4096,0,sequential,1000,8.3316,8.088,0.709308202494604,8.064,8.064,8.088,8.064,10.104,14.472,210
4194304,131072,32,4096,0,sequential,1000,8.12904,8.088,0.4855023366770946,8.064,8.064,8.088,8.064,8.16,16.368,123
4707936,147123,32,4096,0,sequential,1000,8.109648,8.088,0.4162136637712774,8.064,8.064,8.088,8.064,8.16,16.512,117
5284480,165140,32,4096,0,sequential,1000,6.111216,6.072,0.4624254389959863,5.496,5.952,6.192,5.784,6.408,14.592,23
5931616,185363,32,4096,0,sequential,1000,6.106536,6.096,0.4328841662678429,5.544,5.952,6.216,5.784,6.384,14.208,8
6658016,208063,32,4096,0,sequential,1000,6.079992,6.048,0.4188496376445311,5.496,5.928,6.168,5.784,6.336,13.608,15
7473376,233543,32,4096,0,sequential,1000,6.276192,6.096,0.5940417365141281,5.544,5.976,6.264,5.808,7.656,12.768,132
8388608,262144,32,4096,0,sequential,1000,6.418128,6.12,0.7720247080021245,5.52,5.976,6.312,5.784,8.088,13.176,207
9415872,294246,32,4096,0,sequential,1000,6.072,6.072,0.37878896641940496,5.52,5.952,6.168,5.76,6.336,14.112,17
10568960,330280,32,4096,0,sequential,1000,6.065496,6.048,0.3607252426496997,5.544,5.928,6.168,5.7828,6.336,13.44,16
11863264,370727,32,4096,0,sequential,1000,6.093576,6.072,0.3648235799238702,5.592,5.952,6.192,5.784,6.384,12.144,22
13316064,416127,32,4096,0,sequential,1000,6.086064,6.048,0.3518530438527831,5.616,5.952,6.168,5.8068,6.384,13.8,22
14946784,467087,32,4096,0,sequential,1000,6.07644,6.048,0.4096766644188675,5.544,5.928,6.168,5.784,6.36,15.984,13
16777216,524288,32,4096,0,sequential,1000,6.24696,6.12,0.4750519137112498,5.592,6.0,6.312,5.832,7.464,11.664,87
18831776,588493,32,4096,0,sequential,1000,7.232856,6.96,0.9016056432831374,6.0,6.744,7.488,6.408,9.6252,12.432,72
21137952,660561,32,4096,0,sequential,1000,8.001816,8.088,0.7517314908784775,6.72,7.56,8.328,6.864,8.88,13.392,15
23726560,741455,32,4096,0,sequential,1000,7.362312,7.056,0.7646431257559083,6.648,6.936,7.608,6.816,8.191199999999993,13.032,45
26632160,832255,32,4096,0,sequential,1000,7.820784,7.32,1.2506735151851525,6.672,7.008,7.968,6.864,10.68,15.84,143
29893600,934175,32,4096,0,sequential,1000,7.422504,7.128,0.7858883524308568,6.672,6.96,7.68,6.864,8.592,16.176,43
33554432,1048576,32,4096,0,sequential,1000,7.267728,7.08,0.5188729663136933,6.72,6.96,7.56,6.84,7.848,13.872,6
