num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,16.501963,15.738,2.8973584879746657,14.805,14.82,15.744,14.81,21.0,45.4,202
3,32768,random,1000,14.07835,13.99,1.6103983079381976,13.25,13.99,13.995,13.26,13.995249999999999,49.165,104
4,32768,random,1000,13.076605,13.25,1.0485791898050867,12.59,12.595,13.255,12.59,13.26,37.445,7
5,32768,random,1000,12.412262,12.59,1.0193378021592798,11.976,11.996,12.595,11.992,12.595,36.71,6
6,32768,random,1000,11.759639,11.45,1.071132912572196,11.44,11.446,11.992,11.446,12.0,36.691,6
7,32768,random,1000,11.325232999999999,11.446,1.0276806547946882,10.944,10.952,11.45,10.944,11.45,36.653,6
8,32768,random,1000,10.804371,10.944,0.9691355142620686,10.491,10.495,10.952,10.491,10.96,34.676,6
9,32768,random,1000,21.613632,21.336,1.1480322785918038,20.58,21.084,21.963,20.996,22.196,44.828,9
10,32768,random,1000,25.096951999999998,25.0,1.1375489824105964,24.992,24.996,25.0,24.992,25.0,51.236,27
11,32768,random,1000,25.147412,25.06,0.9084660063759903,25.056,25.06,25.064,25.056,25.068,42.292,27
12,32768,random,1000,25.074748,24.996,0.8146400277858135,24.992,24.996,25.0,24.996,25.004,39.648,24
13,32768,random,1000,25.140096,25.06,0.8219080262338285,25.056,25.06,25.068,25.056,25.068,38.752,11
14,32768,random,1000,25.13596,25.06,0.7430003929904639,25.056,25.06,25.068,25.056,25.068,38.12,11
15,32768,random,1000,25.13164,25.06,0.7364776043177834,25.056,25.06,25.068,25.056,25.068,37.672,11
16,32768,random,1000,25.134584,25.06,0.7574309741650553,25.056,25.06,25.06,25.056,25.068,36.604,453
17,32768,random,1000,25.130164,25.06,0.7221982272086961,25.056,25.06,25.068,25.056,25.068,38.22,10
18,32768,random,1000,25.131504,25.06,0.7336625482595651,25.056,25.06,25.068,25.056,25.068,37.788,11
19,32768,random,1000,25.134036,25.06,0.7688834583189292,25.056,25.06,25.06,25.056,25.068,38.376,417
20,32768,random,1000,25.130095999999998,25.06,0.7267464531672592,25.056,25.06,25.06,25.056,25.068,37.364,412
21,32768,random,1000,25.070068,24.996,0.7467315899595005,24.992,24.996,25.0,24.996,25.004,37.38,28
22,32768,random,1000,25.136456,25.06,0.775959061116325,25.056,25.06,25.064,25.056,25.068,37.544,34
23,32768,random,1000,25.049636,24.992,0.6291135886399303,24.972,24.976,24.996,24.972,25.004,34.224,10
24,32768,random,1000,25.067031999999998,24.996,0.7310620292879851,24.992,24.996,25.0,24.9958,25.004,38.008,30
25,32768,random,1000,25.056824,24.992,0.7274115868204469,24.972,24.976,24.996,24.972,25.004,37.94,10
26,32768,random,1000,25.135,25.06,0.7639675951808992,25.056,25.06,25.068,25.056,25.068,37.888,11
27,32768,random,1000,25.135252,25.06,0.7677626429906395,25.056,25.06,25.06,25.056,25.068,35.84,418
28,32768,random,1000,25.139392,25.06,0.7889156115695634,25.056,25.06,25.068,25.056,25.068,37.184,11
29,32768,random,1000,25.072016,24.996,0.7641564439398616,24.992,24.996,25.004,24.992,25.008,38.436,12
30,32768,random,1000,25.066603999999998,25.0,0.6995992354729057,24.988,24.996,25.0,24.992,25.008,36.16,95
31,32768,random,1000,25.132572,25.06,0.7399255169181467,25.056,25.06,25.068,25.056,25.068,37.736,11
32,32768,random,1000,25.129776,25.06,0.7203037382238825,25.056,25.06,25.068,25.056,25.068,37.884,11
33,32768,random,1000,25.051792,24.996,0.6323767366634174,24.972,24.98,24.996,24.972,25.004,34.076,11
34,32768,random,1000,25.135412,25.06,0.745189136464767,25.056,25.06,25.06,25.056,25.068,38.148,471
35,32768,random,1000,25.061636,24.996,0.7454866020109133,24.972,24.98,25.0,24.972,25.004,38.0,11
36,32768,random,1000,25.130848,25.06,0.7346381736216423,25.056,25.06,25.068,25.056,25.068,38.316,12
37,32768,random,1000,25.066664,24.996,0.7272810851939441,24.992,24.996,25.0,24.992,25.0,37.936,26
38,32768,random,1000,25.131312,25.06,0.7393844846032894,25.056,25.06,25.068,25.056,25.068,38.708,13
39,32768,random,1000,25.132668,25.06,0.7577411572809263,25.056,25.06,25.068,25.056,25.068,39.444,13
40,32768,random,1000,25.073972,25.0,0.8229428085122817,24.992,24.996,25.0,24.992,25.004,41.616,29
