num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,10.095096,10.076,0.37883722682496296,10.072,10.072,10.076,10.072,10.076,18.58,27
3,32768,sequential,1000,10.130991999999999,10.076,1.0893419894165037,10.068,10.072,10.076,10.072,10.076,40.948,22
4,32768,sequential,1000,10.09668,10.076,0.40903922879192245,10.068,10.072,10.076,10.072,10.076,18.028,15
5,32768,sequential,1000,10.108164,10.076,0.5380861397562642,10.068,10.072,10.076,10.072,10.076,19.672,13
6,32768,sequential,1000,10.118684,10.076,0.637297582258361,10.068,10.072,10.076,10.072,10.076,21.216,17
7,32768,sequential,1000,10.113504,10.076,0.6354029925542899,10.072,10.072,10.076,10.072,10.076,23.72,14
8,32768,sequential,1000,10.110828,10.076,0.5269110187096467,10.068,10.072,10.076,10.072,10.12,20.808,80
9,32768,sequential,1000,21.479436,21.448,0.8473111365171982,21.092,21.388,21.46,21.212,21.516,34.252,157
10,32768,sequential,1000,25.139744,25.06,0.7903327605106196,25.056,25.06,25.068,25.056,25.068,35.52,10
11,32768,sequential,1000,25.054144,24.98,0.7186339471622629,24.972,24.976,24.996,24.972,25.008,35.74,10
12,32768,sequential,1000,25.059976,24.98,0.7875022382185332,24.972,24.976,24.996,24.972,25.004,37.4,10
13,32768,sequential,1000,25.070975999999998,25.0,0.7578492560654256,24.992,24.996,25.0,24.996,25.004,38.896,30
14,32768,sequential,1000,25.070252,24.996,0.7673524341880036,24.992,24.996,25.0,24.996,25.0,38.936,27
15,32768,sequential,1000,25.063124,24.98,0.8045227812371316,24.972,24.976,24.996,24.972,25.0,38.228,10
16,32768,sequential,1000,25.1377,25.06,0.773299143647247,25.056,25.056,25.064,25.056,25.068,38.996,11
17,32768,sequential,1000,25.135844,25.06,0.7847839993205707,25.056,25.06,25.068,25.056,25.068,39.504,11
18,32768,sequential,1000,25.1322,25.06,0.7511894072239873,25.056,25.06,25.06,25.056,25.068,38.72,471
19,32768,sequential,1000,25.061208,24.98,0.7919082948697302,24.972,24.976,24.996,24.972,25.0,39.22,10
20,32768,sequential,1000,25.071856,24.996,0.7734408406581579,24.992,24.996,25.0,24.992,25.004,38.504,26
21,32768,sequential,1000,25.131996,25.06,0.7595513242686094,25.056,25.06,25.06,25.056,25.068,39.016,349
22,32768,sequential,1000,25.138536,25.06,0.8009198119969623,25.056,25.06,25.068,25.056,25.068,39.124,11
23,32768,sequential,1000,25.061144,24.992,0.7671458401138626,24.972,24.98,24.996,24.976,25.004,38.476,11
24,32768,sequential,1000,25.070524,24.996,0.7616972233664003,24.976,24.996,25.0,24.992,25.004,38.976,28
25,32768,sequential,1000,25.131992,25.06,0.7375476394487724,25.056,25.06,25.068,25.056,25.068,38.184,11
26,32768,sequential,1000,25.12948,25.06,0.682716203861469,25.056,25.06,25.068,25.056,25.068,33.62,12
27,32768,sequential,1000,25.141508,25.06,0.8136342560626603,25.056,25.06,25.068,25.056,25.068,40.952,14
28,32768,sequential,1000,25.060404,24.992,0.7692543435230178,24.972,24.976,24.996,24.976,25.004,39.348,11
29,32768,sequential,1000,25.071316,24.996,0.7594721918241341,24.984,24.996,25.004,24.992,25.008,38.78,16
30,32768,sequential,1000,25.133028,25.06,0.7659128394887331,25.056,25.06,25.06,25.056,25.068,39.0,391
31,32768,sequential,1000,25.133456,25.06,0.7776468444471943,25.056,25.06,25.06,25.056,25.068,39.904,384
32,32768,sequential,1000,25.060796,24.996,0.7559733739531612,24.972,24.976,24.996,24.972,25.004,39.1,12
33,32768,sequential,1000,25.142196,25.06,0.8401335858219371,25.056,25.06,25.068,25.056,25.068,39.78,12
34,32768,sequential,1000,25.073144,24.996,0.7614716714168496,24.992,24.996,25.004,24.992,25.008,37.216,16
35,32768,sequential,1000,25.07772,24.996,0.8931528399974976,24.992,24.996,25.0,24.996,25.0,45.016,33
36,32768,sequential,1000,32.64418,32.484,0.8948731561319545,32.08,32.412,32.724999999999994,32.168,32.996,46.812,13
37,32768,sequential,1000,32.976472,32.88,0.8074493418510262,32.876,32.88,32.9,32.876,32.92,46.576,19
38,32768,sequential,1000,32.147543999999996,32.02,0.8810299642247486,31.652,31.796,32.268,31.716,32.672,46.864,13
39,32768,sequential,1000,32.461244,32.376,0.807131003568145,32.304,32.352,32.404,32.308,32.448,46.196,13
40,32768,sequential,1000,33.358796,33.276,0.769646970268085,33.26,33.272,33.276,33.272,33.276,46.28,30
