num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,13.177781,14.81,2.5681391706523304,10.072,10.076,14.82,10.072,14.835,41.736,6
3,32768,random,1000,13.831695,13.99,1.5076944632681946,13.25,13.26,13.995,13.25,13.995,49.195,6
4,32768,random,1000,12.983815,12.6,1.1117205329210749,12.59,12.59,13.255,12.59,13.265,39.02,7
5,32768,random,1000,12.215531,11.996,0.9951397188832827,11.976,11.992,12.59,11.98,12.6,37.053,6
6,32768,random,1000,11.648581,11.45,1.0601811805415973,11.44,11.446,11.4555,11.446,11.996,36.445,247
7,32768,random,1000,11.097365,10.988,1.0877301276537326,10.944,10.952,11.0,10.944,11.45,35.809,117
8,32768,random,1000,10.817613,10.944,1.1129885429454012,10.491,10.5,10.952,10.491,10.96,34.48,6
9,32768,random,1000,21.670603,21.452,1.2515233789902445,20.544,21.144,22.025,21.024,22.238,45.611,10
10,32768,random,1000,25.070748,24.996,0.8028571105969207,24.992,24.996,25.0,24.996,25.004,39.696,28
11,32768,random,1000,25.139647999999998,25.06,0.8087106782138201,25.024,25.06,25.06,25.056,25.072,39.032,317
12,32768,random,1000,25.133392,25.06,0.7587138888283917,25.056,25.06,25.06,25.056,25.072,39.108,327
13,32768,random,1000,25.133728,25.06,0.7409516957477266,25.056,25.06,25.068,25.056,25.072,38.116,10
14,32768,random,1000,25.142228,25.06,0.8183831688317076,25.056,25.06,25.068,25.056,25.072,39.804,11
15,32768,random,1000,25.134975999999998,25.06,0.7476433173338435,25.056,25.06,25.068,25.056,25.072,38.264,14
16,32768,random,1000,25.135576,25.06,0.7763030353068487,25.056,25.06,25.068,25.056,25.072,39.672,12
17,32768,random,1000,25.143008,25.06,0.8308222056935368,25.056,25.06,25.068,25.056,25.072,38.756,12
18,32768,random,1000,25.140676,25.06,0.8070409519486121,25.056,25.06,25.06,25.056,25.072,36.48,325
19,32768,random,1000,25.133472,25.06,0.7353809096640314,25.056,25.06,25.068,25.056,25.072,37.988,12
20,32768,random,1000,25.132108,25.06,0.7464564297650182,25.056,25.06,25.061,25.056,25.072,39.244,361
21,32768,random,1000,25.135972,25.06,0.7785867019596909,25.056,25.06,25.06,25.056,25.072,38.936,357
22,32768,random,1000,25.134816,25.06,0.7648859579523425,25.056,25.06,25.068,25.056,25.072,39.224,11
23,32768,random,1000,25.13286,25.06,0.7513972705954277,25.056,25.06,25.06,25.056,25.072,38.912,329
24,32768,random,1000,25.134504,25.06,0.7587743356733124,25.056,25.06,25.068,25.056,25.072,39.152,11
25,32768,random,1000,25.13492,25.06,0.7585091018950647,25.056,25.06,25.068,25.056,25.072,38.708,12
26,32768,random,1000,25.140664,25.06,0.7841199724756635,25.056,25.06,25.068,25.056,25.072,39.168,12
27,32768,random,1000,25.140884,25.06,0.8058108498088554,25.056,25.06,25.06,25.056,25.072,40.452,327
28,32768,random,1000,25.135332,25.06,0.77550385169901,25.056,25.06,25.064,25.056,25.072,39.424,126
29,32768,random,1000,25.136627999999998,25.06,0.79933105516535,25.056,25.06,25.06,25.056,25.072,39.896,204
30,32768,random,1000,35.156904,35.068,0.8258654736484414,34.78,35.052,35.072,35.048,35.072,48.12,16
31,32768,random,1000,34.966148000000004,34.868,0.8355597849646966,34.636,34.844,34.904,34.836,34.928,49.648,15
32,32768,random,1000,33.912852,33.752,0.9081405934289216,33.412,33.476,34.072,33.416,34.44,48.584,14
33,32768,random,1000,34.245724,34.14,0.8053416585592794,34.092,34.132,34.188,34.116,34.216,43.14,13
34,32768,random,1000,33.995052,33.904,0.9710224971574993,33.784,33.84,33.94,33.788,33.968,48.668,14
35,32768,random,1000,33.787248,33.724,0.8096205184405099,33.62,33.64,33.752,33.628,33.76,48.136,13
36,32768,random,1000,33.48866,33.394000000000005,0.8328204526224763,33.324,33.364,33.428,33.328,33.46,47.548,14
37,32768,random,1000,32.372944,32.356,0.9139609277433262,31.748,32.092,32.408,31.796,32.692,47.88,27
38,32768,random,1000,33.039912,32.948,0.8044069559661993,32.908,32.936,32.972,32.92,32.996,47.292,13
39,32768,random,1000,34.000572,33.916,0.8602533281566568,33.816,33.864,33.94,33.828,33.964,48.64,14
40,32768,random,1000,33.749276,33.656,0.862396198407105,33.648,33.648,33.66,33.648,33.664,48.204,25
