num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,10.15302,10.072,1.1628481549331502,10.06,10.064,10.072,10.06,10.092,31.564,61
3,32768,sequential,1000,10.119492,10.072,0.9395227197236248,10.06,10.064,10.072,10.06,10.076,34.804,37
4,32768,sequential,1000,10.192364,10.072,1.5059560508630827,10.06,10.064,10.072,10.06,10.1002,49.02,98
5,32768,sequential,1000,10.122804,10.072,0.8562296717790355,10.06,10.064,10.072,10.06,10.076,24.78,36
6,32768,sequential,1000,10.1163,10.072,0.761283394279953,10.06,10.064,10.076,10.06,10.076,24.772,17
7,32768,sequential,1000,10.104108,10.072,0.571068734773526,10.06,10.06,10.076,10.06,10.076,21.748,12
8,32768,sequential,1000,10.116912,10.072,0.7714812866373569,10.06,10.064,10.076,10.06,10.076,27.004,28
9,32768,sequential,1000,21.515336,21.448,0.9961266040596021,20.616,21.344,21.456,21.268,21.52,37.864,24
10,32768,sequential,1000,25.157576,25.06,0.9813452699039024,25.056,25.056,25.06,25.056,25.064,39.76,40
11,32768,sequential,1000,25.09958,24.996,1.0104472253389563,24.992,24.996,25.0,24.992,25.004,39.776,27
12,32768,sequential,1000,25.149092,25.06,0.9608230411748317,25.056,25.056,25.06,25.056,25.064,43.456,39
13,32768,sequential,1000,25.218204,25.06,1.5001173095216007,25.056,25.056,25.06,25.056,25.068,49.444,62
14,32768,sequential,1000,25.16202,25.06,0.9800463879442252,25.056,25.056,25.06,25.056,25.068,42.824,51
15,32768,sequential,1000,25.271544,25.06,2.1707032963684525,25.056,25.056,25.06,25.056,25.068,71.184,73
16,32768,sequential,1000,25.097572,24.996,1.028166920315973,24.992,24.996,25.0,24.996,25.0,44.924,27
17,32768,sequential,1000,25.176284,25.06,1.4709448167752581,25.056,25.056,25.06,25.056,25.064,61.848,38
18,32768,sequential,1000,25.162128,25.06,0.9343348464127951,25.056,25.056,25.06,25.056,25.064,41.156,45
19,32768,sequential,1000,25.158568,25.06,1.0278469860844088,25.056,25.056,25.06,25.056,25.064,44.656,47
20,32768,sequential,1000,25.094383999999998,24.996,1.009726541313158,24.972,24.996,25.0,24.992,25.004,45.7,60
21,32768,sequential,1000,25.146304,25.06,0.9442699281885881,25.056,25.056,25.06,25.056,25.064,44.56,34
22,32768,sequential,1000,25.114168,24.988,1.6359087827019332,24.972,24.976,24.996,24.972,25.0,68.532,11
23,32768,sequential,1000,25.086612,24.996,0.9460138898217805,24.992,24.996,25.0,24.992,25.004,40.108,28
24,32768,sequential,1000,25.150692,25.06,0.9433092607928206,25.056,25.056,25.06,25.056,25.064,41.892,34
25,32768,sequential,1000,25.150568,25.06,0.9515523197350703,25.056,25.056,25.06,25.056,25.064,41.52,35
26,32768,sequential,1000,25.141256,25.06,0.8371175426690354,25.056,25.056,25.06,25.056,25.064,37.508,35
27,32768,sequential,1000,25.166032,25.06,0.9507409001590472,25.056,25.056,25.06,25.056,25.064,41.664,47
28,32768,sequential,1000,25.16552,25.06,1.0034551369203368,25.056,25.056,25.06,25.056,25.064,43.948,46
29,32768,sequential,1000,25.106272,24.996,1.068071562620632,24.992,24.996,25.0,24.996,25.004,45.112,35
30,32768,sequential,1000,25.147464,25.06,0.9038534348752212,25.056,25.056,25.06,25.056,25.064,38.708,40
31,32768,sequential,1000,25.145636,25.06,0.9172261069306931,25.056,25.056,25.06,25.056,25.064,43.02,37
32,32768,sequential,1000,25.142932,25.06,0.871907863652289,25.056,25.056,25.06,25.056,25.064,40.916,39
33,32768,sequential,1000,25.061464,24.992,0.776354975350678,24.972,24.976,24.996,24.972,25.004,38.792,10
34,32768,sequential,1000,25.158704,25.06,1.0428160152326131,25.056,25.056,25.06,25.056,25.064,42.84,43
35,32768,sequential,1000,25.154236,25.06,0.9307288802613534,25.056,25.056,25.06,25.056,25.064,41.92,39
36,32768,sequential,1000,25.083844,24.996,0.920859845209095,24.988,24.996,25.0,24.992,25.0,42.532,31
37,32768,sequential,1000,25.223772,25.06,2.4649771724047422,24.972,25.056,25.06,25.056,25.064,97.54,82
38,32768,sequential,1000,25.179752,25.06,1.3581171572101978,25.056,25.056,25.06,25.056,25.064,58.14,33
39,32768,sequential,1000,25.101904,24.996,0.9993541011090131,24.972,24.98,25.0,24.972,25.008,39.572,21
40,32768,sequential,1000,25.094848,24.996,1.043536875297709,24.992,24.996,25.0,24.992,25.004,43.832,30
41,32768,sequential,1000,25.153644,25.06,0.9609664811229588,25.056,25.056,25.06,25.056,25.064,42.816,43
42,32768,sequential,1000,25.18698,25.06,1.5132535067779542,25.056,25.056,25.06,25.056,25.064,62.26,35
43,32768,sequential,1000,25.15238,25.06,0.9744610849110426,25.056,25.056,25.06,25.056,25.064,42.228,37
44,32768,sequential,1000,25.157076,25.06,1.0353027102861878,25.056,25.056,25.06,25.056,25.064,42.484,39
45,32768,sequential,1000,25.176824,25.06,0.9702996828292271,25.056,25.056,25.06,25.056,25.0642,41.82,50
46,32768,sequential,1000,25.17512,25.06,1.073573879374156,25.056,25.056,25.06,25.056,25.064,42.968,46
47,32768,sequential,1000,30.038684,29.88,1.2203001305222223,29.312,29.792,30.096,29.572,30.192,47.624,17
48,32768,sequential,1000,29.905688,29.772,0.9968105446462321,29.324,29.52,30.036,29.504,30.304,42.192,13
49,32768,sequential,1000,34.494352,34.332,1.1250495226986785,33.908,34.228,34.52,34.02,34.8082,56.416,21
