num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,sequential,1000,10.14556,10.076,1.4991239398351914,10.072,10.072,10.08,10.072,10.08,55.256,19
3,262144,sequential,1000,10.129976,10.076,0.9956392604557943,10.068,10.072,10.076,10.072,10.08,36.536,27
4,262144,sequential,1000,10.115536,10.076,0.659654540511029,10.072,10.072,10.076,10.072,10.08,23.9,21
5,262144,sequential,1000,18.125315999999998,18.064,0.7507129398525526,18.056,18.06,18.072,18.06,18.072,33.496,8
6,262144,sequential,1000,18.128728,18.064,0.7722750849424207,18.056,18.06,18.072,18.06,18.072,31.6,10
7,262144,sequential,1000,18.128856,18.068,0.7776286450315302,18.056,18.06,18.072,18.06,18.072,33.068,10
8,262144,sequential,1000,18.132783999999997,18.068,0.7776304098981717,18.056,18.06,18.072,18.06,18.072,33.036,25
9,262144,sequential,1000,12.187044,12.2,0.692899146551135,11.876,12.068,12.2,12.064,12.2,27.848,15
10,262144,sequential,1000,17.175804,17.144,0.7241403875526381,17.032,17.072,17.164,17.032,17.18,30.308,10
11,262144,sequential,1000,43.81406,43.688,0.9617422443381306,43.308,43.68,43.704,43.672,43.724,56.776,19
12,262144,sequential,1000,41.444,41.36,0.9508373718505744,41.052,41.264,41.364,41.248,41.38,56.348,17
13,262144,sequential,1000,41.716836,41.54,0.9548673209952808,41.484,41.52,41.576,41.504,41.856,53.76,236
14,262144,sequential,1000,43.265376,43.092,0.9562236005235376,42.916,43.048,43.312,42.996,43.424,57.864,17
15,262144,sequential,1000,43.180936,43.044,0.9456167526788785,43.024,43.028,43.124,43.024,43.124,58.612,17
16,262144,sequential,1000,41.123568,40.998000000000005,0.9764762645713776,40.588,40.812,41.144,40.676,41.568599999999996,56.796,40
17,262144,sequential,1000,47.541196,47.4,1.0919327409207467,47.268,47.356,47.432,47.28,47.484,63.096,30
18,262144,sequential,1000,46.830608,46.672,0.9625106550563985,46.648,46.668,46.736,46.664,46.752,58.044,19
19,262144,sequential,1000,44.838119999999996,44.704,0.9459627810771327,44.66,44.684,44.764,44.668,44.792,60.664,18
20,262144,sequential,1000,43.267968,43.264,0.9497157000317974,42.824,42.928,43.268,42.824,43.272,58.384,17
21,262144,sequential,1000,43.689548,43.572,0.9840747648623243,43.292,43.472,43.656,43.372,43.8002,59.212,23
22,262144,sequential,1000,42.906676,42.796,0.9197238863110229,42.616,42.724,42.864,42.656,42.94,57.536,17
23,262144,sequential,1000,42.916044,42.788,0.9411888112607598,42.608,42.752,42.864,42.68,42.94,58.492,18
24,262144,sequential,1000,42.660296,42.496,0.8340822918955019,42.488,42.496,42.664,42.496,42.672,52.864,17
25,262144,sequential,1000,47.67394,47.54,0.8691184518138384,47.416,47.496,47.628,47.436,47.7,57.14,19
26,262144,sequential,1000,46.559732,46.444,0.9617691115855197,46.312,46.4,46.484,46.372,46.512,61.412,21
27,262144,sequential,1000,45.746736,45.536,0.9694100712238296,45.328,45.46,45.972,45.392,45.996,60.552,18
28,262144,sequential,1000,45.167623999999996,45.012,0.9698955056684799,44.988,44.996,45.12,44.988,45.124,56.524,19
29,262144,sequential,1000,45.124372,45.012,0.8437976060738831,44.756,44.948,45.088,44.84,45.192,54.764,18
30,262144,sequential,1000,44.676336,44.592,0.9538986202326125,44.464,44.464,44.608,44.464,44.608,59.572,18
31,262144,sequential,1000,43.746768,43.576,0.9731486857312919,43.152,43.46,43.844,43.332,43.976,59.036,17
32,262144,sequential,1000,43.295736,43.236,0.8273849794431902,43.036,43.224,43.244,43.044,43.248,53.04,266
33,262144,sequential,1000,48.376404,48.256,0.8678315737655692,48.2,48.24,48.264,48.208,48.3962,57.524,105
34,262144,sequential,1000,47.55224,47.428,1.0019080927042292,47.352,47.384,47.44,47.368,47.544399999999996,63.532,67
35,262144,sequential,1000,46.473576,46.36,0.833915374048875,46.284,46.308,46.404,46.284,46.5164,55.684,45
36,262144,sequential,1000,45.843004,45.704,0.8265972556251362,45.676,45.696,45.812,45.68,45.848,55.124,18
37,262144,sequential,1000,46.131776,46.0,0.9497390979517365,45.956,45.992,46.008,45.976,46.128,61.452,87
38,262144,sequential,1000,45.601432,45.488,1.0161731807666001,45.344,45.412,45.504,45.356,45.612,56.348,30
39,262144,sequential,1000,45.093424,44.964,0.829387397830278,44.816,44.912,45.064,44.9,45.112,54.264,18
40,262144,sequential,1000,45.20942,45.046,0.884862758681651,44.832,44.952,45.132999999999996,44.892,45.436,55.724,233
