num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,131072,sequential,1000,10.153928,10.072,1.1073365437106448,10.06,10.064,10.076,10.06,10.084,33.412,28
3,131072,sequential,1000,10.183072,10.072,1.6179034675920707,10.06,10.064,10.072,10.06,10.092,54.556,73
4,131072,sequential,1000,42.67424,10.072,1028.4714920094239,10.06,10.064,10.072,10.06,10.12,32533.264,113
5,131072,sequential,1000,18.201800000000002,18.064,1.1782664621620424,18.056,18.064,18.068,18.064,18.072,38.248,57
6,131072,sequential,1000,50.71568,18.064,1028.4785988563315,18.056,18.064,18.068,18.064,18.072,32541.524,58
7,131072,sequential,1000,50.75924,18.064,1028.5708348406906,18.056,18.064,18.068,18.064,18.6346,32544.476,76
8,131072,sequential,1000,18.392096000000002,18.068,1.487914963202441,18.056,18.064,18.068,18.064,19.729,39.044,177
9,131072,sequential,1000,57.766812,25.06,1028.391760082724,25.052,25.06,25.08,25.056,25.4042,32545.824,234
10,131072,sequential,1000,57.618352,25.0,1028.3640166762968,24.972,24.98,25.06,24.972,25.064,32544.812,10
11,131072,sequential,1000,57.67586,25.06,1028.2949179119032,25.056,25.056,25.06,25.056,25.064,32542.68,38
12,131072,sequential,1000,57.65698,25.06,1028.2727609990282,25.056,25.056,25.06,25.056,25.064,32541.968,38
13,131072,sequential,1000,25.20336,25.06,1.0646426923914252,25.056,25.056,25.06,25.056,25.3564,40.392,107
14,131072,sequential,1000,25.160088,25.06,0.9766718303095059,25.056,25.056,25.06,25.056,25.064,42.156,42
15,131072,sequential,1000,55.442071999999996,25.06,958.3598589261863,24.996,25.056,25.06,25.0,25.068,30331.124,135
16,131072,sequential,1000,57.624608,24.996,1028.295301639538,24.992,24.996,25.0,24.992,25.004,32542.644,47
17,131072,sequential,1000,112.99047999999999,47.716,1453.4883407437264,46.504,47.7,47.736,47.688,48.6488,32566.796,108
18,131072,sequential,1000,78.590784,45.904,1028.32073005489,45.832,45.876,45.928,45.852,45.968,32564.404,22
