num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,131072,sequential,1000,10.130208,10.072,0.9604319456672912,10.06,10.064,10.076,10.06,10.088,33.212,26
3,131072,sequential,1000,10.125284,10.072,0.8891403904772169,10.06,10.064,10.076,10.06,10.088,28.796,20
4,131072,sequential,1000,42.649748,10.072,1028.6040063186958,10.06,10.064,10.076,10.06,10.092,32537.428,48
5,131072,sequential,1000,18.159100000000002,18.064,1.1242348393347246,18.056,18.064,18.068,18.064,18.068,39.496,26
6,131072,sequential,1000,18.148764,18.064,0.8393483960990418,18.056,18.064,18.068,18.064,18.072,32.328,47
7,131072,sequential,1000,50.645256,18.064,1028.4543826162408,18.056,18.064,18.068,18.064,18.068,32540.696,22
8,131072,sequential,1000,50.68216,18.064,1028.4503614131434,18.056,18.064,18.068,18.064,18.072,32540.596,34
9,131072,sequential,1000,25.157104,25.06,0.971182021921588,25.056,25.06,25.064,25.056,25.068,37.664,41
10,131072,sequential,1000,57.603712,25.0,1028.48553427496,24.972,24.996,25.0,24.996,25.008,32548.64,79
11,131072,sequential,1000,57.604468,24.992,1028.4959144818256,24.972,24.976,25.004,24.976,25.064,32548.964,228
12,131072,sequential,1000,57.614732,24.996,1028.3831480522997,24.972,24.976,25.004,24.972,25.064,32545.408,229
13,131072,sequential,1000,57.661912,25.0,1028.4731653637841,24.972,24.992,25.012,24.976,25.064,32548.288,236
14,131072,sequential,1000,57.642912,24.996,1028.6052775880446,24.972,24.98,25.06,24.976,25.068,32552.452,12
15,131072,sequential,1000,25.185748,25.06,1.1118084828776036,24.972,25.058999999999997,25.064,24.98,25.072,38.828,167
16,131072,sequential,1000,25.244676,25.06,2.290971332135928,25.056,25.06,25.064,25.056,25.072,86.316,74
17,131072,sequential,1000,112.888968,47.716,1453.6180224937382,47.68,47.704,47.732,47.688,47.7602,32569.96,32
18,131072,sequential,1000,78.72872,45.916,1028.442912432716,45.268,45.88,45.948,45.488,46.012,32568.256,98
19,131072,sequential,1000,76.957848,44.248,1028.4276380302435,43.804,43.952,44.305,43.868,44.364,32565.988,22
20,131072,sequential,1000,77.870104,45.08,1028.656954663802,44.54,45.064,45.096,44.78,45.14,32574.136,100
