num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,random,1000,60.117952,10.072,1581.6610799829787,10.06,10.064,10.072,10.06,10.076,50026.612,47
3,262144,random,1000,10.132096,10.072,0.8076243829453937,10.06,10.064,10.072,10.06,10.092,26.976,68
4,262144,random,1000,55.107256,10.072,1423.542641566583,10.06,10.064,10.072,10.06,10.088,45026.46,61
5,262144,random,1000,60.802484,18.068,1344.5968606232768,17.308,18.064,18.072,18.064,18.9202,42538.152,232
6,262144,random,1000,55.643347999999996,18.064,1186.2780754505268,18.056,18.064,18.068,18.064,18.068,37531.528,24
7,262144,random,1000,18.131320000000002,18.064,0.7701775425491495,18.056,18.064,18.068,18.064,18.068,35.28,27
8,262144,random,1000,53.144251999999994,18.064,1107.3712386350714,18.056,18.064,18.068,18.064,18.068,35036.272,31
9,262144,random,1000,47.336176,12.124,1107.4621758708302,11.744,12.016,12.2,12.0,13.077199999999994,35033.324,65
10,262144,random,1000,57.601112,24.996,1028.0946063068907,24.972,24.996,25.0,24.992,25.004,32536.28,75
11,262144,random,1000,25.106444,24.996,0.9140126508916548,24.972,24.992,25.0,24.976,25.008,40.844,198
12,262144,random,1000,25.1486,25.06,0.9017834892375561,25.056,25.06,25.064,25.056,25.068,41.188,35
13,262144,random,1000,57.641608,25.06,1028.144136809799,25.056,25.056,25.064,25.056,25.068,32537.896,23
14,262144,random,1000,57.634604,25.056,1028.3283709451637,24.992,25.008,25.06,24.996,25.068,32543.704,10
15,262144,random,1000,57.626556,24.996,1028.6649111897868,24.972,24.976,25.0,24.972,25.004,32554.32,14
16,262144,random,1000,57.683608,25.06,1028.4392544038706,25.056,25.056,25.064,25.056,25.068,32547.252,28
17,262144,random,1000,62.41754,29.228,1028.3787274693639,29.196,29.216,29.284,29.204,35.446199999999976,32550.0,100
18,262144,random,1000,65.985044,33.0,1028.8059599647784,32.968,32.992,33.06,32.976,35.77459999999999,32567.088,92
19,262144,random,1000,65.85644,32.996,1028.6366952974752,32.992,32.992,33.056,32.992,34.1468,32561.632,61
20,262144,random,1000,66.765896,33.0,1028.3154299066553,32.968,32.992,33.06,32.976,40.7766,32552.292,215
21,262144,random,1000,67.026136,33.004,1028.7941964076974,32.968,32.992,33.366,32.972,41.32919999999999,32567.66,244
22,262144,random,1000,68.48941599999999,33.06,1028.6086885937477,32.968,32.992,38.187,32.972,45.3404,32563.064,37
23,262144,random,1000,65.713588,33.056,1028.3872527566834,32.968,33.052,33.06,32.972,33.06,32553.628,255
24,262144,random,1000,69.354872,33.894,1028.476117683142,32.968,32.996,39.0,32.976,46.309,32559.636,24
25,262144,random,1000,67.23184,33.06,1028.2099720672666,32.992,33.056,34.479,32.992,42.39379999999999,32549.316,144
26,262144,random,1000,68.79332,33.745999999999995,1028.7680488974693,32.972,33.06,38.233000000000004,32.996,45.7202,32568.404,42
27,262144,random,1000,67.779084,33.056,1028.2932886241583,32.968,32.996,36.524,32.9758,45.4616,32552.436,78
28,262144,random,1000,66.830056,33.06,1028.4644626135218,32.968,33.056,33.061,32.992,40.82999999999999,32557.024,275
29,262144,random,1000,68.160524,32.996,1028.8996689375233,32.968,32.976,37.866,32.972,46.1496,32571.912,61
30,262144,random,1000,68.146856,32.996,1028.1274565179092,32.968,32.992,37.806,32.992,46.7766,32547.52,67
31,262144,random,1000,68.21079999999999,33.06,1028.9287184677974,32.968,33.056,38.038,32.976,46.464999999999996,32572.92,66
32,262144,random,1000,65.701868,33.056,1028.3256348206808,32.968,32.996,33.06,32.976,33.06,32551.668,19
33,262144,random,1000,66.275228,32.996,1028.6033281122318,32.968,32.992,32.996,32.972,40.266600000000004,32560.912,348
34,262144,random,1000,99.149636,33.06,1453.7123492579503,33.052,33.056,33.06,33.056,42.44199999999999,32556.924,120
35,262144,random,1000,73.127464,40.262,1028.2253605368376,32.968,33.602000000000004,43.878,32.992,55.8698,32555.045,20
36,262144,random,1000,70.227128,33.06,1028.5942938527835,32.968,33.056,41.824,33.056,56.3124,32563.876,56
37,262144,random,1000,107.877884,40.636,1453.8371712792941,36.988,40.299,40.7,39.7278,55.7474,32571.696,253
38,262144,random,1000,73.324468,40.572,1028.1624196548225,40.484,40.512,40.644,40.492,40.716,32554.12,35
39,262144,random,1000,73.560724,40.452,1028.2446865746854,39.836,40.396,40.696,40.132,44.39539999999999,32556.876,75
40,262144,random,1000,106.661208,40.296,1453.755002677339,39.68,40.22,40.536,39.968,51.54819999999999,32570.268,118
41,262144,random,1000,73.504112,40.513999999999996,1028.6257648460478,39.444,40.383,40.568,39.8718,44.76419999999998,32568.876,185
42,262144,random,1000,73.604884,40.264,1028.3405886007486,39.004,39.932,40.348,39.336,49.646999999999984,32559.836,127
43,262144,random,1000,105.87496,39.942,1453.5542649355582,38.784,39.684,40.144,39.224,49.823599999999985,32560.3,105
44,262144,random,1000,72.721296,39.828,1028.6402661836871,39.164,39.592,39.94,39.488,40.0282,32568.572,41
45,262144,random,1000,73.536984,39.694,1028.4586234216183,38.976,39.4,39.764,39.1798,52.3044,32563.444,129
46,262144,random,1000,113.591984,45.728,1453.8528229884398,43.644,45.64,49.885,44.6718,60.428799999999995,32577.876,136
47,262144,random,1000,80.39517599999999,45.406000000000006,1028.5177916916884,43.872,45.036,45.496,44.424,60.3936,32571.884,265
48,262144,random,1000,112.542776,45.124,1454.012426041985,43.532,45.08,45.699999999999996,44.1918,58.981399999999994,32577.276,278
49,262144,random,1000,80.02292,45.044,1028.725616828846,43.504,44.952,45.1,44.02,61.33779999999999,32578.052,427
