num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,65536,random,1000,16.133331000000002,14.815,3.0798916978214206,13.99,14.81,14.83,14.81,20.992,47.584,203
3,65536,random,1000,14.001475,13.99,1.55303058674914,13.245,13.99,13.995,13.255,13.995,49.435,151
4,65536,random,1000,12.922025,12.595,1.0824137813096104,12.59,12.59,13.255,12.59,13.265,38.02,6
5,65536,random,1000,21.64634,21.512,1.4839001131969582,20.516,21.504,21.512,20.532,22.59,47.116,256
6,65536,random,1000,20.132509,19.648,1.2388260329274885,19.624,19.636,20.53,19.628,20.538,44.683,8
7,65536,random,1000,18.915398,18.817,1.4343122921272575,18.06,18.812,18.825,18.06,19.64,43.227,257
8,65536,random,1000,18.125408,18.068,0.7194594355593757,18.06,18.06,18.072,18.06,18.072,31.34,24
9,65536,random,1000,25.055428,24.976,0.7342246568065272,24.964,24.976,24.996,24.972,25.0,35.724,11
10,65536,random,1000,25.142356,25.06,0.8109457801371942,25.056,25.06,25.068,25.056,25.072,36.892,13
11,65536,random,1000,25.057984,24.98,0.7699377454547062,24.972,24.976,24.996,24.972,25.004,38.4,10
12,65536,random,1000,25.066252,24.996,0.725693692842808,24.992,24.996,25.0,24.992,25.0,38.14,26
13,65536,random,1000,25.055244,24.976,0.7504269031697898,24.972,24.976,24.996,24.972,25.004,38.9,11
14,65536,random,1000,25.136312,25.06,0.7722479482326579,25.056,25.06,25.064,25.056,25.072,38.276,131
15,65536,random,1000,25.069284,24.98,0.8446019131731445,24.972,24.976,24.996,24.972,25.0,35.956,12
16,65536,random,1000,25.134515999999998,25.06,0.7552964759023508,25.056,25.06,25.068,25.056,25.072,38.536,13
17,65536,random,1000,25.054056,24.98,0.7197329034553834,24.972,24.976,24.996,24.972,25.004,37.56,10
18,65536,random,1000,25.138932,25.06,0.7742472358091815,25.056,25.06,25.06,25.056,25.072,38.124,194
19,65536,random,1000,25.05938,24.98,0.763258312009015,24.972,24.976,24.996,24.972,25.004,38.26,10
20,65536,random,1000,25.137228,25.06,0.7860489940436518,25.056,25.06,25.06,25.056,25.072,38.736,342
21,65536,random,1000,25.059024,24.984,0.744353392816475,24.972,24.976,24.996,24.972,25.004,35.144,11
22,65536,random,1000,25.129835999999997,25.06,0.7060773373436584,25.056,25.06,25.06,25.056,25.072,36.356,208
23,65536,random,1000,25.074759999999998,24.996,0.8147856466887781,24.992,24.996,24.996,24.992,24.996,38.328,191
24,65536,random,1000,25.136224,25.064,0.7524838907443998,25.056,25.06,25.072,25.056,25.072,36.672,11
25,65536,random,1000,25.071124,24.992,0.8730129484905893,24.972,24.976,24.996,24.972,25.008,41.264,10
26,65536,random,1000,25.142368,25.06,0.8032886911299681,25.056,25.06,25.068,25.056,25.072,35.568,15
27,65536,random,1000,25.095216,24.992,1.1194946349052242,24.972,24.976,25.0,24.972,25.004,46.756,13
28,65536,random,1000,36.441296,36.38,0.8302969501385691,36.112,36.236,36.48,36.148,36.524,46.884,14
29,65536,random,1000,35.851104,35.756,0.825187049614117,35.664,35.724,35.788,35.668,35.852,49.368,15
30,65536,random,1000,35.490772,35.392,0.8784695103967447,35.312,35.316,35.452,35.316,35.456,49.192,15
31,65536,random,1000,34.345768,34.158,0.992951081386201,33.74,34.092,34.432,33.788,34.748,46.684,14
32,65536,random,1000,34.132104,34.048,0.9488229329765075,33.364,33.776,34.108,33.676,34.408,46.22,36
33,65536,random,1000,47.912436,47.792,0.8671438106175309,47.728,47.768,47.812,47.748,47.896,57.588,65
34,65536,random,1000,46.528636,46.392,1.0122756588565751,46.208,46.327,46.464,46.26,46.5522,60.4,20
35,65536,random,1000,46.445884,46.324,0.9021555071622093,46.264,46.28,46.356,46.276,46.3842,55.124,22
36,65536,random,1000,44.847052,44.716,0.9204682520864578,44.584,44.68,44.772,44.6438,44.892,58.052,40
37,65536,random,1000,46.797008,46.676,0.9643796036602786,46.64,46.664,46.684,46.652,46.696,61.612,19
38,65536,random,1000,46.270128,46.156,0.9258469118164838,45.904,46.072,46.228,45.988,46.3322,57.26,18
39,65536,random,1000,45.85942,45.732,0.96201683352631,45.608,45.704,45.772,45.636,45.808,59.42,19
40,65536,random,1000,45.179576,45.08,0.8397232659557476,44.824,45.028,45.14,44.884,45.212,54.0,42
