num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,16777216,random,1000,10.272244,10.072,5.276908454701797,10.06,10.064,10.072,10.06,10.088,175.684,73
3,16777216,random,1000,10.282868,10.072,5.564604286689526,10.06,10.064,10.076,10.06,10.092,184.596,35
4,16777216,random,1000,10.108288,10.072,0.5708060621757767,10.06,10.064,10.072,10.06,10.088,20.78,75
5,16777216,random,1000,10.134972,10.072,0.7005241446897411,10.06,10.064,10.072,10.06,10.092,26.02,80
6,16777216,random,1000,10.13614,10.072,0.7688883102464451,10.06,10.064,10.072,10.06,10.104,25.728,119
7,16777216,random,1000,10.119208,10.072,0.6218845689942412,10.06,10.064,10.076,10.06,10.092,20.444,41
8,16777216,random,1000,10.1146,10.072,0.6505773027295272,10.06,10.064,10.072,10.06,10.088,21.16,66
9,16777216,random,1000,12.163348,12.076,0.757778666500584,11.816,12.016,12.2,12.0,12.332,29.428,16
10,16777216,random,1000,52.272048,52.548,3.9601265767902167,50.18,51.059,52.548,50.688,52.56,161.524,24
11,16777216,random,1000,55.365856,55.436,2.5925953007860016,53.98,54.508,55.508,54.0958,55.5924,113.56,39
12,16777216,random,1000,55.720172,55.356,2.3471641949753272,54.892,55.156,55.433,55.0158,56.444,112.052,173
13,16777216,random,1000,56.836176,56.248,3.4807690291167064,55.492,55.984,56.68,55.648,59.5622,139.42,80
14,16777216,random,1000,57.097584,56.92,3.367543253844041,56.372,56.621,56.956,56.46,57.02,158.04,35
15,16777216,random,1000,56.30704,56.332,1.080732798513019,55.652,55.876,56.408,55.776,56.476,73.92,22
16,16777216,random,1000,56.05664,55.632,2.402163724011533,55.084,55.232,55.732,55.16,59.85059999999999,89.852,70
17,16777216,random,1000,55.515336,55.36,2.5159814486108107,54.744,55.336,55.38,54.912,55.4242,127.2,241
18,16777216,random,1000,55.444264,55.192,1.0307936213393027,55.092,55.164,55.373,55.128,55.652,67.612,36
19,16777216,random,1000,55.718636,55.544,1.030623432764928,55.38,55.484,55.648,55.432,56.068,69.996,55
20,16777216,random,1000,55.771812,55.624,1.4022289865734436,54.948,55.592,55.656,55.083800000000004,55.7442,74.716,225
21,16777216,random,1000,56.61086,56.468,1.056070339021488,55.76,56.444,56.516,56.1188,56.544,69.532,83
22,16777216,random,1000,56.346316,55.888,1.9838057837226737,55.536,55.772,56.276,55.648,57.522800000000004,81.081,59
23,16777216,random,1000,56.554064,56.312,1.6092798642826502,56.092,56.224,56.352,56.152,56.408,74.736,37
24,16777216,random,1000,57.59592,57.524,1.0384876938559697,56.744,57.468,57.533,56.824,57.556,71.024,170
25,16777216,random,1000,56.870724,56.602000000000004,1.302497001248856,56.42,56.572,56.644,56.552,57.068,74.468,185
26,16777216,random,1000,57.116868,56.748,1.582678450492599,56.468,56.684,57.164,56.536,57.2482,73.38,33
27,16777216,random,1000,56.886592,56.724,1.012667033163446,56.672,56.716,56.732,56.704,56.756,68.82,78
28,16777216,random,1000,57.008756,56.876,0.9862310480532156,56.372,56.852,56.9,56.824,56.96,72.092,78
29,16777216,random,1000,56.868984,56.512,2.5601227181672512,56.204,56.432,56.576,56.312,57.9226,121.556,126
30,16777216,random,1000,56.799344,56.644,0.9584118754413402,56.404,56.628,56.668,56.559400000000004,56.7482,65.288,116
31,16777216,random,1000,56.92588,56.716,2.0000509827335735,56.588,56.676,56.752,56.64,56.8,110.828,34
32,16777216,random,1000,57.319316,56.888,1.7088417997112666,56.612,56.816,57.292,56.692,59.337399999999995,74.432,69
33,16777216,random,1000,57.146888,56.96,1.169719295680244,56.824,56.928,56.992,56.884,57.1882,68.832,97
34,16777216,random,1000,56.869684,56.588,1.638090500745497,56.46,56.552,56.620999999999995,56.504,58.3244,81.2,61
35,16777216,random,1000,56.498592,56.236,3.525796160883965,55.72,55.916,56.3,55.7718,56.4608,159.18,49
36,16777216,random,1000,56.290948,56.136,1.09539859017956,55.948,56.032,56.18,55.96,56.264,68.736,33
37,16777216,random,1000,56.461208,56.404,3.6839938174735285,55.712,55.94,56.416,55.776,56.436,169.024,24
38,16777216,random,1000,56.3014,56.152,0.961871711398765,56.068,56.128,56.18,56.1,56.2322,68.636,37
39,16777216,random,1000,55.988764,55.8,1.3005969616913462,55.564,55.712,55.841,55.6438,55.9002,68.304,35
40,16777216,random,1000,56.585672,56.404,1.7996021594642377,55.776,56.044,56.456,55.956,56.611399999999996,75.32,48
41,16777216,random,1000,56.768716,56.616,0.9654854703917287,56.532,56.58,56.644,56.548,56.74,69.888,51
42,16777216,random,1000,57.400968,57.208,4.071489114142708,56.676,57.18,57.228,56.736,57.264,181.956,242
43,16777216,random,1000,57.09614,56.808,1.559440261866523,56.568,56.748,56.872,56.676,57.98239999999999,76.884,69
44,16777216,random,1000,56.615208,56.48,1.019472841035802,56.24,56.404,56.52,56.308,56.5802,73.26,30
45,16777216,random,1000,56.766508,56.276,2.26625094181277,56.044,56.204,56.32,56.104,61.3816,78.78,70
46,16777216,random,1000,56.47498,56.324,1.0744808219026698,56.072,56.264,56.368,56.156,56.428,69.532,37
47,16777216,random,1000,57.13686,56.988,0.9448901215177041,56.836,56.952,57.028,56.908,57.092,65.212,31
48,16777216,random,1000,56.742864,56.54,1.1636212114893005,56.312,56.512,56.576,56.4478,56.6642,67.968,76
49,16777216,random,1000,56.957948,56.768,1.0567199886585048,56.632,56.728,56.816,56.684,56.916199999999996,70.788,39
50,16777216,random,1000,57.436428,57.036,2.8716853437536516,57.028,57.036,57.04,57.032,58.6888,121.804,237
51,16777216,random,1000,56.475364,56.284,1.1478932312608061,55.96,56.224,56.344,56.12,56.4522,68.392,48
52,16777216,random,1000,56.668772,56.349999999999994,2.9877152163869685,55.892,56.18,56.652,56.04,56.728,144.016,31
53,16777216,random,1000,56.873168,56.52,4.2539376917935305,56.244,56.488,56.548,56.432,56.645399999999995,185.372,75
54,16777216,random,1000,56.2082,56.028,1.1921601057398783,55.748,55.98,56.076,55.864,56.152,68.344,55
55,16777216,random,1000,55.906316,55.76,0.9486122354878822,55.6,55.72,55.8,55.66,55.88,65.004,35
56,16777216,random,1000,56.493896,56.296,1.711476299663045,56.164,56.272,56.324,56.24,56.372,101.4,42
57,16777216,random,1000,56.970908,56.424,2.198599719881785,56.32,56.384,56.472,56.348,60.3314,81.032,125
58,16777216,random,1000,56.307364,56.16,0.9567262809605894,55.92,56.12,56.196,56.0,56.252,64.448,91
59,16777216,random,1000,56.927116,56.756,1.3678227127510045,56.212,56.732,56.78,56.288,58.0276,73.0,295
60,16777216,random,1000,56.240616,55.948,1.5096196222717655,55.704,55.92,55.98,55.884,56.58499999999998,69.516,71
61,16777216,random,1000,56.654956,56.468,1.141516564106772,56.396,56.448,56.492,56.424,56.548,72.684,48
62,16777216,random,1000,57.122336,56.716,2.8742303427469356,56.588,56.688,56.744,56.644,58.3998,120.384,78
63,16777216,random,1000,57.334804,56.912,4.5274393085138405,56.32,56.872,56.94,56.448,57.53379999999999,166.26,255
64,16777216,random,1000,56.91868,56.78,1.131950678226723,56.648,56.712,56.82,56.656,56.856,80.292,25
