num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,33554432,sequential,1000,10.144228,10.084,0.7613258310585798,10.068,10.08,10.1,10.072,10.1,26.008,37
3,33554432,sequential,1000,10.136759999999999,10.084,0.8306347069659541,10.072,10.072,10.1,10.072,10.1,29.064,7
4,33554432,sequential,1000,10.172812,10.08,1.4869883856692072,10.072,10.08,10.092,10.072,10.104,51.152,8
5,33554432,sequential,1000,10.135008,10.08,0.8205571436298401,10.072,10.08,10.1,10.072,10.104,29.34,6
6,33554432,sequential,1000,16.820972,16.752,0.8437158666753161,16.74,16.748,16.76,16.744,16.78,32.216,98
7,33554432,sequential,1000,17.019272,16.952,0.7294317272100663,16.94,16.948,16.956,16.944,16.96,28.996,26
8,33554432,sequential,1000,17.13978,17.08,0.7236515122012191,17.064,17.076,17.08,17.076,17.084,29.236,29
9,33554432,sequential,1000,24.250168,24.176,0.8313205841850001,24.052,24.172,24.184,24.112,24.196,35.752,168
10,33554432,sequential,1000,55.781332,55.552,1.4631610745594985,55.488,55.552,55.552,55.548,55.568,70.552,435
11,33554432,sequential,1000,56.966412,56.776,1.273970140220788,56.74,56.768,56.784,56.76,56.8162,71.032,108
12,33554432,sequential,1000,56.94096,56.732,1.4511612520252117,56.66,56.7,56.732,56.696,56.74,75.816,30
13,33554432,sequential,1000,56.609536,56.448,1.0867325284044334,56.14,56.22,56.692,56.176,56.928,68.404,23
14,33554432,sequential,1000,58.252616,58.034,1.4010771105166244,57.904,57.976,58.088,57.908,58.18,74.312,30
15,33554432,sequential,1000,57.023016,56.868,1.1785348225962913,56.648,56.748,56.904,56.7,56.944,68.376,34
16,33554432,sequential,1000,56.18,55.88,1.5686076124518338,55.708,55.824,55.964,55.764,56.40359999999996,75.896,82
17,33554432,sequential,1000,56.244992,56.072,1.1298777100091744,55.908,56.016,56.148,55.964,56.236,68.7,23
18,33554432,sequential,1000,57.33186,57.04,1.603107701529346,56.78,56.988,57.14,56.824,57.58,72.636,83
19,33554432,sequential,1000,57.098667999999996,56.928,1.1179299195750516,56.884,56.92,56.96,56.9,56.98,73.548,27
20,33554432,sequential,1000,58.044412,57.816,1.460820564949364,57.796,57.812,57.816,57.812,57.828,73.772,62
21,33554432,sequential,1000,57.539204,57.344,1.1459074894416033,57.196,57.284,57.44,57.24,57.516,70.944,29
22,33554432,sequential,1000,57.521692,57.344,1.2754868889721838,57.288,57.312,57.356,57.296,57.364,72.84,23
23,33554432,sequential,1000,57.207304,57.044,1.0810744644017736,56.936,57.02,57.08,56.972,57.104,68.62,26
24,33554432,sequential,1000,57.343472,57.196,1.0258237995307402,56.944,57.108,57.272,57.036,57.392,67.988,23
25,33554432,sequential,1000,58.001936,57.692,1.7437393793015419,57.66,57.692,57.692,57.692,57.6966,81.392,85
26,33554432,sequential,1000,58.069804,57.884,1.1919452433090405,57.728,57.812,57.928,57.76,58.048,73.696,37
27,33554432,sequential,1000,58.597036,58.388,1.7082841899337409,58.336,58.384,58.396,58.368,58.408,97.128,68
28,33554432,sequential,1000,58.581972,58.352,1.3354620121897898,58.208,58.332,58.388,58.308,58.464,73.296,44
29,33554432,sequential,1000,58.12046,57.976,1.0484535904518288,57.78,57.884,58.04,57.828,58.104,66.836,23
30,33554432,sequential,1000,59.264616,59.06,1.1948011392304188,58.988,59.044,59.068,59.024,59.08,73.64,45
31,33554432,sequential,1000,59.767852,59.092,13.127633401371964,59.052,59.084,59.1,59.064,59.1282,471.336,70
32,33554432,sequential,1000,59.385204,58.96,2.05968259952712,58.676,58.928,59.008,58.82,61.4306,87.816,131
33,33554432,sequential,1000,60.208476,60.036,1.1554066582679754,59.816,60.024,60.04,60.0078,60.064,72.444,108
34,33554432,sequential,1000,59.202484,58.988,1.422366269126046,58.748,58.956,59.024,58.812,59.0642,79.004,118
35,33554432,sequential,1000,59.704724,59.488,1.7619394002843216,59.44,59.476,59.5,59.444,59.512,101.956,30
36,33554432,sequential,1000,58.908088,58.776,1.0841034381093535,58.56,58.652,58.804,58.612,58.84,71.232,28
37,33554432,sequential,1000,59.35874,59.08,1.6554600183248982,59.032,59.072,59.092,59.06,59.112,83.036,60
38,33554432,sequential,1000,59.185192,59.008,1.0992690642475171,58.956,58.988,59.02,58.968,59.04,74.692,35
39,33554432,sequential,1000,58.901104,58.764,1.088720613269427,58.544,58.671,58.808,58.592,58.868,74.392,23
40,33554432,sequential,1000,59.113684,58.88,1.5269400269787907,58.64,58.824,58.924,58.7,59.0122,78.672,53
