num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,33554432,random,1000,10.176867999999999,10.08,1.9354589036566352,10.068,10.08,10.096,10.072,10.104,67.572,5
3,33554432,random,1000,10.162291999999999,10.08,1.4357583211295322,10.072,10.072,10.1,10.072,10.1,51.088,8
4,33554432,random,1000,10.139008,10.08,0.9216687003089175,10.072,10.08,10.1,10.072,10.1,34.028,7
5,33554432,random,1000,10.148463999999999,10.08,0.9350829807481713,10.072,10.08,10.1,10.072,10.104,30.572,6
6,33554432,random,1000,16.818636,16.752,0.8228894303115811,16.74,16.744,16.756,16.74,16.776,32.232,77
7,33554432,random,1000,17.02516,16.952,0.9291284421768942,16.94,16.948,16.956,16.944,16.964,36.2,19
8,33554432,random,1000,17.17358,17.08,1.522419490385191,17.064,17.076,17.084,17.076,17.084,60.244,24
9,33554432,random,1000,24.332088,24.176,1.5041640887422696,24.052,24.172,24.188,24.104,24.196,48.88,185
10,33554432,random,1000,57.248524,57.064,1.2225406246841053,56.54,57.064,57.064,57.064,57.072,69.944,121
11,33554432,random,1000,56.582952,56.416,1.5466766146309467,54.936,56.404,56.42,55.964,56.46,74.768,194
12,33554432,random,1000,57.664132,57.56,1.206400441230274,56.008,57.508,57.58,56.948,57.584,71.98,98
13,33554432,random,1000,57.8098,57.752,1.4290473106990602,56.264,57.748,57.76,56.6558,57.8,75.352,268
14,33554432,random,1000,57.064368,56.844,1.6384691677873555,56.82,56.836,56.856,56.828,56.888,94.44,65
15,33554432,random,1000,57.914716,57.572,1.464868348563318,57.288,57.544,58.036,57.384,58.076,76.772,32
16,33554432,random,1000,57.723112,57.56,1.0815630458175232,57.492,57.544,57.568,57.544,57.584,69.544,25
17,33554432,random,1000,58.509284,58.292,1.310478022704689,58.224,58.28,58.324,58.264,58.344,73.636,31
18,33554432,random,1000,58.608276000000004,58.388,1.3972879909143832,57.708,58.372,58.404,58.356,58.436,75.032,80
19,33554432,random,1000,58.078012,57.748,1.277718311655562,57.552,57.68,58.148,57.628,58.204,74.612,27
20,33554432,random,1000,57.889056,57.596,1.401949246782691,57.292,57.512,58.052,57.336,58.056,72.808,33
21,33554432,random,1000,57.866324,57.704,1.1253210468495123,57.456,57.664,57.736,57.548,57.82,72.52,94
22,33554432,random,1000,57.99452,57.992,1.412912074451248,57.276,57.483000000000004,58.02,57.356,58.04,75.6,32
23,33554432,random,1000,58.91632,58.744,1.1552917712321318,58.592,58.708,58.78,58.7,58.796,73.936,26
24,33554432,random,1000,58.570236,58.388,1.1888580806134263,57.756,58.352,58.428,58.348,58.436,69.436,29
25,33554432,random,1000,58.463983999999996,58.04,1.6762847999294377,57.78,57.995000000000005,58.476,57.852,58.476,82.476,37
26,33554432,random,1000,58.612396,58.378,1.3122096636534062,58.136,58.272,58.448,58.196,58.932,75.356,135
27,33554432,random,1000,59.224864,58.956,1.708571006539789,58.908,58.952,58.964,58.94,59.0082,83.148,111
28,33554432,random,1000,58.6481,58.464,1.3208660754176365,57.932,58.436,58.484,58.4,58.488,73.576,77
29,33554432,random,1000,58.854416,58.686,1.118868348522437,58.6,58.68,58.7,58.656,58.7362,73.688,73
30,33554432,random,1000,58.886404,58.728,1.057516109146856,58.636,58.696,58.736,58.676,58.748,70.252,36
31,33554432,random,1000,58.986968,58.884,1.6410357306424637,58.184,58.447,58.904,58.288,58.936,80.484,36
32,33554432,random,1000,59.344244,58.852,6.750151364518272,58.204,58.816,58.982,58.788,59.104,265.28,64
33,33554432,random,1000,59.511748,59.292,1.333053454295066,59.076,59.256,59.312,59.22,59.698199999999986,82.036,76
34,33554432,random,1000,59.130116,58.756,1.4501952353958294,58.58,58.696,59.156,58.644,59.224,74.264,41
35,33554432,random,1000,59.39964,59.208,1.148608244485168,59.164,59.18,59.236,59.168,59.26,70.34,32
36,33554432,random,1000,59.460956,59.204,1.6071862635518477,58.648,59.192,59.228,59.176,59.268,80.424,72
37,33554432,random,1000,59.712208,59.252,2.1290798109929034,58.5,59.232,59.26,59.212,62.1072,82.136,114
38,33554432,random,1000,59.427916,59.264,1.0378021633597967,59.204,59.244,59.28,59.204,59.3,68.496,34
39,33554432,random,1000,59.52896,59.288,1.518156905853539,59.24,59.268,59.316,59.252,59.348,79.464,33
40,33554432,random,1000,59.491332,59.312,1.0955445676355096,59.3,59.312,59.316,59.312,59.372,69.496,126
