num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,27262976,random,1000,14.641675,14.81,1.3808722343151456,13.985,14.0,14.82,13.99,14.835,45.635,6
3,27262976,random,1000,13.5934,13.265,1.1987730589427035,13.25,13.26,13.995,13.25,14.0,39.525,6
4,27262976,random,1000,12.625149,12.595,1.023012786802277,11.976,12.59,12.6,12.0,12.6,38.455,78
5,27262976,random,1000,12.018413,11.996,1.11668738738832,11.44,11.992,12.0,11.45,12.0,37.541,184
6,27262976,random,1000,11.436032,11.45,1.2057061492313517,10.944,11.446,11.454,10.952,11.46,36.32,226
7,27262976,random,1000,10.878999,10.944,1.2436426311416768,10.491,10.5,10.956,10.491,10.964,35.702,13
8,27262976,random,1000,10.468564,10.492,0.9707122788098604,10.072,10.491,10.5,10.076,10.5,34.635,235
9,27262976,random,1000,12.194772,12.2,0.7486164455838508,11.872,12.076,12.272,11.872,12.276,26.208,8
10,27262976,random,1000,44.125796,43.804,2.0279516212578055,42.404,43.596,43.984,43.3838,46.2766,90.088,89
11,27262976,random,1000,46.5981,46.416,1.2457946646002087,46.396,46.412,46.428,46.404,46.452,60.588,46
12,27262976,random,1000,46.490456,46.316,1.1283737090571064,46.268,46.288,46.332,46.272,46.36,58.636,38
13,27262976,random,1000,46.216064,46.2,1.5985460448048912,44.88,46.188,46.208,45.1398,46.236,82.592,192
14,27262976,random,1000,45.74686,45.6,1.07253132347724,45.54,45.592,45.612,45.58,45.628,59.156,31
15,27262976,random,1000,46.19782,46.06,1.008842871580872,46.036,46.048,46.072,46.044,46.1162,56.984,62
16,27262976,random,1000,45.51562,45.512,1.0885768650817411,45.1,45.18,45.548,45.124,45.548,61.456,21
17,27262976,random,1000,45.559556,45.424,1.0967376479050641,45.3,45.376,45.452,45.32,45.5,61.08,20
18,27262976,random,1000,44.905316,44.736,1.1504759602351884,44.704,44.724,44.752,44.712,44.78,56.72,36
19,27262976,random,1000,45.48152,45.316,1.6001160598547233,45.28,45.308,45.328,45.296,45.34,85.836,22
20,27262976,random,1000,45.598708,45.096,2.0798323050556635,45.06,45.092,45.156,45.092,49.0316,75.072,114
21,27262976,random,1000,45.678452,45.064,3.0931202402293576,45.028,45.052,45.088,45.036,48.32079999999998,116.352,212
22,27262976,random,1000,45.866868,45.74,1.003546375562138,45.7,45.711,45.756,45.704,45.784,63.756,22
23,27262976,random,1000,45.198016,45.064,0.9381224362786819,45.032,45.056,45.076,45.036,45.088,55.156,27
24,27262976,random,1000,45.310468,45.04,1.8521955948272573,44.884,44.924,45.468,44.9,45.484,92.056,22
25,27262976,random,1000,45.9723,45.816,1.1041205732347534,45.756,45.8,45.848,45.756,45.892,64.352,25
26,27262976,random,1000,45.885608,45.706,1.1328454586434855,45.588,45.672,45.8,45.636,45.848,57.384,21
27,27262976,random,1000,46.895864,46.728,1.3215126640426966,46.692,46.72,46.744,46.708,46.76,73.22,23
28,27262976,random,1000,46.894576,46.67,1.1105262936431863,46.436,46.584,46.764,46.496,47.2,60.416,203
29,27262976,random,1000,46.746788,46.62,0.8719699069202873,46.564,46.592,46.644,46.572,46.664,56.28,27
30,27262976,random,1000,47.206808,47.074,1.1092378336983046,46.884,47.0,47.116,46.964,47.12,58.112,20
31,27262976,random,1000,47.542076,47.464,1.1167093632749867,46.784,47.448,47.484,46.896,47.516,60.824,204
32,27262976,random,1000,47.122124,46.944,1.2313534894740987,46.916,46.94,46.948,46.916,46.976,61.492,292
33,27262976,random,1000,47.004636,46.816,1.302535110166792,46.648,46.78,46.848,46.744,46.936,62.74,39
34,27262976,random,1000,47.888168,47.732,1.0790624799387716,47.664,47.72,47.752,47.688,47.7642,58.756,53
35,27262976,random,1000,48.658644,48.5,1.1227095073534836,48.384,48.444,48.54,48.404,48.592,60.5,27
36,27262976,random,1000,50.184244,50.06,0.953309714560738,50.016,50.032,50.072,50.019800000000004,50.084,60.268,23
37,27262976,random,1000,50.609816,50.336,1.8158894362236342,50.3,50.328,50.344,50.316,50.372,88.788,64
38,27262976,random,1000,51.524596,51.36,1.1331700627775052,51.268,51.336,51.388,51.3,51.4322,64.076,26
39,27262976,random,1000,51.715512,51.536,1.3768624593938523,51.308,51.456,51.58,51.388,51.648,69.744,24
40,27262976,random,1000,52.399732,52.232,1.164588752796084,52.028,52.172,52.292,52.08,52.4122,63.172,34
