num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,27262976,sequential,1000,10.124856,10.08,0.7291180428328353,10.072,10.072,10.08,10.072,10.08,24.596,21
3,27262976,sequential,1000,10.185452,10.076,2.2933977686003404,10.068,10.072,10.08,10.072,10.08,79.86,24
4,27262976,sequential,1000,10.126496,10.08,0.7720885355260048,10.072,10.072,10.08,10.072,10.08,28.72,19
5,27262976,sequential,1000,10.141448,10.08,0.8118227981225654,10.068,10.076,10.08,10.072,10.0842,27.076,52
6,27262976,sequential,1000,10.123164,10.08,0.7074679271684138,10.072,10.072,10.08,10.072,10.08,24.352,19
7,27262976,sequential,1000,10.118604,10.08,0.6363221550983975,10.068,10.072,10.08,10.072,10.08,23.552,25
8,27262976,sequential,1000,10.148268,10.08,0.7564383167867048,10.072,10.072,10.08,10.072,10.08,20.816,35
9,27262976,sequential,1000,12.203776,12.2,0.7204850203081868,11.872,12.075,12.272,11.872,12.276,23.732,17
10,27262976,sequential,1000,46.7451,46.564,1.3107433211937622,46.548,46.564,46.568,46.564,46.592,60.628,226
11,27262976,sequential,1000,46.60056,46.42,1.241902795291545,46.396,46.416,46.432,46.404,46.452,59.588,31
12,27262976,sequential,1000,45.030876,44.788,1.4920651631463941,44.432,44.54,45.06,44.4918,45.396,65.12,36
13,27262976,sequential,1000,45.591556,45.464,1.3354598098661628,44.556,45.448,45.48,44.8344,45.504,60.908,103
14,27262976,sequential,1000,46.98574,46.672,3.8960552124705083,46.616,46.644,46.696,46.624,46.712,162.0,31
15,27262976,sequential,1000,46.323988,46.056,1.59434029517943,46.032,46.048,46.068,46.036,47.0218,69.368,58
16,27262976,sequential,1000,46.637876,46.454,1.4081845533737258,46.252,46.388,46.504,46.3318,46.6202,65.844,23
17,27262976,sequential,1000,47.472248,47.14,1.8229479174144296,47.092,47.12,47.164,47.1,48.252199999999995,71.884,80
18,27262976,sequential,1000,47.06052,46.74,1.5917425514039478,46.688,46.712,46.772,46.692,48.3084,67.336,89
19,27262976,sequential,1000,46.871719999999996,46.66,1.9879867718385362,46.036,46.632,46.684,46.6,46.7322,92.392,53
20,27262976,sequential,1000,46.266396,46.04,1.6608369114486918,45.952,46.024,46.1,45.992,46.188,73.488,26
21,27262976,sequential,1000,47.012344,46.76,1.535398189807864,46.624,46.724,46.816,46.692,46.924,71.316,45
22,27262976,sequential,1000,46.690672,46.564,0.9218402431277612,46.404,46.496,46.64,46.452,46.736,60.368,19
23,27262976,sequential,1000,46.663508,46.496,1.2548289068719773,46.44,46.472,46.524,46.452,46.552,63.58,26
24,27262976,sequential,1000,47.355688,46.928,2.0111189935611127,46.884,46.9,46.96,46.896,49.342,67.544,75
25,27262976,sequential,1000,46.402608,46.264,0.9532929779652408,46.248,46.264,46.264,46.264,46.2762,56.36,114
26,27262976,sequential,1000,46.779876,46.328,1.9594165054080934,46.18,46.268,46.436,46.208,49.096799999999995,81.696,188
27,27262976,sequential,1000,45.641204,45.504,0.9120743730891938,45.36,45.464,45.588,45.42,45.656,56.452,19
28,27262976,sequential,1000,46.3065,46.124,1.3580916857955605,46.1,46.116,46.168,46.1,46.184,73.8,26
29,27262976,sequential,1000,46.408904,46.272,1.027245193452601,46.224,46.248,46.296,46.232,46.324,64.94,32
30,27262976,sequential,1000,45.892036000000004,45.768,0.8342176585315162,45.664,45.728,45.828,45.728,45.8362,57.1,23
31,27262976,sequential,1000,46.654608,46.488,1.2931650854683148,46.424,46.468,46.508,46.444,46.544,63.196,21
32,27262976,sequential,1000,46.48778,46.288,1.3359759156688593,46.268,46.284,46.364,46.268,46.368,63.912,21
33,27262976,sequential,1000,46.272592,46.128,0.9826651435358438,46.048,46.108,46.16,46.076,46.296,59.452,92
34,27262976,sequential,1000,46.956024,46.828,1.0017664635390184,46.772,46.807,46.856,46.776,46.88,65.98,28
35,27262976,sequential,1000,48.206892,48.052,1.0276091011667814,48.004,48.028,48.096,48.008,48.112,59.916,23
36,27262976,sequential,1000,49.00592,48.836,1.129678385583638,48.5,48.812,48.864,48.72,48.952,63.32,123
37,27262976,sequential,1000,50.790092,50.604,1.1405455412510574,50.556,50.596,50.616,50.584,50.632,70.068,52
38,27262976,sequential,1000,51.84482,51.616,1.442272308897669,51.38,51.564,51.664,51.444,51.775,72.236,70
39,27262976,sequential,1000,52.51698,52.314,1.3229411282550818,52.096,52.231,52.352,52.168,52.424,70.956,42
40,27262976,sequential,1000,53.124764,52.928,1.1485013224161267,52.9,52.928,52.937,52.92,52.956,67.128,62
