num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,17203200,random,1000,10.199527999999999,10.08,1.0803088282432856,10.068,10.072,10.08,10.072,10.520199999999999,30.528,118
3,17203200,random,1000,10.244632,10.08,4.062871468942767,10.072,10.072,10.08,10.072,10.088,136.424,23
4,17203200,random,1000,10.13642,10.08,0.7996636527675606,10.068,10.072,10.08,10.072,10.092,25.576,45
5,17203200,random,1000,10.135216,10.08,0.9491868799541411,10.072,10.072,10.08,10.072,10.0842,32.656,26
6,17203200,random,1000,10.1631,10.08,0.8602509806735182,10.068,10.072,10.08,10.072,10.3524,28.504,98
7,17203200,random,1000,10.123024,10.08,0.7131246470191491,10.068,10.072,10.08,10.072,10.08,24.072,27
8,17203200,random,1000,10.129916,10.08,0.6351425722080287,10.072,10.072,10.08,10.072,10.092,22.18,42
9,17203200,random,1000,12.21536,12.2,0.8832185785282471,11.736,12.068,12.272,11.872,12.384,30.732,16
10,17203200,random,1000,40.802312,40.864,5.082350717480197,39.124,39.695,40.896,39.4838,41.032,162.164,25
11,17203200,random,1000,41.91888,41.748,1.0930541766230222,41.692,41.731,41.772,41.712,41.9042,55.652,87
12,17203200,random,1000,51.046912,50.788,1.6450293352307641,50.452,50.544,50.812,50.488,52.272999999999996,74.732,78
13,17203200,random,1000,46.323628,46.1,1.5570977667028716,45.5,46.007000000000005,46.224,45.804,46.3602,72.892,41
14,17203200,random,1000,49.089771999999996,48.1,5.971002181800897,47.604,48.064,48.14,48.024,54.63419999999999,197.952,112
15,17203200,random,1000,49.198648,49.044,0.9772502843254711,49.004,49.02,49.1,49.02,49.116,61.86,25
16,17203200,random,1000,50.644,50.436,1.3933630641827093,50.208,50.388,50.492,50.304,50.5882,71.432,43
17,17203200,random,1000,52.59744,51.272,6.571240742149939,51.2,51.252,51.304,51.224,63.22939999999999,216.908,136
18,17203200,random,1000,51.022224,50.888,1.4011970564538792,50.38,50.856,50.916,50.444,50.9402,67.248,232
19,17203200,random,1000,50.767756,50.592,1.1868212422791922,50.516,50.548,50.604,50.524,50.6482,69.46,45
20,17203200,random,1000,49.81686,49.204,3.9657651379689054,48.932,49.068,49.564,49.008,51.8388,156.964,68
21,17203200,random,1000,51.884968,51.628,1.482680101457917,50.956,51.58,51.684,51.132,53.29019999999999,67.448,174
22,17203200,random,1000,48.11666,47.82,1.5115091850254883,47.744,47.796,47.856,47.76,49.6644,69.74,73
23,17203200,random,1000,52.540232,52.232,2.2244949818105004,51.7,52.204,52.256,51.768,53.42159999999999,95.696,167
24,17203200,random,1000,54.9457,54.584,1.6264006102264426,54.32,54.496,54.668,54.408,57.7606,79.728,79
25,17203200,random,1000,52.568288,52.28,1.657790131825249,52.248,52.264,52.296,52.248,52.388,74.572,68
26,17203200,random,1000,51.816384,51.396,2.335050003546619,51.144,51.376,51.416,51.352,53.27279999999999,100.324,93
27,17203200,random,1000,52.088341,51.778000000000006,1.8642797965645819,51.276,51.756,51.8,51.7238,53.181,77.128,121
28,17203200,random,1000,54.219608,53.312,2.4715710237947164,53.16,53.252,54.212,53.216,59.0858,78.904,104
29,17203200,random,1000,51.627424,51.26,1.6235445806103477,50.016,51.24,51.288,51.216,53.644999999999996,72.936,124
30,17203200,random,1000,54.9821,54.8,1.0566917637057098,54.7,54.772,54.84,54.732,54.9322,67.384,48
31,17203200,random,1000,54.722888,54.332,1.9545071311155613,54.212,54.296,54.372,54.252,56.2668,76.924,86
32,17203200,random,1000,55.567848,55.384,1.1867349749614684,55.308,55.356,55.392,55.336,55.504,66.34,80
33,17203200,random,1000,53.40222,53.224,1.2859060253011902,53.036,53.192,53.264,53.144,53.356,79.32,45
34,17203200,random,1000,51.85684,51.72,0.9083546898886153,51.628,51.688,51.745,51.656,51.804,59.324,39
35,17203200,random,1000,52.99486,52.668,1.543942468729566,52.38,52.62,52.724,52.5158,54.48159999999999,72.72,165
36,17203200,random,1000,54.660732,54.364,1.464113767881889,54.172,54.316,54.433,54.248,55.9604,74.132,72
37,17203200,random,1000,55.026768,54.824,1.1022327554664773,54.756,54.804,54.848,54.784,54.92,66.152,52
38,17203200,random,1000,55.162852,54.368,5.4630710018145345,54.12,54.324,54.404,54.212,56.81459999999999,188.296,107
39,17203200,random,1000,54.918104,54.676,1.408500441845397,54.624,54.66,54.696,54.64,54.812599999999996,74.372,65
40,17203200,random,1000,56.933276,55.968,7.410977910465893,55.92,55.952,56.0,55.928,61.5528,266.236,116
