num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,1048576,random,1000,15.496178,14.825,2.9816197011621655,13.985,14.81,14.845,14.01,21.008,74.808,177
3,1048576,random,1000,13.866765000000001,14.0,1.2388916669093135,13.25,13.29,14.005,13.255,14.03,40.39,8
4,1048576,random,1000,12.849005,12.605,1.2405736608452491,12.59,12.6,12.625,12.59,13.29,38.09,235
5,1048576,random,1000,12.068028,12.004,0.8732473373152236,11.976,12.0,12.02,11.992,12.036,30.096,9
6,1048576,random,1000,11.504442000000001,11.454,0.7660820859401415,11.44,11.454,11.474,11.446,11.484,30.734,7
7,1048576,random,1000,10.99892,10.96,0.6205843879623323,10.944,10.952,10.972,10.944,10.984,24.988,6
8,1048576,random,1000,10.561543,10.5,0.7474470571580666,10.491,10.5,10.52,10.491,10.525,22.813,24
9,1048576,random,1000,12.510664,12.456,3.103201763387016,11.904,12.068,12.456,11.96,12.975,103.36,15
10,1048576,random,1000,17.205544,17.14,0.9742375084068499,17.056,17.084,17.164,17.056,17.176199999999998,33.016,18
11,1048576,random,1000,45.463492,45.052,1.8917167351752595,40.228,45.036,45.068,44.8038,47.627599999999994,67.42,214
12,1048576,random,1000,42.693124,42.544,1.0776066614218476,42.476,42.536,42.548,42.524,42.572,56.42,63
13,1048576,random,1000,43.300184,43.148,1.2082174023889225,42.788,43.008,43.233,42.836,43.48,59.996,36
14,1048576,random,1000,42.438004,42.248,1.2355059898822973,41.66,42.116,42.392,41.9598,42.588,58.684,41
15,1048576,random,1000,45.366488,45.232,0.9589969995266414,45.084,45.172,45.296,45.128,45.36,55.68,26
16,1048576,random,1000,45.836728,45.64,1.3120034478091371,45.476,45.62,45.7,45.552,45.712,61.476,34
17,1048576,random,1000,45.230336,45.068,1.5544600120405263,45.028,45.048,45.08,45.044,45.108,83.76,24
18,1048576,random,1000,43.933408,43.808,0.9011307242115976,43.712,43.788,43.836,43.76,43.94,53.824,89
19,1048576,random,1000,46.76212,46.632,0.9977844774616729,46.576,46.616,46.644,46.608,46.664,58.512,18
20,1048576,random,1000,45.208420000000004,45.064,1.085949976265459,45.036,45.048,45.064,45.048,45.068,58.564,23
21,1048576,random,1000,46.522268,46.248,1.5784057364457482,46.2,46.228,46.264,46.212,46.284,64.42,46
22,1048576,random,1000,45.208536,45.052,1.115283721069434,44.976,45.028,45.072,45.008,45.092,57.892,23
23,1048576,random,1000,47.201776,47.02,1.6453741428301025,46.976,46.996,47.04,46.98,47.06,86.116,22
24,1048576,random,1000,45.851976,45.704,1.0842861448288765,45.632,45.664,45.732,45.648,45.76,57.24,22
25,1048576,random,1000,47.040344,46.864,1.1900978609268162,46.852,46.864,46.864,46.864,46.892,63.004,86
26,1048576,random,1000,46.3693,46.226,1.2001858606482998,46.144,46.168,46.245,46.144,46.264,60.208,21
27,1048576,random,1000,47.756907999999996,47.608,1.0553230871891102,47.528,47.6,47.616,47.592,47.632,60.076,58
28,1048576,random,1000,46.249448,46.12,0.8984847122094367,46.1,46.112,46.156,46.1,46.172,56.208,18
29,1048576,random,1000,47.827568,47.644,1.7482019080436009,47.592,47.632,47.66,47.608,47.692,91.604,23
30,1048576,random,1000,46.806636,46.588,1.392398380045292,46.42,46.54,46.616,46.508,46.656,62.704,42
31,1048576,random,1000,48.6402,48.432,1.249786390557211,48.348,48.408,48.448,48.364,48.7446,65.192,67
32,1048576,random,1000,48.419424,48.212,1.303841938282407,48.104,48.196,48.276,48.18,48.324,66.568,25
33,1048576,random,1000,47.899384,47.716,1.2339602223630932,47.516,47.632,47.776,47.583800000000004,47.86,62.14,35
34,1048576,random,1000,46.982056,46.816,1.134519173314677,46.552,46.744,46.876,46.656,46.968,62.228,33
35,1048576,random,1000,48.165296,48.052,1.4299536719376218,47.428,48.04,48.056,47.592,48.08,71.624,180
36,1048576,random,1000,47.146408,46.996,0.9899440220046296,46.948,46.988,47.028,46.956,47.044,58.784,28
37,1048576,random,1000,48.88794,48.684,1.4414761579415436,48.64,48.676,48.692,48.672,48.7,68.104,43
38,1048576,random,1000,47.26592,47.1,1.1454801711170832,46.896,47.084,47.128,46.98,47.176,60.552,99
39,1048576,random,1000,49.183196,48.528,7.204029174700359,48.456,48.508,48.692,48.476,51.006999999999984,269.696,100
40,1048576,random,1000,47.731168,47.552,1.194194449895058,47.552,47.552,47.572,47.552,47.58,63.492,26
