num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,2097152,random,1000,15.011736,14.825,2.0425578275247886,13.985,14.81,14.845,14.005,15.7503,52.981,205
3,2097152,random,1000,13.905855,14.0,1.8869140649917429,13.25,13.29,14.005,13.255,14.035,60.62,7
4,2097152,random,1000,12.924255,12.625,1.1421017977796424,12.58,12.6,13.26,12.59,13.295,38.915,7
5,2097152,random,1000,12.100307,12.0,1.0703501128673343,11.976,11.992,12.02,11.992,12.04,38.636,41
6,2097152,random,1000,11.54729,11.458,1.2182640022093236,10.944,11.454,11.466,11.446,11.48,36.582,19
7,2097152,random,1000,11.025256,10.96,1.1086201879747568,10.491,10.952,10.972,10.944,10.984,36.214,37
8,2097152,random,1000,10.544626000000001,10.5,0.6309160508238693,10.487,10.492,10.521,10.491,10.525,24.821,20
9,2097152,random,1000,12.286704,12.072,0.7532489683978282,11.876,12.064,12.456,12.0,12.456,26.348,10
10,2097152,random,1000,43.190847999999995,43.056,1.0919764748004044,43.052,43.056,43.056,43.052,43.068,59.22,351
11,2097152,random,1000,44.220856,43.7,6.12439432181445,38.836,43.688,43.708,41.9118,48.428399999999996,221.696,280
12,2097152,random,1000,44.634752,44.452,1.040313563694527,44.352,44.428,44.5,44.388,44.784,59.508,161
13,2097152,random,1000,45.224607999999996,45.056,1.2225959410905842,45.032,45.044,45.056,45.036,45.08,65.692,111
14,2097152,random,1000,44.205772,44.1,0.923972090725927,43.896,44.012,44.132,43.956,44.232,54.548,18
15,2097152,random,1000,45.222336,45.072,0.9455520312218403,44.972,45.048,45.116,45.012,45.216,55.712,49
16,2097152,random,1000,45.63192,45.428,1.4846158553099984,45.34,45.376,45.44,45.364,45.464,65.668,37
17,2097152,random,1000,46.092016,45.944,1.0644594128408962,45.896,45.932,45.96,45.908,45.976,59.492,23
18,2097152,random,1000,45.754324,45.608,1.008064613647999,45.576,45.596,45.624,45.576,45.636,56.14,25
19,2097152,random,1000,44.969404,44.812,1.159118202683312,44.66,44.76,44.876,44.704,44.9762,64.452,21
20,2097152,random,1000,45.241468,45.092,1.0714723897786904,44.952,45.056,45.152,44.992,45.2282,58.048,19
21,2097152,random,1000,45.929572,45.776,1.191302310083385,45.72,45.748,45.792,45.732,45.8122,65.312,22
22,2097152,random,1000,46.57102,46.422,1.0195096191127688,46.388,46.396,46.44,46.392,46.448,60.656,28
23,2097152,random,1000,46.648852,46.492,1.0781648712444611,46.304,46.432,46.565,46.364,46.6762,61.74,23
24,2097152,random,1000,46.913836,46.632,2.485796327232882,46.512,46.584,46.652,46.572,46.664,104.84,30
25,2097152,random,1000,46.979236,46.836,0.9510851040675484,46.816,46.836,46.836,46.832,46.864,56.352,175
26,2097152,random,1000,46.674212,46.492,1.3488271504302314,46.336,46.448,46.568,46.396,46.64,67.2,20
27,2097152,random,1000,47.217584,47.052,1.195004719330942,46.872,47.028,47.076,46.992,47.128,66.668,37
28,2097152,random,1000,47.607204,47.385999999999996,1.4694383060609655,47.196,47.332,47.472,47.284,47.5642,67.9,26
29,2097152,random,1000,47.893392,47.684,1.3043916021608648,47.632,47.66,47.708,47.644,47.7684,64.484,46
30,2097152,random,1000,47.857044,47.676,1.214141465217938,47.508,47.648,47.692,47.624,47.7602,62.656,54
31,2097152,random,1000,49.014188,48.732,3.2036402912580204,48.644,48.704,48.744,48.668,48.764,140.952,35
32,2097152,random,1000,48.99094,48.848,0.9784267470277472,48.768,48.844,48.9,48.784,48.9,59.228,33
33,2097152,random,1000,48.895944,48.728,1.0677837679226254,48.604,48.7,48.76,48.66,48.8804,60.004,71
34,2097152,random,1000,49.713048,49.38,1.7390750794108425,49.128,49.34,49.424,49.2438,50.795,70.06,83
35,2097152,random,1000,49.563576,49.36,1.6288675052236672,49.184,49.304,49.44,49.256,49.504,89.456,27
36,2097152,random,1000,51.008608,50.8,1.7646873104433092,50.532,50.708,50.86,50.62,50.956,89.328,24
37,2097152,random,1000,51.526756,51.356,1.3002768460371585,51.176,51.252,51.392,51.208,51.452,69.392,30
38,2097152,random,1000,51.834416,51.716,1.0408627297420954,51.484,51.616,51.756,51.568,51.812,68.156,22
39,2097152,random,1000,52.5549,52.376,1.6474405368092415,52.308,52.356,52.4,52.324,52.424,95.196,24
40,2097152,random,1000,53.47522,53.312,1.107469074670418,53.268,53.312,53.312,53.312,53.312,67.872,71
