size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
16384,2048,random,1000,10.22976,10.112,1.0087146710976738,10.072,10.104,10.124,10.088,10.1442,29.856,50
16616,2077,random,1000,10.201284,10.116,1.0435261386980903,10.088,10.108,10.124,10.1,10.136199999999999,33.108,32
16864,2108,random,1000,10.160016,10.116,0.668556935585983,10.088,10.108,10.124,10.1,10.136,24.784,19
17104,2138,random,1000,10.209188,10.116,0.9344548627657446,10.076,10.104,10.124,10.092,10.144,28.732,41
17352,2169,random,1000,10.146232,10.112,0.5154320133017897,10.084,10.108,10.12,10.096,10.132,20.92,27
17608,2201,random,1000,10.150184,10.112,0.591812429825613,10.092,10.108,10.12,10.1,10.132,23.648,10
17864,2233,random,1000,10.140392,10.112,0.4253854712318406,10.08,10.104,10.124,10.092,10.136,18.072,9
18120,2265,random,1000,10.140788,10.112,0.44706258623599004,10.084,10.104,10.12,10.092,10.132,18.744,10
18384,2298,random,1000,10.200324,10.112,0.6558207284402132,10.08,10.1,10.128,10.088,10.5642,21.24,85
18656,2332,random,1000,10.196896,10.112,0.7159082020327311,10.076,10.104,10.124,10.088,10.14,20.92,36
18928,2366,random,1000,10.143124,10.112,0.5079948615915357,10.08,10.104,10.12,10.088,10.132,20.952,13
19200,2400,random,1000,32.721584,10.148,712.4416265563862,10.088,10.132,10.176,10.108,10.200399999999998,22539.564,9
19480,2435,random,1000,10.160808,10.112,0.7202754360936099,10.084,10.104,10.116,10.096,10.128,23.716,28
19760,2470,random,1000,10.154539999999999,10.112,0.706858444995362,10.06,10.096,10.124,10.076,10.136,26.352,9
20048,2506,random,1000,30.245804,10.124,633.2056472265114,10.068,10.108,10.148,10.088,10.216199999999999,20033.932,57
20344,2543,random,1000,10.162532,10.108,0.5874904714376481,10.072,10.1,10.12,10.088,10.132,20.704,24
20640,2580,random,1000,10.214236,10.18,0.4673640523847138,10.12,10.164,10.2,10.144,10.236,19.876,19
20936,2617,random,1000,32.704092,10.12,712.2010649500122,10.08,10.108,10.141,10.096,10.28,22531.952,208
21240,2655,random,1000,10.180848,10.149999999999999,0.48877899484511583,10.092,10.132,10.168,10.112,10.188,20.004,7
21552,2694,random,1000,10.25236,10.212,0.56768980095657,10.096,10.192,10.224,10.12,10.256,21.328,92
21864,2733,random,1000,10.184924,10.156,0.4898260791462739,10.084,10.14,10.168,10.112,10.192,20.392,20
22184,2773,random,1000,10.182116,10.14,0.5917213471700143,10.108,10.132,10.152,10.12,10.168,23.976,18
22504,2813,random,1000,10.144328,10.112,0.5142826256398665,10.076,10.104,10.12,10.092,10.132,20.892,26
22832,2854,random,1000,10.189956,10.152,0.5159316616990505,10.08,10.128,10.192,10.108,10.212,20.508,7
23168,2896,random,1000,30.285052,10.236,633.1464673914114,10.124,10.216,10.252,10.164,10.276,20032.108,58
23504,2938,random,1000,10.203064,10.168,0.4752578099199316,10.116,10.156,10.188,10.14,10.22,20.416,18
23848,2981,random,1000,10.18512,10.16,0.47553966351038646,10.084,10.136,10.176,10.104,10.196,19.224,8
24192,3024,random,1000,21.375568,10.188,351.7839261962255,10.084,10.155000000000001,10.228,10.12,10.276,11134.596,11
24544,3068,random,1000,10.22862,10.168,0.5241772767083837,10.108,10.152,10.184,10.136,10.212,19.324,31
24904,3113,random,1000,10.379876,10.26,0.888272861963767,10.144,10.22,10.316,10.188,10.372,26.62,43
25264,3158,random,1000,32.792567999999996,10.232,712.3273777213344,10.096,10.184,10.264,10.132,10.316,22536.028,10
25632,3204,random,1000,10.21142,10.18,0.4758515759376261,10.112,10.164,10.196,10.144,10.224,19.804,20
26008,3251,random,1000,10.169824,10.14,0.46260904460694696,10.084,10.124,10.152,10.108,10.172,18.12,13
26384,3298,random,1000,10.230724,10.2,0.5092109853996196,10.08,10.168,10.228,10.128,10.256,19.844,9
26768,3346,random,1000,10.256004,10.184,0.6140244571822999,10.092,10.156,10.224,10.132,10.268,21.216,32
27152,3394,random,1000,10.219111999999999,10.18,0.5134607340209973,10.104,10.156,10.22,10.132,10.252,20.332,8
27552,3444,random,1000,10.217388,10.176,0.5483373955470804,10.096,10.152,10.212,10.12,10.256,21.9,11
