size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
16777216,2097152,sequential,1000,10.2372,10.124,1.0454558364206046,10.092,10.116,10.132,10.108,10.472399999999999,35.92,168
17021240,2127655,sequential,1000,10.169319999999999,10.12,0.6678946899900589,10.092,10.112,10.128,10.108,10.152,24.516,43
17268824,2158603,sequential,1000,10.586476,10.428,1.0904550397048094,10.092,10.124,10.54,10.112,12.040999999999999,26.444,97
17520000,2190000,sequential,1000,10.164024,10.12,0.595238819867015,10.092,10.112,10.128,10.107800000000001,10.148,22.072,41
17774840,2221855,sequential,1000,10.164,10.12,0.5273503753847326,10.084,10.112,10.128,10.104,10.144,18.084,44
18033376,2254172,sequential,1000,10.165564,10.12,0.5492656321295176,10.092,10.112,10.128,10.104,10.156,21.432,53
18295680,2286960,sequential,1000,10.24476,10.124,1.00301433097845,10.092,10.116,10.136,10.108,10.5442,33.544,151
18561800,2320225,sequential,1000,10.172916,10.12,0.6915168229771858,10.092,10.115,10.132,10.108,10.16,23.88,54
18831784,2353973,sequential,1000,10.246412,10.12,1.2308025809402778,10.092,10.116,10.132,10.108,10.276399999999999,35.316,106
19105696,2388212,sequential,1000,10.168508,10.12,0.5548883374184422,10.092,10.112,10.128,10.104,10.152,19.74,45
19383600,2422950,sequential,1000,10.218844,10.12,0.8542026491587519,10.096,10.112,10.132,10.104,10.333599999999999,25.008,92
19665536,2458192,sequential,1000,10.150024,10.12,0.44687507063244514,10.092,10.112,10.128,10.104,10.144,17.684,29
19951584,2493948,sequential,1000,10.265512,10.124,0.9621627216635235,10.096,10.116,10.136,10.108,10.600399999999999,24.636,145
20241784,2530223,sequential,1000,10.273824,10.124,0.9912002496766025,10.092,10.116,10.14,10.108,10.748399999999998,28.516,169
20536208,2567026,sequential,1000,10.30804,10.124,1.0411195475603714,10.092,10.116,10.14,10.108,10.7402,22.452,188
20834912,2604364,sequential,1000,10.31126,10.128,1.0834198535096995,10.096,10.12,10.264,10.108,10.828599999999998,33.408,118
21137968,2642246,sequential,1000,10.161376,10.12,0.5123503190918042,10.092,10.112,10.128,10.104,10.156,19.42,56
