size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
65536,8192,random,1000,14.13988,14.024,1.297191823990665,13.8,13.968,14.104,13.88,14.264,44.912,27
65760,8220,random,1000,14.233524,14.06,2.7809335160418063,13.756,13.98,14.152,13.864,14.2882,96.452,16
65992,8249,random,1000,14.39864,14.104,1.7811361330129498,13.916,14.056,14.168,13.996,15.668399999999998,38.332,88
66216,8277,random,1000,14.233784,14.132,1.1899359701080379,13.676,14.04,14.228,13.816,14.304,35.52,38
66448,8306,random,1000,14.1528,14.072,0.8233396773047101,13.872,14.008,14.152,13.924,14.332,30.296,24
66680,8335,random,1000,15.434016,14.892,3.2044729099142617,13.816,14.152,15.652999999999999,13.972,19.089399999999994,92.048,75
66912,8364,random,1000,14.203344,14.144,0.7852584851834157,13.94,14.068,14.216,14.0,14.296,30.968,13
67144,8393,random,1000,14.171144,14.102,0.8390642979892305,13.832,14.048,14.156,13.96,14.276,28.484,25
67376,8422,random,1000,14.30676,14.213999999999999,1.3261326276606524,14.0,14.144,14.276,14.056,14.3642,44.508,14
67608,8451,random,1000,14.230044,14.136,1.1653764457566165,13.88,14.064,14.228,14.004,14.3322,43.72,8
67840,8480,random,1000,14.558492,14.202,1.912216944695235,13.96,14.152,14.268,14.036,16.265199999999997,39.92,121
68080,8510,random,1000,14.248364,14.124,1.1765632088793565,13.88,14.04,14.228,13.952,14.412,37.376,26
68312,8539,random,1000,14.25704,14.18,1.0336131784195683,13.912,14.1,14.268,14.0158,14.3562,36.832,11
68552,8569,random,1000,14.329328,14.224,1.1632721360363096,13.972,14.14,14.276,14.02,14.416,33.656,26
68792,8599,random,1000,14.38454,14.3,0.9659646101322905,14.036,14.228,14.381,14.112,14.468,31.98,18
69032,8629,random,1000,14.545932,14.248,2.588144043318487,13.988,14.148,14.348,14.056,15.420399999999999,72.816,62
69272,8659,random,1000,14.365816,14.26,1.2162296941009179,14.036,14.164,14.352,14.1,14.4802,39.224,20
