size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,160.661112,157.228,10.099648197891705,147.22,154.571,163.508,151.6598,179.61739999999998,224.472,61
73182728,9147841,random,1000,159.402584,158.842,4.244340933632087,150.932,157.0,160.885,154.3656,166.688,220.128,51
79806336,9975792,random,1000,196.20058,194.974,5.447211877358622,186.368,193.414,197.223,191.22,205.52100000000002,264.756,80
87029424,10878678,random,1000,172.559388,171.22199999999998,6.324527760145009,163.316,168.933,174.089,165.995,183.60739999999998,243.76,66
94906264,11863283,random,1000,199.57952,198.108,5.2651901736941245,191.528,196.456,200.689,194.3632,209.72879999999998,259.56,106
103496016,12937002,random,1000,178.270244,177.614,4.272000836564947,168.364,176.02,179.578,173.604,185.4614,243.424,57
112863200,14107900,random,1000,180.949688,180.05599999999998,4.474039607006297,168.224,178.378,182.333,175.844,189.541,218.692,74
123078192,15384774,random,1000,200.459456,199.65800000000002,4.681037212140644,192.42,197.726,201.885,195.5834,208.0666,258.272,49
134217728,16777216,random,1000,205.325168,203.748,12.802434655051863,190.86,201.583,207.22699999999998,196.5626,216.17299999999997,556.464,60
146365464,18295683,random,1000,190.031356,189.276,4.497951491165827,181.28,187.599,191.094,185.3076,198.57000000000002,246.092,76
159612672,19951584,random,1000,193.41924,191.332,6.675816164624657,182.796,189.392,195.89499999999998,187.0472,204.024,260.264,39
174058856,21757357,random,1000,195.866456,194.128,6.251711720441011,186.032,191.763,199.278,189.39159999999998,205.0002,264.416,23
189812528,23726566,random,1000,197.981788,196.58800000000002,13.082699104195084,188.64,194.314,199.829,191.8708,206.937,579.996,40
206992032,25874004,random,1000,209.297284,208.364,5.033367467949405,200.868,206.847,210.256,204.6274,217.7304,302.924,85
225726408,28215801,random,1000,197.791184,197.13400000000001,3.6470509284377455,190.768,195.66899999999998,198.84900000000002,193.7594,205.501,243.232,74
246156392,30769549,random,1000,200.95088,200.066,4.646102144673397,193.404,198.37,202.33,196.1718,209.2544,256.228,61
268435456,33554432,random,1000,205.80608,205.96800000000002,6.791815022871641,194.32,200.284,209.922,197.3478,215.64600000000002,294.468,8
