stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
64,1024,65536,4096,random,1000,17.239424,17.14,0.8419596690509044,17.068,17.12,17.16,17.104,17.3562,34.032,169
65,1008,65536,4096,random,1000,51.077576,18.432,1029.0942646346427,18.348,18.412,18.46,18.388,18.7284,32561.344,205
66,992,65536,4096,random,1000,50.953144,18.316,1029.1851663018756,18.208,18.288,18.348,18.2438,18.5842,32564.092,174
67,978,65536,4096,random,1000,18.676736,18.588,0.6824875438801441,18.488,18.556,18.628,18.516,18.8562,29.072,138
68,963,65536,4096,random,1000,50.585932,17.952,1029.1657478865075,17.864,17.928,17.98,17.904,18.2002,32563.112,171
69,949,65536,4096,random,1000,18.672228,18.576,0.7710273141303979,18.212,18.548,18.616,18.512,18.876,32.636,143
70,936,65536,4096,random,1000,18.495308,18.392,0.7549306414561602,18.264,18.356,18.448,18.316,18.704,28.544,98
71,923,65536,4096,random,1000,51.144788,18.496,1029.3163330372272,18.336,18.468,18.557000000000002,18.432,18.8162,32568.428,102
72,910,65536,4096,random,1000,17.228464,17.144,0.6946918377622221,17.072,17.12,17.168,17.096,17.3562,26.696,164
73,897,65536,4096,random,1000,51.141452,18.508,1029.2253798157665,18.36,18.472,18.56,18.416,18.8082,32565.552,89
74,885,65536,4096,random,1000,50.982748,18.344,1028.3811784352883,18.136,18.312,18.397,18.276,18.668,32538.712,117
75,873,65536,4096,random,1000,18.5977,18.508,0.7386278149711457,18.376,18.468,18.552,18.42,18.788,29.236,98
76,862,65536,4096,random,1000,50.568328,17.948,1028.9540676590127,17.828,17.9,18.012,17.856,18.2242,32556.408,65
77,851,65536,4096,random,1000,51.147976,18.516,1029.1783728475762,18.364,18.46,18.592,18.4,18.788,32564.072,48
78,840,65536,4096,random,1000,18.500976,18.364,1.0112541056976185,18.232,18.328,18.456,18.272,18.708199999999998,32.012,65
79,829,65536,4096,random,1000,51.189576,18.544,1028.8842549148976,18.42,18.508,18.616,18.472,18.8482,32554.82,78
80,819,65536,4096,random,1000,49.76522,17.144,1029.3081878592095,17.064,17.12,17.172,17.088,17.3524,32566.792,160
81,809,65536,4096,random,1000,18.611204,18.52,0.6691610440595648,18.372,18.476,18.604,18.424,18.836,28.236,64
82,799,65536,4096,random,1000,50.920992,18.284,1029.1734004395198,18.004,18.244,18.336,18.208,18.544,32563.688,89
83,789,65536,4096,random,1000,51.202676000000004,18.572,1028.678876184382,18.28,18.528,18.648,18.48,18.8482,32548.344,59
84,780,65536,4096,random,1000,17.970112,17.892,0.750302422481216,17.528,17.844,17.944,17.776,18.14,29.032,63
85,771,65536,4096,random,1000,51.167632,18.532,1028.3057022601233,18.392,18.492,18.596,18.448,18.8162,32536.512,80
86,762,65536,4096,random,1000,18.389556,18.304,0.7056347123060283,18.16,18.24,18.388,18.192,18.580199999999998,28.652,34
87,753,65536,4096,random,1000,18.635972,18.556,0.7265445521110196,18.38,18.496,18.608,18.432,18.824,27.48,70
88,744,65536,4096,random,1000,49.755132,17.142,1029.1568271539709,16.9,17.116,17.168,17.084,17.328,32562.0,161
89,736,65536,4096,random,1000,18.562648,18.464,0.7805381245396408,18.348,18.436,18.508,18.384,18.756,29.828,134
90,728,65536,4096,random,1000,50.383896,17.76,1029.159100212613,17.504,17.688,17.864,17.616,18.056,32562.7,29
91,720,65536,4096,random,1000,51.418028,18.824,1029.0620608289923,18.496,18.704,18.92,18.564,19.1,32560.668,23
92,712,65536,4096,random,1000,18.026128,17.94,0.6983290220512384,17.82,17.884,18.016,17.848,18.192,27.312,43
93,704,65536,4096,random,1000,51.098236,18.484,1028.4437533246282,18.148,18.427,18.528,18.368,18.704,32540.804,89
94,697,65536,4096,random,1000,51.033612,18.4,1028.4949239811544,18.048,18.352,18.46,18.3078,18.728,32542.36,77
95,689,65536,4096,random,1000,18.633368,18.54,0.7302209797419239,18.42,18.512,18.576,18.4758,18.8004,28.288,157
96,682,65536,4096,random,1000,49.73484,17.124,1029.1898942834123,16.508,17.096,17.157,16.992,17.3122,32563.024,185
97,675,65536,4096,random,1000,51.15788,18.532,1029.1805859174215,18.164,18.496,18.568,18.4318,18.816,32564.152,142
98,668,65536,4096,random,1000,18.22992,18.144,0.7586675807612304,17.62,18.092,18.22,18.016,18.400199999999998,28.836,49
99,661,65536,4096,random,1000,51.040768,18.42,1028.5921790194627,18.132,18.352,18.484,18.268,18.668,32545.44,50
100,655,65536,4096,random,1000,16.718728,16.644,0.6753578445788826,16.48,16.588,16.708,16.528,16.9168,26.432,60
101,648,65536,4096,random,1000,51.168692,18.56,1029.1078859527465,18.232,18.472,18.652,18.38,18.868399999999998,32561.868,39
102,642,65536,4096,random,1000,50.950356,18.344,1029.0388201959183,18.212,18.3,18.384,18.26,18.564,32559.468,87
103,636,65536,4096,random,1000,17.518008000000002,17.424,0.7297489249251619,17.2,17.392,17.48,17.356,17.6846,27.492,94
104,630,65536,4096,random,1000,48.699096000000004,15.904,1029.2510105026759,15.768,15.868,16.056,15.82,17.032,32563.916,186
105,624,65536,4096,random,1000,51.425372,18.796,1028.6611939737638,18.608,18.748,18.884,18.68,19.0882,32548.008,50
106,618,65536,4096,random,1000,18.446152,18.384,0.7336963617514041,18.132,18.296,18.456,18.188,18.6242,27.664,28
107,612,65536,4096,random,1000,50.949736,18.36,1029.1370996497512,17.968,18.28,18.424,18.168,18.5922,32562.572,46
108,606,65536,4096,random,1000,17.377308,17.316,0.6632387313409485,16.716,17.268,17.352,17.212,17.5,27.056,65
109,601,65536,4096,random,1000,18.35516,18.264,0.7813594467240956,18.004,18.164,18.401,18.072,18.556,29.368,17
110,595,65536,4096,random,1000,50.9089,18.296,1028.525988209463,17.984,18.256,18.36,18.1558,18.54,32543.22,82
111,590,65536,4096,random,1000,17.768552,17.692,0.7669422662337341,17.504,17.62,17.756,17.5518,17.9482,28.132,44
112,585,65536,4096,random,1000,49.578552,16.984,1029.1497359755897,16.424,16.924,17.036,16.844,17.164,32561.6,36
113,579,65536,4096,random,1000,48.879688,16.24,1028.4806069457363,16.076,16.196,16.304,16.148,16.5362,32539.752,75
114,574,65536,4096,random,1000,17.97968,17.912,0.6935880520784553,16.872,17.86,17.968,17.752,18.164,27.032,89
115,569,65536,4096,random,1000,51.114568,18.5,1028.8200623685025,18.316,18.46,18.552,18.408,18.7562,32552.72,75
116,564,65536,4096,random,1000,17.936348,17.866,0.6959697096373755,17.648,17.816,17.932,17.748,18.056,26.936,38
