stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
64,1024,65536,4096,random,1000,17.247388,17.136,0.9585953987969036,17.052,17.116,17.164,17.092,17.368,33.552,185
65,1008,65536,4096,random,1000,51.090312,18.452,1029.2420766884068,18.34,18.424,18.5,18.392,18.7442,32566.028,141
66,992,65536,4096,random,1000,50.914204,18.272,1028.9638209316597,18.204,18.252,18.308,18.228,18.5762,32557.06,196
67,978,65536,4096,random,1000,18.659,18.556,0.7850907358155894,18.468,18.528,18.596,18.5,18.793400000000002,28.536,137
68,963,65536,4096,random,1000,50.578804,17.94,1029.1390075599832,17.864,17.92,17.976,17.892,18.2442,32562.26,194
69,949,65536,4096,random,1000,51.257872,18.62,1028.8347603750467,18.24,18.58,18.676,18.54,18.8922,32553.324,75
70,936,65536,4096,random,1000,18.487736,18.4,0.707453781640297,18.288,18.364,18.452,18.324,18.676,27.756,87
71,923,65536,4096,random,1000,51.160084,18.522,1028.7754551437215,18.232,18.484,18.585,18.444,18.7682,32551.352,66
72,910,65536,4096,random,1000,17.231388,17.148,0.6963002538413292,17.088,17.128,17.164,17.108,17.3402,26.044,136
73,897,65536,4096,random,1000,18.6016,18.512,0.6932762508264364,18.38,18.476,18.564,18.432,18.78,28.252,93
74,885,65536,4096,random,1000,50.949156,18.317999999999998,1028.9730862444862,18.216,18.292,18.356,18.256,18.536,32557.388,141
75,873,65536,4096,random,1000,18.593392,18.52,0.6870817824041849,18.2,18.475,18.572,18.424,18.74,28.028,62
76,862,65536,4096,random,1000,18.060144,17.964,0.7512246839593264,17.832,17.924,18.032,17.88,18.2366,28.26,63
77,851,65536,4096,random,1000,51.190208,18.56,1029.267592511751,18.34,18.484,18.648,18.4,18.8562,32566.932,40
78,840,65536,4096,random,1000,18.47628,18.368,0.8358676284509959,18.248,18.336,18.416,18.2878,18.6404,28.756,110
79,829,65536,4096,random,1000,18.647452,18.548,0.7229218018759895,18.44,18.508,18.624,18.476,18.8442,28.416,73
80,819,65536,4096,random,1000,49.776476,17.148,1029.0955343033768,17.02,17.12,17.192,17.084,17.4086,32560.084,127
81,809,65536,4096,random,1000,18.600296,18.5,0.7710208203994815,18.388,18.468,18.56,18.424,18.76,30.604,79
82,799,65536,4096,random,1000,50.919416,18.288,1028.5920346239234,17.94,18.244,18.356,18.2038,18.604,32545.316,85
83,789,65536,4096,random,1000,51.224344,18.592,1029.2139529318904,18.304,18.54,18.661,18.484,18.8562,32565.272,55
84,780,65536,4096,random,1000,17.682156,17.598,0.7305204088399802,17.424,17.52,17.672,17.472,17.9164,27.372,55
85,771,65536,4096,random,1000,51.165032000000004,18.532,1028.9851287859847,18.396,18.492,18.589,18.448,18.852,32557.984,92
86,762,65536,4096,random,1000,50.99112,18.358,1029.1352397526607,18.164,18.288,18.453000000000003,18.228,18.64,32562.552,36
87,753,65536,4096,random,1000,18.64228,18.556,0.6993005525972812,18.396,18.504,18.628,18.448,18.84,28.464,64
88,744,65536,4096,random,1000,49.703852,17.104,1029.0418815505436,16.724,17.064,17.148,16.924,17.3002,32558.316,132
89,736,65536,4096,random,1000,18.37512,18.292,0.7406958782010226,18.14,18.24,18.336,18.188,18.5402,28.856,88
90,728,65536,4096,random,1000,17.933144,17.756,0.8737322537913519,17.496,17.668,17.885,17.584,18.508,29.052,171
