stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
64,1024,65536,4096,sequential,1000,14.929764,14.832,0.9565879681685553,14.636,14.764,14.932,14.696,15.128,32.412,23
65,1008,65536,4096,sequential,1000,49.129096000000004,16.496,1028.4812776623933,16.236,16.42,16.608,16.356,16.76,32540.008,16
66,992,65536,4096,sequential,1000,16.342904,16.268,0.6954458337582387,16.084,16.22,16.34,16.148,16.464,26.152,29
67,978,65536,4096,sequential,1000,48.986336,16.38,1028.5020247547106,16.212,16.332,16.445,16.276,16.6162,32540.544,51
68,963,65536,4096,sequential,1000,48.32524,15.724,1028.5473631114758,15.572,15.684,15.788,15.636,15.924,32541.316,42
69,949,65536,4096,sequential,1000,16.459352,16.384,0.7492307941341432,16.252,16.348,16.424,16.308,16.5364,26.456,50
70,936,65536,4096,sequential,1000,48.865207999999996,16.26,1028.5754295841627,16.136,16.224,16.356,16.188,16.4722,32542.744,28
71,923,65536,4096,sequential,1000,16.529696,16.456,0.7306982547697262,16.352,16.432,16.48,16.4,16.5962,27.712,80
72,910,65536,4096,sequential,1000,47.484976,14.828,1028.5595141340743,14.644,14.76,15.016,14.692,15.3482,32540.86,29
73,897,65536,4096,sequential,1000,16.627072,16.552,0.7224858896038571,16.424,16.516,16.592,16.468,16.744,27.46,65
74,885,65536,4096,sequential,1000,16.337588,16.26,0.6812235049671435,16.12,16.224,16.312,16.184,16.4682,26.548,60
75,873,65536,4096,sequential,1000,49.025036,16.412,1028.665107160086,16.26,16.376,16.476,16.336,16.652,32545.736,73
76,862,65536,4096,sequential,1000,15.887468,15.812,0.7588816523927419,15.656,15.776,15.856,15.728,15.9642,26.384,45
77,851,65536,4096,sequential,1000,49.13562,16.508,1028.417981228871,16.324,16.447,16.656,16.392,16.792,32538.036,13
78,840,65536,4096,sequential,1000,16.370912,16.296,0.692428723980883,16.184,16.26,16.332,16.2238,16.496199999999998,25.128,85
79,829,65536,4096,sequential,1000,49.124364,16.492,1028.5021683345662,16.368,16.452,16.644,16.412,16.8122,32540.688,24
80,819,65536,4096,sequential,1000,47.528204,14.888,1028.5385177765024,14.664,14.816,15.004,14.7318,15.412,32540.24,118
81,809,65536,4096,sequential,1000,16.516204000000002,16.428,0.6787674680328011,16.3,16.4,16.468,16.368,16.716,25.908,145
82,799,65536,4096,sequential,1000,48.83234,16.188,1028.6282132771248,16.096,16.16,16.26,16.128,16.536,32544.376,165
83,789,65536,4096,sequential,1000,16.544816,16.448,0.7628016468889514,16.32,16.42,16.48,16.384,16.7762,27.316,152
84,780,65536,4096,sequential,1000,48.377868,15.748,1028.8857652358186,15.464,15.656,15.928,15.536,16.176,32552.06,13
85,771,65536,4096,sequential,1000,16.607648,16.516,0.7107242144496028,16.332,16.467,16.576999999999998,16.4,16.9282,26.98,107
86,762,65536,4096,sequential,1000,16.3905,16.28,0.6866318819726778,16.124,16.232,16.36,16.18,16.7444,26.228,144
87,753,65536,4096,sequential,1000,49.210668,16.576,1028.626046720775,16.42,16.54,16.645,16.496,16.944,32544.688,184
88,744,65536,4096,sequential,1000,14.950664,14.84,0.6904188274238046,14.68,14.792,14.916,14.736,15.4002,25.488,119
89,736,65536,4096,sequential,1000,48.627212,16.044,1028.5659199100637,15.72,15.951,16.133000000000003,15.82,16.32,32542.204,31
90,728,65536,4096,sequential,1000,16.232548,16.164,0.7567128345746555,15.888,16.076,16.248,15.988,16.428,27.388,24
91,720,65536,4096,sequential,1000,48.98552,16.328,1028.4523938393431,16.14,16.264,16.596,16.2,16.8082,32538.976,9
92,712,65536,4096,sequential,1000,15.80716,15.732,0.6945848706547981,15.564,15.692,15.776,15.652,15.9162,25.712,58
93,704,65536,4096,sequential,1000,16.620864,16.516,0.7062010970633602,16.384,16.476,16.564,16.432,17.028,26.972,141
94,697,65536,4096,sequential,1000,48.992204,16.305999999999997,1028.7668402329546,16.18,16.268,16.38,16.232,17.004,32548.916,174
95,689,65536,4096,sequential,1000,16.776364,16.692,0.7049612456453631,16.46,16.636,16.764,16.556,17.0602,27.8,72
96,682,65536,4096,sequential,1000,47.634244,14.792,1028.5324177104453,14.588,14.72,15.642,14.66,15.9964,32540.148,7
97,675,65536,4096,sequential,1000,16.657756,16.52,0.8577872343439271,16.356,16.468,16.592,16.404,17.16,27.516,115
98,668,65536,4096,sequential,1000,49.0482,16.356,1028.5074289453178,15.996,16.24,16.748,16.112,16.948,32540.772,9
99,661,65536,4096,sequential,1000,49.129808000000004,16.496,1028.8286078369686,16.356,16.46,16.552,16.4118,16.876,32551.004,123
100,655,65536,4096,sequential,1000,15.978996,15.905999999999999,0.9006427334505716,14.808,15.508,16.364,15.1198,16.6922,29.784,7
101,648,65536,4096,sequential,1000,49.162632,16.508,1028.701544819298,16.364,16.456,16.601,16.416,17.0082,32547.024,171
102,642,65536,4096,sequential,1000,16.368532,16.248,0.7373936984016356,16.12,16.208,16.312,16.164,16.9802,25.56,93
103,636,65536,4096,sequential,1000,49.340856,16.62,1028.7027432077582,16.428,16.568,17.085,16.512,17.276,32547.24,8
104,630,65536,4096,sequential,1000,14.991748,14.9,0.7848728673574555,14.696,14.84,14.96,14.772,15.148,27.876,53
105,624,65536,4096,sequential,1000,49.409943999999996,16.748,1028.6906085832534,16.236,16.632,16.872,16.404,17.548199999999998,32546.924,169
