footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,4096,8,4096,0,sequential,1000,15.201702,14.96,2.3204177217905397,14.055,14.925,14.99,14.105,15.04525,52.733,204
36776,4597,8,4096,0,sequential,1000,13.938975,14.05,1.6006191477147307,13.285,13.345,14.07,13.305,14.115,43.715,8
41280,5160,8,4096,0,sequential,1000,12.835215,12.655,1.3530363950246356,12.61,12.645,12.67,12.635,13.32,37.42,127
46336,5792,8,4096,0,sequential,1000,12.129844,12.056,0.8149057461075109,12.008,12.044,12.072,12.028,12.1,24.616,27
52016,6502,8,4096,0,sequential,1000,11.600105,11.504,1.0204058555717352,11.47,11.496,11.516,11.484,12.036,37.207,76
58384,7298,8,4096,0,sequential,1000,11.062032,11.004,0.7794345008511729,10.964,10.996,11.016,10.984,11.036,23.88,20
65536,8192,8,4096,0,sequential,1000,10.594618,10.546,0.6744700749165659,10.508,10.538,10.554,10.529,10.571,23.05,38
73560,9195,8,4096,0,sequential,1000,10.224141,10.128,0.9862760869242643,10.092,10.116,10.14,10.108,10.55,35.225,91
82568,10321,8,4096,0,sequential,1000,10.171035999999999,10.124,0.6784848564296807,10.092,10.116,10.136,10.108,10.152,22.176,16
92680,11585,8,4096,0,sequential,1000,10.275231999999999,10.124,2.915958356237501,10.088,10.116,10.132,10.108,10.16,98.3,66
104032,13004,8,4096,0,sequential,1000,10.195244,10.12,1.0341620490076049,10.088,10.112,10.128,10.108,10.14,29.74,21
116768,14596,8,4096,0,sequential,1000,10.231892,10.12,1.3777659842815988,10.088,10.112,10.128,10.104,10.1442,34.808,26
131072,16384,8,4096,0,sequential,1000,10.157516,10.12,0.5704789531437422,10.092,10.116,10.128,10.108,10.144,22.54,45
147120,18390,8,4096,0,sequential,1000,10.155428,10.12,0.5305702985068592,10.088,10.116,10.128,10.104,10.144,20.7,54
165136,20642,8,4096,0,sequential,1000,10.17636,10.12,0.8335928571259783,10.092,10.112,10.128,10.104,10.148,29.196,23
185360,23170,8,4096,0,sequential,1000,10.169599999999999,10.124,0.675858506435127,10.092,10.116,10.132,10.104,10.152,23.836,37
208064,26008,8,4096,0,sequential,1000,10.172976,10.12,0.8207097049772495,10.084,10.116,10.128,10.108,10.144,28.768,60
233544,29193,8,4096,0,sequential,1000,10.200084,10.124,0.971052398021705,10.092,10.116,10.132,10.108,10.16,29.284,76
262144,32768,8,4096,0,sequential,1000,10.168808,10.12,0.6735016017379198,10.088,10.116,10.132,10.104,10.152,21.504,43
294240,36780,8,4096,0,sequential,1000,10.190392,10.12,0.896985608311258,10.092,10.112,10.128,10.104,10.16,26.276,62
330280,41285,8,4096,0,sequential,1000,10.182532,10.124,0.8917632772875986,10.084,10.116,10.136,10.108,10.164,31.1,45
370728,46341,8,4096,0,sequential,1000,10.1699,10.124,0.6497866270251033,10.092,10.116,10.136,10.108,10.156,21.96,25
416128,52016,8,4096,0,sequential,1000,10.16784,10.12,0.666655740451004,10.088,10.116,10.128,10.104,10.152,21.324,76
467088,58386,8,4096,0,sequential,1000,10.167268,10.12,0.6501498404144932,10.08,10.112,10.132,10.104,10.152199999999999,20.944,28
524288,65536,8,4096,0,sequential,1000,10.16922,10.12,0.6814550290052577,10.092,10.116,10.132,10.104,10.152,23.672,46
588488,73561,8,4096,0,sequential,1000,10.17038,10.124,0.6655483590380327,10.092,10.116,10.136,10.107800000000001,10.156,22.112,26
660560,82570,8,4096,0,sequential,1000,10.174844,10.124,0.7447793982220614,10.088,10.116,10.132,10.104,10.156,25.82,52
741448,92681,8,4096,0,sequential,1000,10.178124,10.124,0.7225876206339916,10.088,10.116,10.136,10.104,10.16,23.976,37
832248,104031,8,4096,0,sequential,1000,10.170632,10.124,0.6785581019144004,10.088,10.116,10.136,10.104,10.152,23.012,22
934168,116771,8,4096,0,sequential,1000,10.212552,10.124,1.6133204027774575,10.092,10.116,10.136,10.108,10.16,55.256,31
1048576,131072,8,4096,0,sequential,1000,10.167632,10.12,0.6760511561573885,10.088,10.112,10.128,10.104,10.148,22.952,32
