footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32760,455,72,4096,8,random,1000,15.876175,15.255,4.324229648900649,14.385,14.49,15.31,14.425,22.42,110.545,90
36720,510,72,4096,8,random,1000,14.225435,13.795,2.1578417149183213,13.695,13.775,14.53,13.735,14.565,64.88,13
41256,573,72,4096,8,random,1000,20.287907,20.41,1.4424869638897926,19.24,19.548,20.49,19.3998,20.57,45.263,17
46296,643,72,4096,8,random,1000,19.683753,19.454,1.6223774914352442,18.54,19.428,19.496,18.644,20.396,45.491,234
51984,722,72,4096,8,random,1000,18.406477,18.548,1.39709349139372,17.754,17.82,18.6,17.783,18.648,43.753,12
58320,810,72,4096,8,random,1000,17.406529,17.108,1.351636646730098,17.028,17.084,17.775,17.064,17.908,41.196,11
65520,910,72,4096,8,random,1000,17.234996,17.14,1.0065168394677417,17.064,17.12,17.16,17.088,17.184,35.66,15
73512,1021,72,4096,8,random,1000,17.295032,17.18,1.3711112577238425,17.128,17.164,17.204,17.148,17.236,51.252,19
82512,1146,72,4096,8,random,1000,17.61602,17.164,1.7363733423385606,17.088,17.14,17.208,17.108,20.4578,41.36,129
92664,1287,72,4096,8,random,1000,17.26078,17.164,1.0330356403504355,17.088,17.144,17.184,17.116,17.216,35.728,22
103968,1444,72,4096,8,random,1000,17.26532,17.152,1.1120126103806762,17.104,17.14,17.172,17.12,17.196,33.804,23
116712,1621,72,4096,8,random,1000,21.392696,21.316,1.422897075572113,18.48,20.876,21.749000000000002,20.416,22.056,35.892,45
131040,1820,72,4096,8,random,1000,17.279848,17.164,1.0779020037209437,17.116,17.148,17.184,17.124,17.216,31.744,24
147096,2043,72,4096,8,random,1000,17.35892,17.176,1.3851172164489558,17.088,17.148,17.2,17.116,17.396,35.68,126
165096,2293,72,4096,8,random,1000,17.7575,17.212,3.3735948820847517,17.112,17.18,17.26,17.14,17.5368,57.112,86
185328,2574,72,4096,8,random,1000,21.980384,21.812,1.3056602043078105,20.188,21.564,22.125,21.2756,22.4604,35.636,36
208008,2889,72,4096,8,random,1000,21.340604,20.776,3.685887391802556,19.512,20.6,20.961,20.3036,21.3762,86.672,54
233496,3243,72,4096,8,random,1000,21.623064,21.04,3.5984048634729064,18.68,20.836,21.208,20.416,21.520999999999997,51.572,64
262080,3640,72,4096,8,random,1000,27.041376,26.266,3.61233250916645,23.264,25.9,26.788,25.3678,32.07079999999999,56.244,74
294192,4086,72,4096,8,random,1000,35.921992,35.31,2.899066433547552,34.096,35.084,35.564,34.58,39.64419999999996,70.404,104
330264,4587,72,4096,8,random,1000,43.610812,43.228,2.084254041993818,41.796,42.819,43.701,42.148,46.5708,63.296,80
370728,5149,72,4096,8,random,1000,48.002912,47.872,1.4789231372528804,46.716,47.564,48.113,47.012,48.4882,70.42,30
416088,5779,72,4096,8,random,1000,49.846356,49.604,1.468644116457355,48.8,49.328,49.912,49.124,50.5004,65.284,36
467064,6487,72,4096,8,random,1000,52.454584,52.233999999999995,1.468398053590302,51.624,52.007000000000005,52.504,51.7718,52.812,69.952,24
524232,7281,72,4096,8,random,1000,53.170756,52.916,2.0492676658822364,52.308,52.736,53.1,52.54,53.4204,98.192,26
588456,8173,72,4096,8,random,1000,53.641864,53.416,1.4886075526981413,52.812,53.22,53.588,53.0398,54.0604,68.124,30
660528,9174,72,4096,8,random,1000,53.9968,53.828,1.297892487422941,53.12,53.676,53.964,53.4158,54.224199999999996,68.956,34
741384,10297,72,4096,8,random,1000,54.50874,54.316,1.6441001154399295,53.584,54.039,54.464,53.8156,54.676,69.972,31
832248,11559,72,4096,8,random,1000,54.7179,54.477999999999994,1.7959911999757654,53.896,54.296,54.653,54.048,54.832,73.192,26
934128,12974,72,4096,8,random,1000,55.024456,54.836,1.8062242690690917,54.232,54.612,54.976,54.38,55.224199999999996,93.78,24
1048536,14563,72,4096,8,random,1000,55.213332,54.96,1.4537973643367745,54.424,54.788,55.232,54.592,55.588,69.52,24
