footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3932160,491520,8,4096,0,random,1000,50.504956,50.316,1.4601354655105263,48.9,50.048,50.588,49.7038,51.0082,69.568,26
4413696,551712,8,4096,0,random,1000,47.547148,47.34,2.026602226061809,46.352,47.088,47.572,46.744,47.9964,95.28,26
4954208,619276,8,4096,0,random,1000,48.512916,48.316,1.776670853102584,47.108,48.076,48.564,47.6958,48.956,88.196,25
5560912,695114,8,4096,0,random,1000,49.400876,49.232,1.302098437509609,48.268,49.004,49.477,48.632,49.828,59.5,24
6241912,780239,8,4096,0,random,1000,50.289948,50.096,1.454266729667229,48.94,49.864,50.349,49.4918,50.7404,69.652,30
7006312,875789,8,4096,0,random,1000,48.744368,48.496,2.041278288138495,47.564,48.263000000000005,48.712,47.916,49.1082,88.952,32
7864320,983040,8,4096,0,random,1000,49.670848,49.436,1.629721942696516,48.36,49.203,49.656,48.8798,50.0722,65.24,40
8827400,1103425,8,4096,0,random,1000,48.509972,48.358000000000004,1.171000246282123,47.36,48.144,48.564,47.8594,48.94,62.1,29
9908416,1238552,8,4096,0,random,1000,49.417124,49.284,1.089575156951849,48.268,49.047,49.488,48.756,49.848,59.596,22
11121824,1390228,8,4096,0,random,1000,48.835612,48.636,1.3979519158451106,47.84,48.436,48.84,48.184,49.1922,62.316,31
12483824,1560478,8,4096,0,random,1000,49.755392,49.522000000000006,2.922323418874184,48.456,49.315,49.74,49.036,50.0924,135.176,25
14012624,1751578,8,4096,0,random,1000,49.310008,49.164,1.1848258083499583,48.24,48.96,49.352,48.6798,49.6642,59.08,30
15728640,1966080,8,4096,0,random,1000,49.166344,48.948,2.334582826682026,48.12,48.74,49.144,48.4478,49.428399999999996,110.668,25
17654800,2206850,8,4096,0,random,1000,49.032928,48.88,1.2250066988503485,47.892,48.688,49.065,48.3598,49.4202,59.752,30
19816840,2477105,8,4096,0,random,1000,49.0739,48.916,1.175449670521,47.952,48.728,49.116,48.464,49.4322,59.288,27
22243656,2780457,8,4096,0,random,1000,49.30184,49.141999999999996,1.1053844476819714,48.236,48.939,49.364,48.6718,49.7602,58.208,32
24967656,3120957,8,4096,0,random,1000,49.572284,49.388,1.2908414988367547,48.456,49.164,49.620999999999995,48.864,50.1162,60.404,34
28025248,3503156,8,4096,0,random,1000,52.048256,51.834,1.537146051762307,49.564,51.291,52.433,50.548,53.7416,67.408,34
31457280,3932160,8,4096,0,random,1000,54.900724,54.608,2.1760000671222683,50.988,53.892,55.521,52.804,57.004999999999995,95.884,26
35309600,4413700,8,4096,0,random,1000,74.621848,74.41,2.756740093813858,67.436,72.924,75.85300000000001,71.0348,78.8706,89.488,37
39633688,4954211,8,4096,0,random,1000,93.86878,93.73599999999999,3.0972086240453454,85.024,91.828,95.418,89.6036,98.53059999999999,109.692,33
44487312,5560914,8,4096,0,random,1000,108.230212,108.01400000000001,3.2765647265792666,98.736,106.178,109.83,103.266,114.0138,127.024,36
49935312,6241914,8,4096,0,random,1000,121.73558799999999,121.338,3.743839670409743,112.836,119.266,123.545,116.7256,128.66479999999999,145.624,37
56050496,7006312,8,4096,0,random,1000,127.308208,127.062,3.3513960512342056,117.136,124.949,129.264,122.2582,133.1482,140.764,23
62914560,7864320,8,4096,0,random,1000,136.74228,136.248,4.413846624841832,127.204,134.218,138.36100000000002,131.56279999999998,143.3328,193.448,38
70619200,8827400,8,4096,0,random,1000,145.164496,144.908,3.655937833638234,135.084,142.75,146.972,140.3152,151.578,169.704,35
79267376,9908422,8,4096,0,random,1000,158.360928,157.02800000000002,6.840346471244176,143.708,152.954,163.214,149.61540000000002,169.4562,187.764,12
88974624,11121828,8,4096,0,random,1000,159.64018,159.26999999999998,3.4354699296074815,149.04,157.42,161.336,155.0106,166.12120000000002,178.808,37
99870632,12483829,8,4096,0,random,1000,166.219908,165.852,3.5349703374742516,156.036,164.016,167.83800000000002,161.2918,173.1204,181.856,47
112101000,14012625,8,4096,0,random,1000,171.541976,171.316,3.4543000118686846,163.216,169.399,173.03,166.8146,177.4956,215.436,38
125829120,15728640,8,4096,0,random,1000,176.891532,176.23,9.109261140811997,169.036,174.5,178.246,172.0378,182.9332,443.296,41
