stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,1966080,62914560,4096,random,1000,190.757916,190.248,3.3779431559617614,182.652,188.792,191.866,186.6714,197.88639999999998,215.808,65
33,1906501,62914560,4096,random,1000,199.980876,199.334,4.885703391964995,185.948,197.074,202.756,192.3748,209.0044,225.744,30
34,1850428,62914560,4096,random,1000,194.820184,194.37400000000002,3.1781644197906473,186.908,192.899,196.207,190.648,201.2826,214.36,55
35,1797558,62914560,4096,random,1000,196.596996,195.956,3.529425071781709,188.568,194.57500000000002,197.657,192.4476,204.3514,215.968,75
36,1747626,62914560,4096,random,1000,198.80572,198.112,4.824405770313753,186.7,196.05,200.306,193.0952,207.04420000000002,250.372,58
37,1700393,62914560,4096,random,1000,196.832648,196.19799999999998,3.792837504089574,188.784,194.656,197.926,192.5512,204.24419999999998,223.036,71
38,1655646,62914560,4096,random,1000,199.93292,199.218,5.279950979691757,189.468,195.773,203.59300000000002,192.90359999999998,209.5978,219.176,4
39,1613193,62914560,4096,random,1000,196.427496,195.882,3.389916565389819,187.78,194.34199999999998,197.616,192.2398,203.5454,214.664,69
40,1572864,62914560,4096,random,1000,191.561232,191.116,3.3593541758282432,183.632,189.584,192.711,187.46,198.333,217.42,70
41,1534501,62914560,4096,random,1000,202.62724,202.312,5.600119043350748,190.232,199.119,205.094,194.9316,212.29119999999998,244.852,33
42,1497965,62914560,4096,random,1000,196.10006,195.57,3.2894721034109895,187.52,194.09699999999998,197.368,191.8744,203.5666,214.192,76
43,1463129,62914560,4096,random,1000,201.006916,200.316,3.769872812438898,194.048,198.899,201.968,197.1198,208.109,255.412,77
44,1429876,62914560,4096,random,1000,198.845308,198.62400000000002,4.859069771075136,185.872,195.423,201.77,191.6038,207.1154,218.268,16
45,1398101,62914560,4096,random,1000,200.431152,199.48000000000002,4.764869297296235,191.88,197.23499999999999,202.67,194.70759999999999,208.48420000000002,234.896,33
46,1367707,62914560,4096,random,1000,198.738704,198.034,4.025285877895231,191.252,196.583,199.737,194.4758,206.29,255.004,78
47,1338607,62914560,4096,random,1000,201.55818,200.04,5.18354986672462,192.808,198.06,204.006,195.75140000000002,212.0416,228.36,44
48,1310720,62914560,4096,random,1000,194.6326,194.11599999999999,3.3454021455597105,186.484,192.566,195.949,190.20340000000002,201.4728,209.568,59
49,1283970,62914560,4096,random,1000,199.78488,199.358,2.9833822126953544,191.6,197.942,200.921,195.8546,206.13219999999998,216.932,60
