stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,1966080,62914560,4096,random,1000,190.835364,190.296,3.3304465426842804,182.672,188.839,192.049,186.551,198.0338,209.348,68
33,1906501,62914560,4096,random,1000,198.951304,198.528,3.2253849481337338,190.488,196.974,200.12,195.0154,205.18959999999998,224.912,56
34,1850428,62914560,4096,random,1000,194.236884,193.79000000000002,3.213444555061197,186.44,192.296,195.37400000000002,190.1318,200.722,215.564,70
35,1797558,62914560,4096,random,1000,195.796764,195.336,3.2856949181869273,188.356,193.74699999999999,197.015,191.4066,202.75119999999998,211.988,60
36,1747626,62914560,4096,random,1000,193.337216,192.534,4.107608919600353,184.552,190.777,194.793,188.1478,201.2212,220.456,60
37,1700393,62914560,4096,random,1000,195.870608,195.364,3.3840226677361,188.276,193.804,197.082,191.67499999999998,202.96959999999999,218.168,68
38,1655646,62914560,4096,random,1000,196.984032,196.446,3.4601005174079216,188.76,194.807,198.504,192.372,203.4884,221.952,43
39,1613193,62914560,4096,random,1000,198.627656,198.158,4.5727932872711525,188.748,195.748,200.735,192.55460000000002,205.3664,228.316,38
40,1572864,62914560,4096,random,1000,190.367348,189.956,3.0943875454081664,183.332,188.471,191.505,186.5312,196.8472,216.696,59
41,1534501,62914560,4096,random,1000,197.304056,196.72199999999998,3.3196860900694514,190.228,195.215,198.448,193.3502,204.9328,212.688,61
42,1497965,62914560,4096,random,1000,199.337808,198.84199999999998,3.2394329332253298,192.64,197.374,200.285,195.57840000000002,206.6574,220.368,71
43,1463129,62914560,4096,random,1000,197.350764,196.744,3.6984555140617137,188.424,195.286,198.582,193.1114,204.3666,228.252,64
44,1429876,62914560,4096,random,1000,195.714496,195.07,3.7789808745790756,188.164,193.673,196.751,191.4624,203.42019999999997,223.592,75
45,1398101,62914560,4096,random,1000,205.113868,204.546,3.8037397938075355,196.44,202.927,206.177,200.61540000000002,213.4886,228.4,84
46,1367707,62914560,4096,random,1000,197.557328,197.02,3.7023242604268667,190.42,195.526,198.516,193.4738,204.87380000000002,246.844,79
47,1338607,62914560,4096,random,1000,199.220512,198.632,3.422739993472907,192.372,197.202,200.433,195.055,206.3788,225.396,65
48,1310720,62914560,4096,random,1000,194.748076,194.164,3.941702170665133,187.484,192.67399999999998,195.732,190.7308,201.3282,258.272,73
49,1283970,62914560,4096,random,1000,202.381504,201.812,3.5533469761221905,195.028,200.288,203.386,198.3396,209.8558,229.924,68
50,1258291,62914560,4096,random,1000,200.11226,199.284,5.52636778664914,191.34,197.88400000000001,201.125,195.827,207.2902,326.308,66
51,1233618,62914560,4096,random,1000,203.556888,202.916,5.011598787399273,196.088,201.413,204.394,199.303,211.0682,315.576,73
52,1209895,62914560,4096,random,1000,201.654256,200.952,3.8456457535407145,194.628,199.512,202.665,197.79579999999999,208.8828,257.956,76
