stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,1966080,62914560,4096,sequential,1000,12.061324,11.916,1.460772702343493,11.06,11.327,12.108,11.208,12.884599999999999,26.852,37
33,1906501,62914560,4096,sequential,1000,12.80492,12.72,1.4650610763915468,11.924,12.156,12.892,12.036,13.244,27.924,31
34,1850428,62914560,4096,sequential,1000,12.84596,12.764,1.4356700773405326,11.936,12.208,12.940999999999999,12.076,13.588799999999999,29.008,35
35,1797558,62914560,4096,sequential,1000,13.546412,13.4,1.8499448159548104,12.428,12.88,13.605,12.6598,14.045,40.852,29
36,1747626,62914560,4096,sequential,1000,13.54324,13.484,1.303033116118582,12.348,13.016,13.716,12.76,14.184199999999999,32.752,16
37,1700393,62914560,4096,sequential,1000,13.982836,13.524,2.4466897588128904,12.516,12.852,14.052999999999999,12.692,16.38779999999999,47.988,64
38,1655646,62914560,4096,sequential,1000,13.736272,13.624,1.5811684957106336,12.616,13.047,13.804,12.8238,14.1402,28.904,30
39,1613193,62914560,4096,sequential,1000,14.101132,13.888,1.6667624760978177,12.836,13.335,14.174,13.032,14.7842,29.964,33
40,1572864,62914560,4096,sequential,1000,13.408488,13.334,1.6081936303221105,12.396,12.727,13.516,12.536,13.8644,38.496,31
41,1534501,62914560,4096,sequential,1000,14.419952,14.204,1.7444605918313123,13.216,13.753,14.36,13.4,15.325999999999999,34.256,54
42,1497965,62914560,4096,sequential,1000,14.921552,14.78,1.9324424972819505,13.568,14.112,15.044,13.824,15.488199999999999,37.832,27
43,1463129,62914560,4096,sequential,1000,15.223828,15.052,1.88799410066349,13.784,14.466000000000001,15.328,14.104,15.732,35.66,29
44,1429876,62914560,4096,sequential,1000,14.78826,14.588,2.002639782511697,13.5,14.088,14.808,13.6998,15.3486,38.808,35
45,1398101,62914560,4096,sequential,1000,15.383996,15.212,1.9032908690255719,14.06,14.611,15.408,14.264,16.040399999999998,32.188,31
46,1367707,62914560,4096,sequential,1000,15.513052,15.312,1.977190467162797,14.172,14.782,15.532,14.44,15.9962,36.388,31
47,1338607,62914560,4096,sequential,1000,15.998288,15.656,2.497530333514054,14.592,15.094,15.884,14.772,16.634999999999998,47.188,47
48,1310720,62914560,4096,sequential,1000,15.343436,15.208,1.8362487291484504,13.944,14.572,15.440999999999999,14.3078,15.988399999999999,33.036,26
49,1283970,62914560,4096,sequential,1000,16.55058,16.158,2.574536546648742,14.94,15.879000000000001,16.4,15.24,17.6018,48.4,73
50,1258291,62914560,4096,sequential,1000,16.445324,16.256,1.7722203802293044,15.048,15.991,16.488,15.364,17.052799999999998,34.956,44
51,1233618,62914560,4096,sequential,1000,16.740584,16.39,2.49705344252758,15.208,16.087,16.584,15.568,17.6922,44.112,62
52,1209895,62914560,4096,sequential,1000,16.47574,16.298000000000002,1.9766040534168658,15.192,15.664,16.508,15.416,17.1482,35.468,29
