num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,65536,random,1000,0.083523,0.084,0.000608145410934623,0.082,0.083,0.084,0.083,0.084,0.086,1
3,65536,random,1000,0.083498,0.083,0.00064993724190757,0.082,0.083,0.084,0.083,0.084,0.085,0
4,65536,random,1000,0.084153,0.084,0.014261661403426532,0.082,0.083,0.084,0.083,0.085,0.466,2
5,65536,random,1000,0.148524,0.149,0.0005931068839389545,0.147,0.148,0.149,0.148,0.149,0.15,0
6,65536,random,1000,0.154074,0.154,0.0025319824120508694,0.152,0.154,0.154,0.153,0.155,0.232,321
7,65536,random,1000,0.151251,0.151,0.01244583857752855,0.149,0.151,0.151,0.15,0.152,0.544,344
8,65536,random,1000,0.150693,0.151,0.0005823144254525133,0.149,0.15,0.151,0.15,0.152,0.152,0
9,65536,random,1000,0.150494,0.15,0.002274453151229354,0.149,0.15,0.151,0.15,0.151,0.22,1
10,65536,random,1000,0.15035099999999998,0.15,0.004995874073448785,0.149,0.15,0.151,0.149,0.151,0.307,1
11,65536,random,1000,0.150065,0.15,0.0005788869579720299,0.148,0.15,0.15,0.149,0.151,0.152,333
12,65536,random,1000,0.1507,0.15,0.02280851218795799,0.149,0.15,0.15,0.149,0.151,0.871,346
13,65536,random,1000,0.149838,0.15,0.000618173226642936,0.148,0.149,0.15,0.149,0.151,0.151,0
14,65536,random,1000,0.148556,0.149,0.0005943208032849076,0.147,0.148,0.149,0.148,0.149,0.15,0
15,65536,random,1000,0.14938099999999999,0.149,0.02614136970799752,0.147,0.148,0.149,0.148,0.149,0.975,1
16,65536,random,1000,0.149611,0.15,0.0006000325316506095,0.148,0.149,0.15,0.149,0.15,0.151,0
17,65536,random,1000,0.148579,0.149,0.002154158629117039,0.147,0.148,0.149,0.148,0.149,0.214,1
18,65536,random,1000,0.14854799999999999,0.148,0.001643897319907299,0.147,0.148,0.149,0.148,0.149,0.197,1
19,65536,random,1000,0.14943099999999998,0.149,0.0006242023939625907,0.148,0.149,0.15,0.149,0.15,0.152,1
20,65536,random,1000,0.14955,0.149,0.003949316029022887,0.148,0.149,0.15,0.149,0.15,0.273,1
21,65536,random,1000,0.148944,0.149,0.012868039883776026,0.147,0.148,0.149,0.148,0.149,0.555,1
22,65536,random,1000,0.14926899999999999,0.149,0.0005974914191818963,0.148,0.149,0.15,0.148,0.15,0.151,0
23,65536,random,1000,0.149004,0.149,0.012839113163564952,0.147,0.148,0.149,0.148,0.149,0.548,2
24,65536,random,1000,0.148636,0.149,0.0037941929181184116,0.147,0.148,0.149,0.148,0.149,0.267,1
25,65536,random,1000,0.148532,0.149,0.000609382759312526,0.147,0.148,0.149,0.148,0.149,0.15,0
26,65536,random,1000,0.149275,0.149,0.0022861761965346423,0.147,0.149,0.15,0.148,0.15,0.219,3
27,65536,random,1000,0.148524,0.149,0.0006014863138806954,0.147,0.148,0.149,0.148,0.149,0.15,0
28,65536,random,1000,0.14909999999999998,0.149,0.0005969559082179831,0.147,0.149,0.149,0.148,0.15,0.151,357
29,65536,random,1000,0.14875,0.149,0.006808366460014755,0.147,0.148,0.149,0.148,0.149,0.363,1
30,65536,random,1000,0.149166,0.149,0.0006315400564040602,0.147,0.149,0.15,0.148,0.15,0.151,1
31,65536,random,1000,0.148589,0.149,0.0025219911656148685,0.147,0.148,0.149,0.148,0.149,0.226,1
32,65536,random,1000,0.14857199999999998,0.148,0.002489782121996826,0.147,0.148,0.149,0.148,0.149,0.225,1
33,65536,random,1000,0.148553,0.149,0.0005844078477677496,0.147,0.148,0.149,0.148,0.149,0.15,0
34,65536,random,1000,0.14929699999999999,0.149,0.023897361253386845,0.147,0.148,0.149,0.148,0.149,0.904,1
35,65536,random,1000,0.14859899999999998,0.149,0.002641055503804147,0.147,0.148,0.149,0.148,0.149,0.23,1
36,65536,random,1000,0.149004,0.149,0.0006019521130009819,0.148,0.149,0.149,0.148,0.15,0.151,350
37,65536,random,1000,0.14860299999999999,0.149,0.0025853578234115056,0.147,0.148,0.149,0.148,0.149,0.228,1
38,65536,random,1000,0.149022,0.149,0.0006195965622079423,0.147,0.149,0.149,0.148,0.15,0.152,364
39,65536,random,1000,0.14851699999999998,0.149,0.0005882661447483254,0.147,0.148,0.149,0.148,0.149,0.15,0
40,65536,random,1000,0.14890799999999998,0.149,0.0005795445382987165,0.148,0.149,0.149,0.148,0.15,0.15,344
