size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,0.083057,0.083,0.010375712332481392,0.081,0.082,0.083,0.082,0.084,0.343,3
1112,139,sequential,1000,0.082554,0.083,0.0005808798683216884,0.081,0.082,0.083,0.082,0.083,0.084,0
1216,152,sequential,1000,0.082639,0.083,0.0005822525380090829,0.081,0.082,0.083,0.082,0.083,0.084,0
1328,166,sequential,1000,0.08265900000000001,0.083,0.0032608821432784643,0.081,0.082,0.083,0.082,0.083,0.184,1
1448,181,sequential,1000,0.082551,0.083,0.0005742201047757988,0.081,0.082,0.083,0.082,0.083,0.084,0
1576,197,sequential,1000,0.082511,0.083,0.0005781117653302118,0.081,0.082,0.083,0.082,0.083,0.084,0
1720,215,sequential,1000,0.082608,0.083,0.0022648323261260346,0.081,0.082,0.083,0.082,0.083,0.152,1
1872,234,sequential,1000,0.082523,0.083,0.0005998590091270044,0.081,0.082,0.083,0.082,0.083,0.084,0
2048,256,sequential,1000,0.082711,0.083,0.002202800792475645,0.081,0.082,0.083,0.082,0.083,0.15,1
2232,279,sequential,1000,0.082554,0.083,0.000594506044912445,0.081,0.082,0.083,0.082,0.083,0.084,0
2432,304,sequential,1000,0.082649,0.083,0.0005832144881080543,0.081,0.082,0.083,0.082,0.08304999999999996,0.084,0
2656,332,sequential,1000,0.08321400000000001,0.082,0.01995420693423756,0.081,0.082,0.083,0.082,0.083,0.709,3
2896,362,sequential,1000,0.082556,0.083,0.0005772323597973331,0.081,0.082,0.083,0.082,0.083,0.084,0
3152,394,sequential,1000,0.082529,0.083,0.000587796312088214,0.081,0.082,0.083,0.082,0.083,0.084,0
3440,430,sequential,1000,0.082567,0.082,0.002148051471712241,0.081,0.082,0.083,0.082,0.083,0.148,1
3752,469,sequential,1000,0.08254800000000001,0.083,0.0005727338160297719,0.081,0.082,0.083,0.082,0.083,0.084,0
4096,512,sequential,1000,0.082732,0.083,0.0033312570109904865,0.081,0.082,0.083,0.082,0.083,0.156,3
4464,558,sequential,1000,0.08264400000000001,0.082,0.0031516975104215177,0.081,0.082,0.083,0.082,0.083,0.173,2
4864,608,sequential,1000,0.08258700000000001,0.083,0.0018307874761377368,0.081,0.082,0.083,0.082,0.083,0.136,2
5312,664,sequential,1000,0.08264500000000001,0.083,0.0021784675165631272,0.081,0.082,0.083,0.082,0.083,0.149,1
5792,724,sequential,1000,0.082592,0.083,0.0016328509430447724,0.081,0.082,0.083,0.082,0.083,0.129,2
6312,789,sequential,1000,0.082612,0.083,0.0017562860076139482,0.081,0.082,0.083,0.082,0.083,0.133,2
6888,861,sequential,1000,0.08264500000000001,0.083,0.0022481167738863184,0.081,0.082,0.083,0.082,0.083,0.15,2
7512,939,sequential,1000,0.082522,0.083,0.0005998965543123886,0.081,0.082,0.083,0.082,0.083,0.084,0
8192,1024,sequential,1000,0.082738,0.083,0.004824171289312666,0.081,0.082,0.083,0.082,0.083,0.234,1
8928,1116,sequential,1000,0.082525,0.083,0.0005947509804352821,0.081,0.082,0.083,0.082,0.083,0.084,0
9736,1217,sequential,1000,0.08255,0.083,0.0005982122180780483,0.081,0.082,0.083,0.082,0.083,0.084,0
10624,1328,sequential,1000,0.082719,0.083,0.0027403555514838853,0.081,0.082,0.083,0.082,0.083,0.148,3
11584,1448,sequential,1000,0.082527,0.083,0.000563549987657341,0.081,0.082,0.083,0.082,0.083,0.084,0
12632,1579,sequential,1000,0.08254600000000001,0.083,0.0006117665063226811,0.081,0.082,0.083,0.082,0.083,0.084,0
13776,1722,sequential,1000,0.082725,0.083,0.0053274531210285424,0.081,0.082,0.083,0.082,0.083,0.25,1
15024,1878,sequential,1000,0.08253200000000001,0.083,0.0005842236877406786,0.081,0.082,0.083,0.082,0.083,0.084,0
16384,2048,sequential,1000,0.082636,0.083,0.0018721669287243086,0.081,0.082,0.083,0.082,0.083,0.139,1
17864,2233,sequential,1000,0.082568,0.083,0.0005794063442107898,0.081,0.082,0.083,0.082,0.083,0.084,0
19480,2435,sequential,1000,0.08254500000000001,0.083,0.0005816470693756772,0.081,0.082,0.083,0.082,0.083,0.084,0
21240,2655,sequential,1000,0.08272,0.083,0.002991412467137982,0.081,0.082,0.083,0.082,0.083,0.156,3
23168,2896,sequential,1000,0.082535,0.083,0.000575418201055638,0.081,0.082,0.083,0.082,0.083,0.084,0
25264,3158,sequential,1000,0.082567,0.083,0.0005948654174389914,0.081,0.082,0.083,0.082,0.083,0.084,0
27552,3444,sequential,1000,0.082772,0.083,0.0035598720045373383,0.081,0.082,0.083,0.082,0.083,0.158,5
30048,3756,sequential,1000,0.08541900000000001,0.083,0.09017303707658746,0.081,0.082,0.083,0.082,0.083,2.934,5
32768,4096,sequential,1000,0.08275600000000001,0.083,0.005389945780387361,0.081,0.082,0.083,0.082,0.083,0.252,3
35728,4466,sequential,1000,0.082543,0.083,0.0005954036492208509,0.081,0.082,0.083,0.082,0.083,0.084,0
38968,4871,sequential,1000,0.082638,0.083,0.0006093663326171934,0.081,0.082,0.083,0.082,0.084,0.084,0
42488,5311,sequential,1000,0.08292000000000001,0.083,0.005504898173799758,0.081,0.082,0.083,0.082,0.084,0.237,6
46336,5792,sequential,1000,0.082624,0.083,0.0006024840138850056,0.081,0.082,0.083,0.082,0.083,0.084,0
50528,6316,sequential,1000,0.082591,0.083,0.0005762387101289288,0.081,0.082,0.083,0.082,0.083,0.084,0
55104,6888,sequential,1000,0.08278,0.083,0.0025534525881872414,0.081,0.082,0.083,0.082,0.084,0.161,6
60096,7512,sequential,1000,0.08274200000000001,0.083,0.0005777281105933572,0.081,0.082,0.083,0.082,0.084,0.084,0
65536,8192,sequential,1000,0.083084,0.083,0.004323150891841925,0.081,0.082,0.083,0.082,0.084,0.189,30
71464,8933,sequential,1000,0.085406,0.085,0.002107986624152912,0.081,0.084,0.087,0.082,0.089,0.09,0
77936,9742,sequential,1000,0.087875,0.088,0.0014702164930841092,0.084,0.087,0.089,0.086,0.09,0.091,0
84984,10623,sequential,1000,0.08931,0.089,0.001996468353339438,0.087,0.089,0.09,0.088,0.09,0.149,2
92680,11585,sequential,1000,0.08925,0.089,0.0006541620043444351,0.088,0.089,0.09,0.088,0.09,0.091,0
101064,12633,sequential,1000,0.089348,0.089,0.0029060869466245058,0.087,0.089,0.09,0.088,0.09,0.168,4
