size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,524288,random,1000,0.703992,0.701,0.03869676182027865,0.672,0.693,0.709,0.683,0.72305,1.363,14
4255312,531914,random,1000,0.707917,0.704,0.06301796072846515,0.672,0.697,0.712,0.687,0.72205,2.373,12
4317200,539650,random,1000,0.708804,0.707,0.0314237973363984,0.675,0.699,0.714,0.689,0.72405,1.165,9
4380000,547500,random,1000,0.7144119999999999,0.712,0.0349279575443257,0.681,0.705,0.719,0.696,0.72905,1.268,11
4443704,555463,random,1000,0.718007,0.716,0.030578521824918176,0.682,0.709,0.723,0.699,0.734,1.21,13
4508344,563543,random,1000,0.704522,0.702,0.025922374225473364,0.672,0.696,0.71,0.685,0.722,1.12,16
4573920,571740,random,1000,0.7052229999999999,0.703,0.027111479179552405,0.67,0.696,0.711,0.687,0.721,1.124,10
4640448,580056,random,1000,0.7020759999999999,0.701,0.025645114464472485,0.671,0.694,0.707,0.684,0.717,1.08,13
4707944,588493,random,1000,0.7069219999999999,0.705,0.027974783368321276,0.677,0.699,0.712,0.69,0.722,1.247,14
4776424,597053,random,1000,0.710094,0.708,0.02655636278567539,0.675,0.702,0.715,0.692,0.725,1.127,16
4845896,605737,random,1000,0.713768,0.712,0.023945846812747713,0.679,0.706,0.719,0.697,0.729,1.069,11
4916384,614548,random,1000,0.718468,0.717,0.024602281362675466,0.685,0.71,0.723,0.701,0.734,1.083,17
4987896,623487,random,1000,0.715186,0.713,0.02673687087645569,0.684,0.707,0.72,0.69795,0.731,1.156,18
5060440,632555,random,1000,0.718942,0.717,0.028544025599018048,0.686,0.71,0.724,0.701,0.735,1.19,8
5134048,641756,random,1000,0.723576,0.722,0.026889463870952646,0.683,0.715,0.728,0.706,0.738,1.133,14
5208728,651091,random,1000,0.726797,0.724,0.02765231349166723,0.697,0.718,0.731,0.709,0.744,1.166,23
5284488,660561,random,1000,0.727437,0.726,0.026559092914036367,0.697,0.719,0.732,0.71,0.742,1.114,18
5361352,670169,random,1000,0.727058,0.726,0.023980694521003973,0.693,0.719,0.732,0.709,0.74105,1.138,14
5439336,679917,random,1000,0.729465,0.728,0.024461544148768336,0.69,0.722,0.734,0.712,0.744,1.125,18
5518456,689807,random,1000,0.731912,0.7304999999999999,0.023269243943749306,0.704,0.724,0.737,0.715,0.746,1.135,9
5598720,699840,random,1000,0.7349789999999999,0.732,0.055771417500454556,0.699,0.726,0.738,0.717,0.749,2.352,23
5680152,710019,random,1000,0.738336,0.736,0.02536309110480011,0.708,0.73,0.743,0.721,0.753,1.148,15
5762776,720347,random,1000,0.741496,0.74,0.0269188894758051,0.714,0.733,0.746,0.72495,0.756,1.152,10
5846600,730825,random,1000,0.744791,0.742,0.02672305073228804,0.714,0.736,0.75,0.72895,0.76,1.148,10
5931640,741455,random,1000,0.746628,0.745,0.026859543016422512,0.717,0.738,0.751,0.73,0.761,1.157,12
6017912,752239,random,1000,0.7499439999999999,0.748,0.027077704224436498,0.721,0.741,0.754,0.733,0.764,1.132,15
6105448,763181,random,1000,0.7505269999999999,0.748,0.027438771057705147,0.721,0.742,0.755,0.733,0.76505,1.145,13
6194256,774282,random,1000,0.753721,0.752,0.02955511231011758,0.718,0.745,0.758,0.736,0.76705,1.236,15
6284352,785544,random,1000,0.759556,0.757,0.041874698259860385,0.727,0.751,0.764,0.74,0.775,1.816,17
6375760,796970,random,1000,0.758437,0.755,0.03606145392880686,0.723,0.748,0.762,0.738,0.775,1.319,16
6468496,808562,random,1000,0.759198,0.757,0.029212157505842433,0.725,0.75,0.764,0.741,0.774,1.211,13
6562584,820323,random,1000,0.746156,0.745,0.021939165685845745,0.714,0.738,0.751,0.729,0.76,1.114,13
6658040,832255,random,1000,0.750437,0.748,0.0323268472953373,0.716,0.742,0.754,0.733,0.765,1.337,22
6754880,844360,random,1000,0.7577,0.755,0.031184811888040825,0.716,0.749,0.762,0.739,0.773,1.242,17
6853136,856642,random,1000,0.761473,0.759,0.029401968416191915,0.723,0.752,0.766,0.743,0.778,1.229,16
6952816,869102,random,1000,0.766763,0.763,0.035032243563452935,0.733,0.757,0.771,0.747,0.785,1.336,23
7053944,881743,random,1000,0.7600250000000001,0.757,0.03216004732029547,0.731,0.751,0.764,0.74195,0.774,1.236,17
7156552,894569,random,1000,0.7654070000000001,0.763,0.03307399643587452,0.733,0.756,0.769,0.747,0.782,1.302,22
7260640,907580,random,1000,0.765697,0.763,0.0346793576764168,0.734,0.756,0.77,0.747,0.78,1.288,13
7366248,920781,random,1000,0.7681290000000001,0.766,0.030267912143150964,0.739,0.759,0.773,0.75,0.783,1.264,14
7473400,934175,random,1000,0.770168,0.767,0.033068917873576235,0.737,0.761,0.775,0.751,0.786,1.282,12
7582096,947762,random,1000,0.7743530000000001,0.772,0.034388092880122505,0.741,0.764,0.779,0.75595,0.791,1.314,14
7692384,961548,random,1000,0.777348,0.775,0.03315146928743756,0.746,0.767,0.782,0.758,0.794,1.29,11
7804272,975534,random,1000,0.778668,0.776,0.030298147695094393,0.747,0.77,0.783,0.76095,0.795,1.275,20
7917792,989724,random,1000,0.780768,0.778,0.03373060820575179,0.75,0.771,0.785,0.762,0.797,1.34,15
8032952,1004119,random,1000,0.780798,0.778,0.03163248029810198,0.746,0.772,0.785,0.761,0.79705,1.301,24
8149800,1018725,random,1000,0.781574,0.779,0.0316798064093538,0.75,0.77275,0.787,0.763,0.797,1.309,17
8268336,1033542,random,1000,0.7854380000000001,0.782,0.03228157766058307,0.75,0.774,0.791,0.765,0.806,1.311,16
8388608,1048576,random,1000,0.785733,0.783,0.029527403857748456,0.751,0.776,0.791,0.767,0.80205,1.264,12
8510616,1063827,random,1000,0.78723,0.785,0.024636275003458743,0.756,0.778,0.792,0.769,0.805,1.184,18
8634408,1079301,random,1000,0.795509,0.792,0.031519508219488415,0.754,0.785,0.802,0.775,0.816,1.293,13
