size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
268435456,33554432,random,1000,2.354691,2.35,0.09463872361252029,2.256,2.326,2.374,2.295,2.41405,5.092,11
272339936,34042492,random,1000,2.39459,2.394,0.03247818856914179,2.281,2.37275,2.415,2.34695,2.45,2.512,17
276301208,34537651,random,1000,2.354277,2.352,0.034440069532296086,2.265,2.331,2.376,2.30195,2.414,2.546,10
280320104,35040013,random,1000,2.352927,2.3514999999999997,0.034136856855838324,2.256,2.329,2.376,2.301,2.411,2.472,8
284397456,35549682,random,1000,2.355609,2.354,0.034979904412572545,2.266,2.331,2.377,2.302,2.4170499999999997,2.498,8
288534112,36066764,random,1000,2.352857,2.35,0.034598231003746246,2.257,2.329,2.376,2.3,2.413,2.543,7
292730936,36591367,random,1000,2.354593,2.353,0.053325575177094596,2.256,2.331,2.375,2.30195,2.40805,3.692,8
296988808,37123601,random,1000,2.355664,2.354,0.03464256357735684,2.253,2.333,2.378,2.30195,2.41005,2.561,10
301308608,37663576,random,1000,2.355584,2.355,0.032728735296587826,2.259,2.33375,2.3762499999999998,2.303,2.412,2.531,13
305691240,38211405,random,1000,2.35911,2.358,0.03444549886984353,2.254,2.336,2.381,2.304,2.421,2.471,6
310137624,38767203,random,1000,2.357493,2.356,0.033431566230444854,2.267,2.333,2.379,2.306,2.41505,2.539,8
314648680,39331085,random,1000,2.36004,2.358,0.03410773721221824,2.27,2.335,2.384,2.30795,2.416,2.478,3
319225352,39903169,random,1000,2.360837,2.359,0.03361449635745514,2.273,2.337,2.381,2.31,2.4170499999999997,2.495,17
323868592,40483574,random,1000,2.366243,2.365,0.03561528322784192,2.269,2.342,2.389,2.309,2.429,2.498,8
328579368,41072421,random,1000,2.360829,2.36,0.03298805800545055,2.269,2.338,2.382,2.311,2.417,2.481,6
333358664,41669833,random,1000,2.372746,2.372,0.03326210834946953,2.269,2.35,2.394,2.322,2.428,2.52,13
338207480,42275935,random,1000,2.383221,2.38,0.03428293275783852,2.286,2.359,2.406,2.33,2.442,2.495,3
343126816,42890852,random,1000,2.376819,2.375,0.03373826476731588,2.283,2.355,2.397,2.324,2.433,2.515,11
348117712,43514714,random,1000,2.379228,2.377,0.03774812494597494,2.277,2.356,2.399,2.327,2.438,2.961,10
353181200,44147650,random,1000,2.388513,2.3865,0.03481651936970466,2.284,2.364,2.412,2.33395,2.447,2.52,8
358318344,44789793,random,1000,2.394464,2.391,0.06436923257350596,2.288,2.368,2.414,2.33795,2.45105,4.031,14
363530200,45441275,random,1000,2.382505,2.381,0.03326750218609297,2.291,2.36,2.402,2.3329500000000003,2.439,2.558,13
368817872,46102234,random,1000,2.379959,2.38,0.032449966399355754,2.27,2.358,2.4,2.3289500000000003,2.43505,2.486,9
374182448,46772806,random,1000,2.387401,2.384,0.05984191887175957,2.285,2.362,2.408,2.33395,2.443,3.919,8
379625056,47453132,random,1000,2.384453,2.383,0.03766136175404666,2.272,2.36,2.406,2.328,2.445,2.822,12
385146832,48143354,random,1000,2.381814,2.38,0.03459100955366786,2.271,2.357,2.404,2.328,2.44005,2.56,5
390748920,48843615,random,1000,2.380442,2.38,0.032917688409276384,2.281,2.359,2.401,2.328,2.436,2.526,11
396432496,49554062,random,1000,2.383597,2.381,0.03697598970703575,2.258,2.359,2.405,2.33,2.443,2.836,14
402198736,50274842,random,1000,2.382431,2.382,0.03349341798097123,2.297,2.36,2.403,2.329,2.439,2.524,13
408048856,51006107,random,1000,2.384676,2.382,0.03502235842414941,2.291,2.361,2.40825,2.331,2.445,2.559,9
413984064,51748008,random,1000,2.386372,2.386,0.033881197610939766,2.291,2.363,2.408,2.33395,2.445,2.55,7
420005600,52500700,random,1000,2.383546,2.381,0.0329002478761226,2.279,2.362,2.404,2.334,2.43805,2.539,16
426114720,53264340,random,1000,2.385902,2.386,0.03307924776400806,2.298,2.362,2.407,2.333,2.44305,2.494,8
432312704,54039088,random,1000,2.383846,2.383,0.031691838959843524,2.293,2.362,2.403,2.335,2.438,2.537,12
438600840,54825105,random,1000,2.383571,2.384,0.03376846558948551,2.276,2.361,2.4042499999999998,2.328,2.44005,2.535,12
444980432,55622554,random,1000,2.388851,2.388,0.03526327122229724,2.272,2.366,2.41,2.33595,2.44205,2.589,14
451452824,56431603,random,1000,2.388851,2.389,0.03341205118163449,2.301,2.365,2.41,2.337,2.443,2.539,7
458019352,57252419,random,1000,2.390573,2.389,0.033791160286582536,2.289,2.367,2.411,2.339,2.44705,2.516,15
464681400,58085175,random,1000,2.389656,2.389,0.035887931224962054,2.302,2.365,2.412,2.3329500000000003,2.45,2.537,9
471440344,58930043,random,1000,2.39298,2.388,0.06329896016806562,2.281,2.368,2.415,2.333,2.44805,3.975,10
478297600,59787200,random,1000,2.397428,2.395,0.03602288806390271,2.291,2.373,2.42,2.339,2.458,2.541,17
485254600,60656825,random,1000,2.388825,2.385,0.036847661053656104,2.302,2.363,2.411,2.3369500000000003,2.4490499999999997,2.724,13
492312792,61539099,random,1000,2.395044,2.394,0.035128052095782986,2.305,2.37,2.419,2.34,2.456,2.527,4
499473648,62434206,random,1000,2.398336,2.398,0.03634796112959127,2.306,2.37275,2.421,2.34,2.458,2.555,7
506738656,63342332,random,1000,2.399208,2.397,0.034482514116284786,2.309,2.375,2.421,2.345,2.458,2.552,6
514109344,64263668,random,1000,2.390557,2.3895,0.03479884639913671,2.296,2.368,2.41,2.335,2.448,2.639,17
521587232,65198404,random,1000,2.416568,2.4154999999999998,0.04399626173945973,2.303,2.391,2.44,2.357,2.477,3.18,9
529173896,66146737,random,1000,2.410991,2.411,0.03604025275742138,2.309,2.386,2.435,2.352,2.474,2.559,6
536870912,67108864,random,1000,2.395118,2.3935,0.03370890633595766,2.311,2.371,2.416,2.34295,2.45015,2.545,9
544679872,68084984,random,1000,2.422657,2.421,0.03739127516491594,2.315,2.39975,2.443,2.367,2.47805,2.74,20
552602424,69075303,random,1000,2.399361,2.398,0.03358274079761029,2.313,2.376,2.423,2.345,2.456,2.541,6
560640216,70080027,random,1000,2.404433,2.402,0.0349010543478932,2.301,2.381,2.427,2.349,2.465,2.511,13
568794912,71099364,random,1000,2.407653,2.407,0.03665244866298831,2.303,2.38375,2.431,2.348,2.46805,2.572,12
577068224,72133528,random,1000,2.396985,2.396,0.03218090094116982,2.303,2.374,2.417,2.346,2.451,2.564,11
585461880,73182735,random,1000,2.424604,2.423,0.034566313283513686,2.337,2.4,2.446,2.37,2.483,2.577,9
593977616,74247202,random,1000,2.402767,2.4015,0.03369777813523098,2.309,2.378,2.425,2.348,2.46,2.543,5
602617224,75327153,random,1000,2.438147,2.434,0.06449414613657496,2.311,2.412,2.45725,2.379,2.502,4.017,28
611382488,76422811,random,1000,2.415014,2.4135,0.03717735816273072,2.305,2.389,2.439,2.357,2.4770499999999998,2.568,13
620275256,77534407,random,1000,2.404461,2.4,0.0817479859826052,2.303,2.378,2.424,2.346,2.463,4.581,11
629297360,78662170,random,1000,2.418577,2.416,0.08135299860104347,2.318,2.392,2.44,2.358,2.4730499999999997,4.71,13
638450704,79806338,random,1000,2.410821,2.41,0.03537443016232642,2.319,2.38475,2.433,2.358,2.472,2.566,8
647737184,80967148,random,1000,2.401617,2.3985000000000003,0.03550243278613077,2.31,2.378,2.423,2.348,2.459,2.606,15
657158736,82144842,random,1000,2.409928,2.41,0.03425785189436747,2.313,2.389,2.43025,2.354,2.47005,2.54,19
666717336,83339667,random,1000,2.416886,2.417,0.03629077050744478,2.316,2.393,2.439,2.35895,2.4770499999999998,2.641,15
676414960,84551870,random,1000,2.402109,2.401,0.03489967200570954,2.307,2.38,2.424,2.349,2.462,2.565,14
686253640,85781705,random,1000,2.401268,2.4005,0.03370864056067003,2.313,2.378,2.424,2.346,2.458,2.527,7
696235432,87029429,random,1000,2.412158,2.411,0.03653359741032547,2.278,2.389,2.435,2.351,2.47205,2.575,11
706362408,88295301,random,1000,2.418106,2.415,0.03662034699199086,2.31,2.394,2.442,2.361,2.481,2.544,11
716636688,89579586,random,1000,2.399042,2.397,0.03263714784443363,2.302,2.37675,2.42,2.348,2.454,2.521,12
727060408,90882551,random,1000,2.403225,2.402,0.03462755322633181,2.315,2.379,2.426,2.347,2.46305,2.505,5
737635744,92204468,random,1000,2.401207,2.3994999999999997,0.0339403019299342,2.304,2.378,2.423,2.3489500000000003,2.459,2.562,10
748364904,93545613,random,1000,2.385148,2.384,0.03359626176830993,2.282,2.361,2.407,2.334,2.443,2.534,7
759250120,94906265,random,1000,2.389916,2.389,0.03402397058802182,2.274,2.369,2.412,2.334,2.4490499999999997,2.519,11
770293672,96286709,random,1000,2.38731,2.386,0.03320003226116115,2.281,2.365,2.41,2.3329500000000003,2.444,2.507,8
781497848,97687231,random,1000,2.385678,2.385,0.032813397188268,2.287,2.364,2.407,2.331,2.44,2.507,14
792865000,99108125,random,1000,2.389652,2.386,0.03394281972687317,2.298,2.367,2.411,2.335,2.447,2.525,10
804397480,100549685,random,1000,2.389057,2.388,0.03210215412241519,2.299,2.368,2.41025,2.336,2.441,2.508,7
816097712,102012214,random,1000,2.391114,2.39,0.03198127273586535,2.302,2.37,2.412,2.341,2.44205,2.532,10
827968128,103496016,random,1000,2.393252,2.3914999999999997,0.03182057581259403,2.298,2.371,2.413,2.343,2.447,2.52,11
840011200,105001400,random,1000,2.393528,2.391,0.03272773014311135,2.293,2.371,2.41525,2.345,2.448,2.528,7
852229448,106528681,random,1000,2.391381,2.39,0.03244383518392117,2.268,2.369,2.412,2.343,2.44605,2.537,14
864625408,108078176,random,1000,2.391971,2.39,0.033319368831647135,2.296,2.37,2.415,2.339,2.447,2.523,9
877201680,109650210,random,1000,2.39311,2.391,0.033179764869522455,2.29,2.371,2.41425,2.343,2.451,2.538,10
889960872,111245109,random,1000,2.39932,2.398,0.03282299421059798,2.304,2.378,2.419,2.348,2.453,2.546,20
902905648,112863206,random,1000,2.398154,2.397,0.03211734434550601,2.301,2.376,2.419,2.346,2.452,2.515,9
916038712,114504839,random,1000,2.396157,2.395,0.05534107864855893,2.294,2.371,2.416,2.342,2.44805,3.802,9
929362800,116170350,random,1000,2.3959799999999998,2.395,0.032033228493670865,2.31,2.375,2.415,2.343,2.4490499999999997,2.544,15
942880696,117860087,random,1000,2.397791,2.396,0.03187559211014553,2.306,2.377,2.418,2.346,2.45005,2.54,12
956595208,119574401,random,1000,2.398995,2.396,0.06068092904817913,2.303,2.372,2.419,2.344,2.454,3.955,8
970509208,121313651,random,1000,2.400201,2.4,0.03312022869106656,2.306,2.377,2.422,2.351,2.457,2.516,8
984625592,123078199,random,1000,2.398094,2.396,0.03294234907170954,2.301,2.37575,2.42,2.346,2.45105,2.524,11
998947296,124868412,random,1000,2.4044309999999998,2.4035,0.032525084475218825,2.302,2.382,2.424,2.353,2.464,2.518,11
1013477320,126684665,random,1000,2.401701,2.4,0.03240409888616909,2.304,2.379,2.423,2.35095,2.4570499999999997,2.53,9
1028218688,128527336,random,1000,2.400334,2.398,0.03545226801358845,2.31,2.378,2.421,2.348,2.453,2.835,12
1043174472,130396809,random,1000,2.402266,2.4,0.03226683114891191,2.29,2.38,2.422,2.3529500000000003,2.45805,2.536,10
1058347800,132293475,random,1000,2.417947,2.416,0.034055189721200314,2.334,2.394,2.44,2.364,2.474,2.557,9
1073741824,134217728,random,1000,2.406335,2.406,0.03289152820450317,2.303,2.385,2.429,2.355,2.45905,2.548,12
