size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
268435456,33554432,random,1000,2.28142,2.28,0.03430802589250278,2.159,2.25875,2.304,2.227,2.339,2.389,10
272339936,34042492,random,1000,2.278465,2.277,0.033421935922396846,2.184,2.258,2.299,2.223,2.334,2.402,19
276301208,34537651,random,1000,2.283962,2.283,0.03305872706919363,2.184,2.26275,2.306,2.229,2.33905,2.398,10
280320104,35040013,random,1000,2.293347,2.292,0.03569045249642262,2.194,2.26975,2.31525,2.239,2.356,2.533,14
284397456,35549682,random,1000,2.286827,2.286,0.034111562111250056,2.191,2.263,2.309,2.2359500000000003,2.34705,2.403,8
288534112,36066764,random,1000,2.302963,2.303,0.03521414015231193,2.195,2.279,2.326,2.243,2.3611,2.442,5
292730936,36591367,random,1000,2.29022,2.289,0.03377146890663941,2.173,2.268,2.311,2.238,2.35,2.405,14
296988808,37123601,random,1000,2.293653,2.292,0.03274661710668649,2.206,2.272,2.314,2.241,2.34905,2.418,13
301308608,37663576,random,1000,2.294447,2.292,0.03366646137659291,2.203,2.272,2.316,2.24295,2.35,2.427,15
305691240,38211405,random,1000,2.307537,2.307,0.0345056991564332,2.198,2.284,2.33,2.252,2.366,2.414,7
310137624,38767203,random,1000,2.315531,2.315,0.03549812891063636,2.187,2.292,2.338,2.25995,2.374,2.444,17
314648680,39331085,random,1000,2.311174,2.31,0.034245298428608635,2.19,2.289,2.334,2.259,2.37,2.426,10
319225352,39903169,random,1000,2.316794,2.316,0.03469529258166486,2.208,2.293,2.34,2.261,2.376,2.442,5
323868592,40483574,random,1000,2.308589,2.307,0.03384067479040972,2.215,2.284,2.33,2.255,2.36605,2.439,7
328579368,41072421,random,1000,2.39949,2.325,0.990910508338435,2.223,2.302,2.34825,2.273,2.393,30.308,34
333358664,41669833,random,1000,2.321033,2.322,0.03509446583911106,2.203,2.298,2.342,2.265,2.383,2.441,17
338207480,42275935,random,1000,2.313268,2.3125,0.03364994048277791,2.214,2.29,2.336,2.258,2.36905,2.432,7
343126816,42890852,random,1000,2.314258,2.315,0.03406972530241743,2.202,2.291,2.336,2.26,2.371,2.44,8
348117712,43514714,random,1000,2.31628,2.316,0.032616797136681835,2.195,2.295,2.339,2.263,2.37105,2.441,5
353181200,44147650,random,1000,2.314991,2.314,0.03336228350939069,2.229,2.29275,2.338,2.264,2.372,2.438,7
358318344,44789793,random,1000,2.328379,2.328,0.034449181486721936,2.239,2.305,2.351,2.273,2.385,2.461,7
363530200,45441275,random,1000,2.322091,2.321,0.03369908525980116,2.214,2.299,2.344,2.26795,2.376,2.464,13
368817872,46102234,random,1000,2.329902,2.328,0.03458703020871638,2.228,2.307,2.353,2.274,2.389,2.5,11
374182448,46772806,random,1000,2.33186,2.33,0.03484451951943864,2.234,2.309,2.353,2.27795,2.39005,2.466,10
379625056,47453132,random,1000,2.328375,2.327,0.03252470186229586,2.24,2.305,2.351,2.277,2.382,2.455,4
385146832,48143354,random,1000,2.3373530000000002,2.337,0.03584339744137182,2.22,2.315,2.359,2.281,2.398,2.492,18
390748920,48843615,random,1000,2.331797,2.3305,0.03718586531976337,2.221,2.307,2.35425,2.276,2.39005,2.71,10
396432496,49554062,random,1000,2.338138,2.336,0.032764377919631875,2.247,2.315,2.36,2.285,2.395,2.453,2
402198736,50274842,random,1000,2.34438,2.345,0.03344781541979022,2.253,2.322,2.365,2.29095,2.40005,2.46,12
408048856,51006107,random,1000,2.344766,2.3434999999999997,0.03354809560494781,2.24,2.323,2.366,2.28995,2.4010499999999997,2.463,13
413984064,51748008,random,1000,2.338677,2.338,0.03430471519316965,2.213,2.31575,2.361,2.282,2.394,2.453,13
420005600,52500700,random,1000,2.34602,2.344,0.03464881152565178,2.25,2.32275,2.369,2.29,2.405,2.478,7
