size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
268435456,33554432,sequential,1000,0.090808,0.091,0.0015051250451046934,0.089,0.09,0.091,0.08995,0.094,0.106,72
272339936,34042492,sequential,1000,0.090795,0.09,0.0014453594930203585,0.089,0.09,0.091,0.089,0.094,0.104,82
276301208,34537651,sequential,1000,0.090718,0.0905,0.0012915665465411167,0.089,0.09,0.091,0.089,0.093,0.103,58
280320104,35040013,sequential,1000,0.090726,0.091,0.0011332291066718195,0.089,0.09,0.091,0.09,0.093,0.102,57
284397456,35549682,sequential,1000,0.090683,0.091,0.0011339298024114187,0.089,0.09,0.091,0.089,0.093,0.1,51
288534112,36066764,sequential,1000,0.09068799999999999,0.09,0.001133110735956527,0.089,0.09,0.091,0.09,0.093,0.097,61
292730936,36591367,sequential,1000,0.09070299999999999,0.0905,0.0011858318587376542,0.089,0.09,0.091,0.09,0.093,0.099,56
296988808,37123601,sequential,1000,0.090722,0.09,0.001978542552140498,0.089,0.09,0.091,0.089,0.093,0.137,56
301308608,37663576,sequential,1000,0.09073099999999999,0.09,0.0012799520605387064,0.089,0.09,0.091,0.09,0.093,0.101,72
305691240,38211405,sequential,1000,0.09077299999999999,0.09,0.002348826938705359,0.088,0.09,0.091,0.089,0.093,0.147,63
310137624,38767203,sequential,1000,0.090729,0.09,0.001999389045822888,0.089,0.09,0.091,0.09,0.093,0.141,51
314648680,39331085,sequential,1000,0.09077099999999999,0.09,0.001833008161170845,0.089,0.09,0.091,0.089,0.094,0.13,70
319225352,39903169,sequential,1000,0.090782,0.09,0.002454893582724617,0.089,0.09,0.091,0.09,0.093,0.156,64
323868592,40483574,sequential,1000,0.09080099999999999,0.09,0.002204599568914786,0.089,0.09,0.091,0.09,0.094,0.146,73
328579368,41072421,sequential,1000,0.090718,0.09,0.0012140634044192058,0.089,0.09,0.091,0.09,0.093,0.102,63
333358664,41669833,sequential,1000,0.090618,0.09,0.0011931049825977182,0.089,0.09,0.091,0.089,0.092,0.104,49
338207480,42275935,sequential,1000,0.09080099999999999,0.09,0.002009337312756731,0.089,0.09,0.091,0.09,0.094,0.139,70
343126816,42890852,sequential,1000,0.090752,0.09,0.0013756410826914088,0.089,0.09,0.091,0.09,0.093,0.109,65
348117712,43514714,sequential,1000,0.09081499999999999,0.09,0.002080649923486435,0.088,0.09,0.091,0.089,0.094,0.141,80
353181200,44147650,sequential,1000,0.09075899999999999,0.09,0.002021634488725895,0.088,0.09,0.091,0.089,0.093,0.138,65
358318344,44789793,sequential,1000,0.090779,0.09,0.0014485362464423388,0.089,0.09,0.091,0.089,0.094,0.104,87
363530200,45441275,sequential,1000,0.090705,0.09,0.0011753111742667805,0.089,0.09,0.091,0.09,0.093,0.101,61
368817872,46102234,sequential,1000,0.09075699999999999,0.09,0.0015047309444599119,0.088,0.09,0.091,0.089,0.093,0.112,74
374182448,46772806,sequential,1000,0.090728,0.091,0.0013136748995629566,0.088,0.09,0.091,0.09,0.093,0.106,57
379625056,47453132,sequential,1000,0.09075799999999999,0.091,0.0014047809115336856,0.089,0.09,0.091,0.089,0.093,0.111,70
385146832,48143354,sequential,1000,0.09068799999999999,0.09,0.0012705393619523455,0.089,0.09,0.091,0.08995,0.093,0.099,66
390748920,48843615,sequential,1000,0.090766,0.09,0.0015613076832199618,0.089,0.09,0.091,0.089,0.09304999999999995,0.11,73
396432496,49554062,sequential,1000,0.09072,0.09,0.001326408443639953,0.088,0.09,0.091,0.089,0.093,0.102,67
402198736,50274842,sequential,1000,0.090812,0.09,0.002027996244762,0.089,0.09,0.091,0.089,0.093,0.136,74
408048856,51006107,sequential,1000,0.090887,0.091,0.002121492807372143,0.088,0.09,0.091,0.089,0.094,0.135,85
413984064,51748008,sequential,1000,0.090749,0.09,0.001438773459954371,0.089,0.09,0.091,0.089,0.093,0.107,67
420005600,52500700,sequential,1000,0.090791,0.09,0.001495846434817612,0.088,0.09,0.091,0.089,0.094,0.106,86
426114720,53264340,sequential,1000,0.090777,0.09,0.0015503788810076967,0.088,0.09,0.091,0.089,0.094,0.116,76
432312704,54039088,sequential,1000,0.090756,0.09,0.0013886656877709607,0.089,0.09,0.091,0.09,0.093,0.106,72
