footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131072,1024,128,4096,0,sequential,1000,0.093534,0.094,0.0005737361529249954,0.092,0.093,0.094,0.093,0.094,0.095,0
147072,1149,128,4096,0,sequential,1000,0.093517,0.094,0.0005831389637565404,0.092,0.093,0.094,0.093,0.094,0.095,0
165120,1290,128,4096,0,sequential,1000,0.093657,0.093,0.010125308532231148,0.092,0.093,0.094,0.09295,0.094,0.413,1
185344,1448,128,4096,0,sequential,1000,0.093518,0.094,0.0005950042269009781,0.092,0.093,0.094,0.093,0.094,0.095,0
208000,1625,128,4096,0,sequential,1000,0.093539,0.093,0.004043120802774241,0.092,0.093,0.094,0.093,0.094,0.22,1
233472,1824,128,4096,0,sequential,1000,0.09343,0.093,0.0005911424950462029,0.092,0.093,0.094,0.093,0.094,0.096,1
262144,2048,128,4096,0,sequential,1000,0.09693,0.094,0.10550938029070842,0.092,0.093,0.094,0.093,0.095,3.43,17
294144,2298,128,4096,0,sequential,1000,0.093553,0.094,0.0006539255451644471,0.092,0.093,0.094,0.093,0.095,0.096,3
330240,2580,128,4096,0,sequential,1000,0.095112,0.095,0.0008568489891399718,0.093,0.095,0.096,0.094,0.096,0.099,19
370688,2896,128,4096,0,sequential,1000,0.094765,0.095,0.0010539857142703062,0.092,0.094,0.095,0.093,0.096,0.098,44
416128,3251,128,4096,0,sequential,1000,0.094432,0.094,0.0008660982196761101,0.092,0.094,0.095,0.093,0.096,0.099,16
467072,3649,128,4096,0,sequential,1000,0.095466,0.095,0.017439466132281083,0.092,0.094,0.096,0.093,0.097,0.645,3
524288,4096,128,4096,0,sequential,1000,0.09597900000000001,0.096,0.0014023286082532613,0.092,0.095,0.097,0.094,0.098,0.101,2
588416,4597,128,4096,0,sequential,1000,0.09967100000000001,0.099,0.005381237470760486,0.095,0.098,0.101,0.097,0.103,0.258,3
660480,5160,128,4096,0,sequential,1000,0.09700600000000001,0.097,0.0016476281979496113,0.093,0.096,0.098,0.094,0.1,0.101,0
741376,5792,128,4096,0,sequential,1000,0.098294,0.098,0.00940106078822725,0.093,0.097,0.099,0.095,0.101,0.389,16
832128,6501,128,4096,0,sequential,1000,0.095362,0.095,0.0011680412322860535,0.093,0.095,0.096,0.094,0.097,0.1,78
934144,7298,128,4096,0,sequential,1000,0.095472,0.095,0.004983779093625043,0.092,0.094,0.096,0.093,0.099,0.244,15
1048576,8192,128,4096,0,sequential,1000,0.094197,0.094,0.0007448125574570737,0.092,0.094,0.095,0.093,0.095,0.097,4
1176960,9195,128,4096,0,sequential,1000,0.094628,0.094,0.01485396432795825,0.092,0.094,0.095,0.093,0.096,0.563,31
1321088,10321,128,4096,0,sequential,1000,0.094256,0.094,0.0008204493507445407,0.093,0.094,0.095,0.093,0.096,0.098,20
1482880,11585,128,4096,0,sequential,1000,0.094445,0.094,0.005141148354833422,0.093,0.094,0.095,0.093,0.095,0.255,14
1664384,13003,128,4096,0,sequential,1000,0.094392,0.094,0.0007244728158191043,0.093,0.094,0.095,0.093,0.096,0.097,7
1868288,14596,128,4096,0,sequential,1000,0.094544,0.094,0.004511365249723903,0.092,0.094,0.095,0.093,0.096,0.235,18
2097152,16384,128,4096,0,sequential,1000,0.094381,0.094,0.0007185787050527981,0.093,0.094,0.095,0.093,0.095,0.098,8
2353920,18390,128,4096,0,sequential,1000,0.09515,0.094,0.019101580310811207,0.093,0.094,0.095,0.093,0.096,0.698,24
2642176,20642,128,4096,0,sequential,1000,0.091639,0.091,0.0014645217047977908,0.089,0.091,0.092,0.09,0.095,0.096,179
2965760,23170,128,4096,0,sequential,1000,0.09224299999999999,0.091,0.008461296859497636,0.089,0.091,0.094,0.09,0.095,0.354,1
3328896,26007,128,4096,0,sequential,1000,0.092204,0.091,0.0017278221463360676,0.089,0.091,0.094,0.09,0.095,0.097,0
3736576,29192,128,4096,0,sequential,1000,0.09272,0.092,0.005063915801358001,0.089,0.091,0.094,0.09,0.095,0.241,1
4194304,32768,128,4096,0,sequential,1000,0.092793,0.093,0.0018845961643552999,0.09,0.091,0.094,0.09,0.095,0.098,0
