footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131040,2730,48,4096,32,random,1000,0.134465,0.135,0.0009847561854310672,0.132,0.134,0.135,0.133,0.136,0.137,27
147120,3065,48,4096,32,random,1000,0.136904,0.136,0.009146061143160723,0.133,0.136,0.138,0.135,0.139,0.423,2
165120,3440,48,4096,32,random,1000,0.137582,0.137,0.002638225963831801,0.135,0.137,0.138,0.136,0.139,0.214,51
185328,3861,48,4096,32,random,1000,0.13934000000000002,0.139,0.0009040006732393575,0.136,0.139,0.14,0.138,0.141,0.141,22
208032,4334,48,4096,32,random,1000,0.14401499999999998,0.144,0.0036739996289157787,0.142,0.143,0.144,0.143,0.145,0.257,22
233520,4865,48,4096,32,random,1000,0.14957399999999998,0.149,0.02291234382378851,0.146,0.148,0.149,0.147,0.15,0.872,37
262128,5461,48,4096,32,random,1000,0.153241,0.153,0.0009261623922276149,0.15,0.153,0.154,0.152,0.155,0.156,36
294240,6130,48,4096,32,random,1000,0.157492,0.157,0.003172065257525135,0.154,0.157,0.158,0.156,0.159,0.252,45
330240,6880,48,4096,32,random,1000,0.16156600000000002,0.162,0.0030559749643907404,0.157,0.161,0.162,0.159,0.163,0.247,146
370704,7723,48,4096,32,random,1000,0.165197,0.165,0.001127591443060147,0.162,0.165,0.166,0.163,0.167,0.168,82
416112,8669,48,4096,32,random,1000,0.167139,0.167,0.0009479333191620491,0.164,0.167,0.168,0.166,0.169,0.17,36
467088,9731,48,4096,32,random,1000,0.17797,0.173,0.11339002777316178,0.168,0.171,0.175,0.17,0.179,3.742,18
524256,10922,48,4096,32,random,1000,0.195006,0.195,0.006069992488365108,0.184,0.192,0.198,0.187,0.202,0.327,4
588480,12260,48,4096,32,random,1000,0.178479,0.178,0.004045482038635808,0.174,0.177,0.179,0.176,0.181,0.286,20
660528,13761,48,4096,32,random,1000,0.196908,0.196,0.015210420536359043,0.182,0.192,0.199,0.188,0.204,0.61,21
741408,15446,48,4096,32,random,1000,0.229963,0.23,0.008522691315967465,0.211,0.225,0.234,0.219,0.24,0.387,12
832224,17338,48,4096,32,random,1000,0.277886,0.276,0.02328164596928316,0.257,0.271,0.281,0.264,0.2890499999999999,0.919,28
934128,19461,48,4096,32,random,1000,0.330925,0.332,0.012341137657391182,0.3,0.325,0.337,0.31195,0.345,0.506,34
1048560,21845,48,4096,32,random,1000,0.395445,0.395,0.02071642211254504,0.365,0.387,0.401,0.37795,0.412,0.905,29
1176960,24520,48,4096,32,random,1000,0.465161,0.46,0.030911366705333357,0.435,0.452,0.47,0.443,0.49904999999999994,1.124,58
1321104,27523,48,4096,32,random,1000,0.525406,0.524,0.017772592074006235,0.495,0.515,0.534,0.504,0.549,0.852,16
1482864,30893,48,4096,32,random,1000,0.587375,0.587,0.01670411333781002,0.553,0.577,0.597,0.564,0.611,0.78,7
1664496,34677,48,4096,32,random,1000,0.649172,0.648,0.013707454552553166,0.619,0.641,0.656,0.63295,0.67,0.83,11
1868304,38923,48,4096,32,random,1000,0.699642,0.698,0.014342298893048396,0.67,0.692,0.706,0.682,0.719,0.947,12
2097120,43690,48,4096,32,random,1000,0.742569,0.742,0.015175293358895201,0.694,0.734,0.751,0.724,0.76,0.997,11
2353968,49041,48,4096,32,random,1000,0.769843,0.769,0.01149645682458381,0.746,0.764,0.77525,0.755,0.786,0.94,13
2642208,55046,48,4096,32,random,1000,0.7868080000000001,0.786,0.012489801084530178,0.754,0.78,0.793,0.77,0.803,0.976,27
2965776,61787,48,4096,32,random,1000,0.773977,0.773,0.01433547965632741,0.751,0.767,0.779,0.76,0.789,0.978,5
3328992,69354,48,4096,32,random,1000,0.7903950000000001,0.79,0.017015595949172794,0.77,0.784,0.795,0.777,0.804,1.225,9
3736656,77847,48,4096,32,random,1000,0.806179,0.806,0.014801217349766697,0.783,0.8,0.811,0.792,0.819,1.149,7
4194288,87381,48,4096,32,random,1000,0.817445,0.817,0.009888718914083933,0.791,0.812,0.822,0.805,0.829,0.97,12
