footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3932160,30720,128,4096,0,random,1000,0.953209,0.933,0.0934182224369704,0.882,0.9197500000000001,0.964,0.9,1.0431,2.644,71
4413696,34482,128,4096,0,random,1000,0.896552,0.891,0.06774749455897996,0.867,0.889,0.894,0.886,0.90105,2.193,59
4954112,38704,128,4096,0,random,1000,0.891978,0.892,0.02281451331977121,0.868,0.889,0.894,0.877,0.897,1.548,74
5560832,43444,128,4096,0,random,1000,0.892035,0.891,0.02003230061845289,0.881,0.889,0.893,0.886,0.897,1.369,10
6241792,48764,128,4096,0,random,1000,0.882611,0.881,0.02416185991339397,0.874,0.879,0.883,0.877,0.887,1.412,10
7006208,54736,128,4096,0,random,1000,0.88463,0.884,0.018109805771047496,0.861,0.881,0.88625,0.878,0.89,1.364,16
7864320,61440,128,4096,0,random,1000,0.887347,0.886,0.024844875907495675,0.875,0.884,0.888,0.881,0.891,1.612,17
8827392,68964,128,4096,0,random,1000,0.861278,0.861,0.021708430896128183,0.833,0.842,0.88,0.838,0.884,1.151,2
9908352,77409,128,4096,0,random,1000,0.8833840000000001,0.883,0.016246368470784124,0.86,0.881,0.885,0.875,0.888,1.309,48
11121792,86889,128,4096,0,random,1000,0.877912,0.879,0.008174048634004517,0.855,0.876,0.881,0.86395,0.884,1.024,83
12483712,97529,128,4096,0,random,1000,0.876298,0.876,0.004675152730452031,0.869,0.874,0.878,0.872,0.881,0.953,11
14012544,109473,128,4096,0,random,1000,0.887368,0.886,0.015492662734294536,0.877,0.884,0.888,0.882,0.892,1.262,22
15728640,122880,128,4096,0,random,1000,0.886011,0.885,0.028959515405692353,0.859,0.883,0.888,0.869,0.89,1.494,90
17654784,137928,128,4096,0,random,1000,0.886033,0.885,0.02055759046010805,0.874,0.883,0.887,0.879,0.891,1.381,15
19816832,154819,128,4096,0,random,1000,0.886061,0.885,0.02313041926328391,0.861,0.883,0.887,0.879,0.891,1.457,23
22243584,173778,128,4096,0,random,1000,0.888728,0.887,0.040810139469052084,0.874,0.884,0.889,0.881,0.893,2.034,13
24967552,195059,128,4096,0,random,1000,0.914397,0.887,0.07783315097302941,0.856,0.883,0.906,0.878,1.1233499999999996,1.556,111
28025216,218947,128,4096,0,random,1000,0.897755,0.893,0.034742423792979836,0.876,0.888,0.9,0.883,0.92,1.578,59
31457280,245760,128,4096,0,random,1000,0.925678,0.917,0.03856375862749219,0.872,0.897,0.9482499999999999,0.881,1.002,1.164,27
35309568,275856,128,4096,0,random,1000,1.093511,1.049,0.12133790325271725,0.939,0.996,1.16825,0.966,1.3451,1.672,2
39633664,309638,128,4096,0,random,1000,1.655293,1.603,0.1437327111107393,1.426,1.556,1.709,1.506,1.97,2.075,90
44487296,347557,128,4096,0,random,1000,1.748115,1.8425,0.29622962675392,1.02,1.786,1.9132500000000001,1.084,2.0010499999999998,2.472,170
49935232,390119,128,4096,0,random,1000,1.937741,2.012,0.2854954072249614,1.012,1.96475,2.065,1.1019,2.144,2.508,105
56050432,437894,128,4096,0,random,1000,2.117299,2.0965,0.12272934486540328,1.902,2.022,2.185,1.964,2.4,2.544,12
62914560,491520,128,4096,0,random,1000,2.253315,2.345,0.24438417583878133,1.568,2.296,2.382,1.6719,2.4240999999999997,2.888,176
70619136,551712,128,4096,0,random,1000,2.318414,2.2915,0.09075941756025033,2.151,2.248,2.407,2.198,2.4570499999999997,2.83,3
79267328,619276,128,4096,0,random,1000,2.420691,2.419,0.04225056957757647,2.3,2.397,2.43925,2.36595,2.47605,2.93,23
88974592,695114,128,4096,0,random,1000,2.406231,2.417,0.07746179683540118,1.977,2.395,2.439,2.2359,2.476,2.928,78
99870592,780239,128,4096,0,random,1000,2.431208,2.429,0.043534353974487516,2.335,2.408,2.449,2.37995,2.485,3.034,20
112100992,875789,128,4096,0,random,1000,2.399354,2.399,0.038351160288777386,2.295,2.376,2.418,2.3409500000000003,2.453,2.866,20
125829120,983040,128,4096,0,random,1000,2.276132,2.275,0.04457563867813408,2.17,2.248,2.30225,2.21095,2.342,2.708,10
