footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3932160,122880,32,4096,0,random,1000,0.831803,0.824,0.06986747207860504,0.766,0.804,0.848,0.787,0.875,2.015,7
4413696,137928,32,4096,0,random,1000,0.800335,0.799,0.03277686833878578,0.774,0.793,0.804,0.783,0.814,1.543,16
4954208,154819,32,4096,0,random,1000,0.812486,0.812,0.01664622782797653,0.78,0.807,0.818,0.796,0.826,1.204,27
5560896,173778,32,4096,0,random,1000,0.810134,0.8095000000000001,0.019087125565740954,0.786,0.804,0.814,0.797,0.823,1.348,19
6241888,195059,32,4096,0,random,1000,0.8207399999999999,0.82,0.01763074709827247,0.798,0.815,0.825,0.8089500000000001,0.833,1.31,11
7006304,218947,32,4096,0,random,1000,0.831849,0.832,0.012094729491868827,0.808,0.826,0.836,0.82,0.844,1.107,6
7864320,245760,32,4096,0,random,1000,0.8295,0.83,0.0123666055541904,0.789,0.825,0.834,0.81495,0.84,1.032,41
8827392,275856,32,4096,0,random,1000,0.844683,0.844,0.03185116964897848,0.812,0.838,0.847,0.831,0.854,1.671,19
9908416,309638,32,4096,0,random,1000,0.843795,0.843,0.01378989253533675,0.819,0.839,0.847,0.831,0.854,1.111,22
11121824,347557,32,4096,0,random,1000,0.854187,0.851,0.04165488158859847,0.83,0.847,0.855,0.841,0.86105,1.655,21
12483808,390119,32,4096,0,random,1000,0.8550289999999999,0.856,0.014446551902162054,0.808,0.851,0.86,0.835,0.866,1.092,71
14012608,437894,32,4096,0,random,1000,0.854958,0.854,0.010218642603431078,0.837,0.851,0.859,0.845,0.864,1.063,9
15728640,491520,32,4096,0,random,1000,0.862327,0.856,0.02616085742978357,0.811,0.85,0.867,0.839,0.905,1.349,114
17654784,551712,32,4096,0,random,1000,0.859945,0.86,0.010464773599389838,0.834,0.856,0.863,0.85,0.869,1.072,16
19816832,619276,32,4096,0,random,1000,0.865161,0.864,0.03762651769475663,0.832,0.859,0.868,0.848,0.874,1.581,37
22243648,695114,32,4096,0,random,1000,0.868524,0.868,0.020095304059537022,0.844,0.864,0.871,0.859,0.877,1.446,15
24967648,780239,32,4096,0,random,1000,0.873344,0.873,0.01171379003042469,0.844,0.869,0.877,0.863,0.884,1.146,17
28025248,875789,32,4096,0,random,1000,0.898706,0.897,0.02318463049287375,0.861,0.885,0.909,0.873,0.92605,1.38,6
31457280,983040,32,4096,0,random,1000,0.998698,1.006,0.03747526105567766,0.902,0.972,1.025,0.9339500000000001,1.048,1.267,2
35309600,1103425,32,4096,0,random,1000,1.227619,1.226,0.0404273200596726,1.135,1.201,1.252,1.169,1.29,1.667,6
39633664,1238552,32,4096,0,random,1000,1.523967,1.525,0.04454570945928722,1.337,1.501,1.551,1.44295,1.591,1.788,38
44487296,1390228,32,4096,0,random,1000,1.754364,1.753,0.04330092925647755,1.658,1.73,1.773,1.70295,1.8070499999999998,2.538,16
49935296,1560478,32,4096,0,random,1000,1.656954,1.672,0.06997253775618004,1.366,1.637,1.697,1.47395,1.736,1.898,76
56050496,1751578,32,4096,0,random,1000,1.785942,1.784,0.036922647764182866,1.707,1.763,1.8042500000000001,1.737,1.838,2.409,11
62914560,1966080,32,4096,0,random,1000,1.837263,1.836,0.043850732236961766,1.73,1.807,1.863,1.769,1.909,2.128,10
70619200,2206850,32,4096,0,random,1000,1.8991149999999999,1.897,0.041911816655632754,1.798,1.872,1.921,1.844,1.955,2.446,12
79267360,2477105,32,4096,0,random,1000,1.926684,1.926,0.04010279763780052,1.829,1.903,1.948,1.871,1.9840499999999999,2.34,10
88974624,2780457,32,4096,0,random,1000,2.086228,2.085,0.04083885194061934,1.968,2.05875,2.11,2.024,2.14805,2.403,13
99870624,3120957,32,4096,0,random,1000,2.216903,2.213,0.04357407820357525,2.11,2.188,2.238,2.154,2.286,2.563,20
112100992,3503156,32,4096,0,random,1000,2.234823,2.231,0.0392865766656514,2.137,2.211,2.257,2.18095,2.292,2.562,13
125829120,3932160,32,4096,0,random,1000,2.262391,2.261,0.03854454307422518,2.174,2.239,2.284,2.205,2.322,2.693,12
