footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3932160,491520,8,4096,0,sequential,1000,0.09127099999999999,0.091,0.009992367407496905,0.089,0.09,0.091,0.09,0.092,0.406,19
4413696,551712,8,4096,0,sequential,1000,0.09147,0.091,0.017788578738435895,0.089,0.09,0.091,0.09,0.092,0.653,12
4954208,619276,8,4096,0,sequential,1000,0.09092599999999999,0.091,0.0007328444999186813,0.089,0.09,0.091,0.09,0.092,0.097,13
5560912,695114,8,4096,0,sequential,1000,0.091109,0.091,0.0038616099014570373,0.089,0.091,0.091,0.09,0.092,0.211,418
6241912,780239,8,4096,0,sequential,1000,0.090957,0.091,0.0009839304442485356,0.089,0.09,0.091,0.09,0.092,0.105,18
7006312,875789,8,4096,0,sequential,1000,0.091305,0.091,0.012008504452227979,0.089,0.09,0.091,0.09,0.092,0.47,10
7864320,983040,8,4096,0,sequential,1000,0.09111,0.091,0.003607341529840627,0.089,0.09,0.091,0.09,0.092,0.2,28
8827400,1103425,8,4096,0,sequential,1000,0.090955,0.091,0.0008807671376423805,0.089,0.09,0.091,0.09,0.092,0.098,17
9908416,1238552,8,4096,0,sequential,1000,0.09106299999999999,0.091,0.0034958907666362026,0.089,0.091,0.091,0.09,0.092,0.199,404
11121824,1390228,8,4096,0,sequential,1000,0.090895,0.091,0.0006711374117313281,0.089,0.09,0.091,0.09,0.092,0.093,6
12483824,1560478,8,4096,0,sequential,1000,0.09106299999999999,0.091,0.004047890366155736,0.089,0.091,0.091,0.09,0.092,0.217,421
14012624,1751578,8,4096,0,sequential,1000,0.091014,0.091,0.002476678812025883,0.089,0.091,0.091,0.09,0.092,0.166,417
15728640,1966080,8,4096,0,sequential,1000,0.091185,0.091,0.007185430077970657,0.089,0.091,0.091,0.09,0.092,0.317,417
17654800,2206850,8,4096,0,sequential,1000,0.090935,0.091,0.0007398123561568321,0.089,0.091,0.091,0.09,0.092,0.099,420
19816840,2477105,8,4096,0,sequential,1000,0.09125799999999999,0.091,0.01084135466493791,0.089,0.09,0.091,0.09,0.092,0.433,13
22243656,2780457,8,4096,0,sequential,1000,0.09095299999999999,0.091,0.0007066047624310858,0.089,0.091,0.091,0.09,0.092,0.095,420
24967656,3120957,8,4096,0,sequential,1000,0.090923,0.091,0.0007782523219860496,0.089,0.09075,0.091,0.09,0.092,0.099,402
28025248,3503156,8,4096,0,sequential,1000,0.091046,0.091,0.00291416821346613,0.089,0.091,0.091,0.09,0.092,0.18,430
31457280,3932160,8,4096,0,sequential,1000,0.09095299999999999,0.091,0.0008726697843700981,0.089,0.09,0.091,0.09,0.092,0.103,21
35309600,4413700,8,4096,0,sequential,1000,0.091233,0.091,0.006224102381102872,0.089,0.09075,0.091,0.09,0.092,0.285,450
39633688,4954211,8,4096,0,sequential,1000,0.091344,0.091,0.0030375797752307506,0.089,0.09,0.091,0.09,0.094,0.17,99
44487312,5560914,8,4096,0,sequential,1000,0.091154,0.091,0.0012821575285150927,0.089,0.09,0.091,0.09,0.094,0.101,83
49935312,6241914,8,4096,0,sequential,1000,0.091121,0.091,0.0011754746874096198,0.089,0.09,0.091,0.09,0.093,0.1,73
56050496,7006312,8,4096,0,sequential,1000,0.091158,0.091,0.0012793250848289796,0.089,0.09,0.091,0.09,0.093,0.101,84
62914560,7864320,8,4096,0,sequential,1000,0.091251,0.091,0.00151799318289092,0.089,0.09,0.092,0.09,0.094,0.109,24
70619200,8827400,8,4096,0,sequential,1000,0.091324,0.091,0.0031078421264090434,0.089,0.091,0.091,0.09,0.094,0.18,470
79267376,9908422,8,4096,0,sequential,1000,0.091639,0.091,0.012789693321391848,0.089,0.09,0.091,0.09,0.094,0.492,102
88974624,11121828,8,4096,0,sequential,1000,0.09136899999999999,0.091,0.001910625418413953,0.089,0.091,0.091,0.09,0.09404999999999995,0.115,464
99870632,12483829,8,4096,0,sequential,1000,0.091295,0.091,0.0015762168186704084,0.089,0.09,0.091,0.09,0.094,0.106,124
112101000,14012625,8,4096,0,sequential,1000,0.091457,0.091,0.0032549571035185316,0.089,0.09,0.092,0.09,0.095,0.173,34
125829120,15728640,8,4096,0,sequential,1000,0.091362,0.091,0.0017256691264358698,0.089,0.091,0.092,0.09,0.095,0.115,83
