footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3932032,28912,136,4096,56,random,1000,0.916093,0.903,0.08681070469388812,0.854,0.884,0.928,0.868,0.96605,2.166,11
4413608,32453,136,4096,56,random,1000,0.886503,0.881,0.05949976649713185,0.856,0.876,0.888,0.871,0.902,2.052,31
4954208,36428,136,4096,56,random,1000,0.891586,0.889,0.0262030762546157,0.875,0.886,0.894,0.882,0.903,1.545,17
5560904,40889,136,4096,56,random,1000,0.892821,0.892,0.012124684200710837,0.877,0.889,0.895,0.885,0.901,1.113,25
6241856,45896,136,4096,56,random,1000,0.894983,0.894,0.01008446366483649,0.883,0.891,0.897,0.889,0.901,1.086,7
7006312,51517,136,4096,56,random,1000,0.887602,0.886,0.013048059160191139,0.874,0.883,0.89,0.88,0.897,1.182,21
7864200,57825,136,4096,56,random,1000,0.887475,0.887,0.0068807499387581105,0.875,0.884,0.89,0.881,0.894,0.999,10
8827352,64907,136,4096,56,random,1000,0.892725,0.893,0.013459291494262528,0.843,0.889,0.897,0.876,0.903,1.203,67
9908416,72856,136,4096,56,random,1000,0.889975,0.889,0.010970904052799648,0.873,0.886,0.893,0.88,0.9,1.097,25
11121808,81778,136,4096,56,random,1000,0.888141,0.886,0.020597508984738333,0.857,0.883,0.891,0.879,0.9,1.474,36
12483712,91792,136,4096,56,random,1000,0.884934,0.887,0.012913109323179782,0.839,0.884,0.891,0.855,0.897,0.992,152
14012624,103034,136,4096,56,random,1000,0.886315,0.886,0.006496921192763924,0.874,0.883,0.888,0.879,0.895,0.991,45
15728536,115651,136,4096,56,random,1000,0.860447,0.853,0.023514253360698307,0.834,0.846,0.87825,0.84,0.886,1.318,4
17654704,129814,136,4096,56,random,1000,0.888474,0.887,0.01812815362782305,0.873,0.884,0.891,0.88,0.898,1.405,29
19816832,145712,136,4096,56,random,1000,0.88766,0.889,0.01334122889348611,0.836,0.885,0.894,0.854,0.902,0.995,110
22243616,163556,136,4096,56,random,1000,0.886876,0.886,0.015143644011728285,0.847,0.883,0.89,0.876,0.898,1.269,62
24967560,183585,136,4096,56,random,1000,0.891557,0.891,0.01016356478058014,0.864,0.887,0.895,0.881,0.902,1.023,34
28025248,206068,136,4096,56,random,1000,0.88237,0.881,0.012059209116875146,0.851,0.877,0.886,0.872,0.898,1.09,50
31457208,231303,136,4096,56,random,1000,0.885051,0.885,0.017378561891405554,0.857,0.881,0.888,0.871,0.894,1.303,65
35309544,259629,136,4096,56,random,1000,0.8877470000000001,0.887,0.015200396147569415,0.856,0.883,0.891,0.878,0.898,1.272,27
39633664,291424,136,4096,56,random,1000,0.887525,0.888,0.012029716916415332,0.843,0.884,0.893,0.868,0.899,1.055,75
44487232,327112,136,4096,56,random,1000,0.895302,0.895,0.012748306370468018,0.847,0.89,0.9,0.881,0.912,1.101,51
49935256,367171,136,4096,56,random,1000,0.919393,0.916,0.01578098826406604,0.886,0.908,0.92725,0.899,0.95,1.017,18
56050496,412136,136,4096,56,random,1000,0.9816549999999999,0.973,0.041730605296573624,0.911,0.954,1.00225,0.937,1.043,1.6,10
62914552,462607,136,4096,56,random,1000,1.056009,1.054,0.048286172694400574,0.951,1.02375,1.088,0.99,1.1230499999999999,1.739,4
70619088,519258,136,4096,56,random,1000,1.629464,1.676,0.1178376527957699,1.405,1.505,1.725,1.45395,1.7830499999999998,1.958,0
79267328,582848,136,4096,56,random,1000,1.691371,1.719,0.13375534326093613,1.09,1.627,1.78725,1.475,1.854,1.979,26
88974600,654225,136,4096,56,random,1000,1.73871,1.675,0.16579955184315603,1.489,1.629,1.74925,1.56995,2.058,2.253,230
99870512,734342,136,4096,56,random,1000,1.832394,1.694,0.27658408399530066,1.444,1.599,2.13525,1.52,2.24205,2.726,0
112100992,824272,136,4096,56,random,1000,2.112201,2.127,0.08440664120837933,1.886,2.0467500000000003,2.173,1.969,2.2340999999999998,2.464,1
125829104,925214,136,4096,56,random,1000,2.131179,2.134,0.05105539748755868,1.984,2.098,2.167,2.042,2.21,2.3,6
