num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,6.686393,5.9975000000000005,5.522731481936503,5.953,5.981,6.116,5.967,6.1751499999999995,75.344,15
3,32768,random,1000,6.537286,6.116,4.4148341924868655,5.957,6.106,6.128,5.9849000000000006,6.174,67.2,177
4,32768,random,1000,6.712798,6.12,4.998907496579164,5.955,6.1,6.243,5.973,6.275,60.286,16
5,32768,random,1000,6.854184,6.239,5.296690730714872,6.088,6.12,6.262,6.102,6.2871,55.189,17
6,32768,random,1000,6.936926,6.247,5.7237127777768935,5.953,5.995,6.265,5.969,6.5092,63.473,36
7,32768,random,1000,6.27176,6.259,0.30096653178261074,6.231,6.251,6.269,6.239,6.29805,15.764,56
8,32768,random,1000,6.279086,6.26,0.37574396885929406,6.231,6.251,6.269,6.241,6.30005,15.925,61
9,32768,random,1000,15.277391,15.235,0.5868990872864411,14.779,15.212,15.255,15.16695,15.28505,25.07,34
10,32768,random,1000,18.294509,18.124,1.013411411326914,18.076,18.102,18.145,18.084,18.174,30.137,49
11,32768,random,1000,18.229905,18.121,1.247899584641468,18.077,18.1,18.143,18.08295,18.165,42.768,24
12,32768,random,1000,18.10148,18.056,0.6017939161519644,18.012,18.036,18.076,18.019,18.094,28.639,6
13,32768,random,1000,18.154197,18.12,0.4849135194158978,18.078,18.098,18.142,18.082,18.16105,26.709,5
14,32768,random,1000,18.10336,18.056,0.5471645743937298,18.011,18.035,18.078,18.018,18.096,28.133,21
15,32768,random,1000,18.188336,18.123,0.8631175197833474,18.076,18.098,18.142,18.082,18.156,32.838,9
16,32768,random,1000,18.180888,18.122,0.6720041942526052,18.078,18.102,18.143,18.084,18.159,30.164,17
17,32768,random,1000,18.108692,18.057,0.6858727582989257,18.012,18.034,18.078,18.018,18.094,29.425,6
18,32768,random,1000,18.157815,18.122,0.5205858299852018,18.076,18.098,18.143250000000002,18.082,18.159,26.9,6
19,32768,random,1000,18.18386,18.122,0.7935964501720794,18.077,18.1,18.142,18.082,18.159,35.696,12
20,32768,random,1000,21.063747,20.9615,0.9119454849707621,20.648,20.881,21.07,20.782,21.2921,38.038,28
21,32768,random,1000,20.952845,20.8545,0.8712068746247319,20.714,20.801,20.99425,20.746,21.081,40.827,7
22,32768,random,1000,23.938277,23.866500000000002,1.0818921604845457,21.605,23.783,23.932,23.704,24.2718,39.333,101
23,32768,random,1000,23.35849,23.553,1.1865636338423478,21.323,23.49,23.668,21.437649999999998,23.73205,42.554,158
24,32768,random,1000,23.87748,23.821,0.5983506255291048,23.605,23.76475,23.887,23.6939,24.002,34.33,20
25,32768,random,1000,23.824553,23.77,0.7206135448852402,23.589,23.722,23.817,23.65,23.884050000000002,38.247,9
26,32768,random,1000,23.781479,23.708,1.116614327830391,23.543,23.638,23.779,23.587,23.831,54.115,10
27,32768,random,1000,23.374511,23.317,0.7976166888056325,23.042,23.24375,23.386,23.15,23.47505,40.821,8
28,32768,random,1000,23.164069,23.115,0.6311699642432003,22.751,23.009,23.216,22.868,23.32505,32.116,8
29,32768,random,1000,23.19342,23.13,0.6842623740909598,22.95,23.05275,23.198,22.997,23.2591,33.063,14
30,32768,random,1000,23.048121,22.8485,1.2003367121693735,22.642,22.801,22.904,22.73395,23.0034,35.976,47
31,32768,random,1000,22.879966,22.794,0.9431120735242589,22.683,22.753,22.842,22.7089,22.8981,41.601,14
32,32768,random,1000,22.703021,22.655,0.6266342801667333,22.513,22.6,22.711,22.54795,22.765,35.483,7
33,32768,random,1000,22.418223,22.373,0.7095287720377161,22.07,22.309,22.42725,22.197,22.501,36.952,21
34,32768,random,1000,22.325249,22.272,0.6602500747142405,22.042,22.213,22.328,22.12895,22.396,32.949,10
35,32768,random,1000,22.185897,22.14,0.5790386516901537,21.923,22.086,22.191499999999998,22.01295,22.264,31.083,11
36,32768,random,1000,22.091794,22.014,0.8558700456839807,21.747,21.965,22.084,21.87995,22.166050000000002,41.877,17
37,32768,random,1000,22.07442,22.04,0.554080290723798,21.9,21.967,22.092,21.924,22.134,32.141,7
38,32768,random,1000,21.901174,21.8345,0.7535129577528853,21.542,21.741,21.902,21.63895,21.97905,34.091,18
39,32768,random,1000,21.881166,21.828,0.6736463418128521,21.691,21.780749999999998,21.873,21.73195,21.9311,35.962,9
40,32768,random,1000,21.685369,21.608,0.9829460177002157,21.437,21.556,21.663,21.484,21.721,41.003,12
