num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,sequential,1000,6.380211,6.118,3.782803431091454,6.088,6.108,6.128,6.098,6.165,82.966,59
3,262144,sequential,1000,6.359461,6.118,3.683513685538653,6.089,6.108,6.128,6.098,6.162,81.731,58
4,262144,sequential,1000,9.779378,9.36,4.892487438763073,9.31,9.346,9.378,9.324,9.42515,85.259,50
5,262144,sequential,1000,11.381958000000001,10.7,5.963872663243187,10.608,10.684,10.723,10.656,10.9321,88.463,183
6,262144,sequential,1000,11.936844,11.406,5.362621671613322,11.352,11.385,11.469,11.367,11.5731,89.275,37
7,262144,sequential,1000,12.326231,11.708,5.338965331827269,11.085,11.692,11.726,11.668,11.9901,81.938,130
8,262144,sequential,1000,12.228473,11.813,4.4678713205964655,11.665,11.716,11.835,11.678,11.865,82.341,28
9,262144,sequential,1000,17.283231,16.958,3.4533672160324578,16.879,16.933,16.986,16.909,17.0522,74.655,48
10,262144,sequential,1000,17.112373,17.0465,0.8440163229608918,16.958,17.02,17.079,16.981,17.10605,31.092,7
11,262144,sequential,1000,17.246969,17.088,2.185849721514278,17.028,17.062,17.109,17.041,17.165,65.635,21
12,262144,sequential,1000,17.217933,17.158,0.7929830897892411,17.072,17.133,17.185,17.085,17.209,31.101,8
13,262144,sequential,1000,17.251871,17.199,0.694810081539127,17.124,17.171,17.232,17.135,17.258,29.454,9
14,262144,sequential,1000,17.288475,17.235,0.7140835992807577,17.151,17.21275,17.266,17.167,17.296,29.322,8
15,262144,sequential,1000,17.317785,17.266,0.7126272225598271,17.177,17.241,17.298,17.195,17.324,29.704,7
16,262144,sequential,1000,17.315555,17.26,0.7322638686623479,17.204,17.237,17.28,17.214,17.3341,29.395,21
17,262144,sequential,1000,17.357853,17.29,0.773793996189903,17.073,17.264,17.31325,17.24,17.366,29.999,34
18,262144,sequential,1000,17.692269,17.3095,3.89231580051387,17.246,17.284,17.332,17.25995,17.387050000000002,69.712,37
19,262144,sequential,1000,17.401467,17.329,0.806687086152968,17.274,17.306,17.35,17.284,17.40405,33.637,24
20,262144,sequential,1000,17.458195,17.383,1.1252932648456166,17.286,17.359,17.407,17.316,17.429,41.615,14
21,262144,sequential,1000,17.565028,17.403,2.3924203331075136,17.3,17.377,17.429,17.336,17.453,74.926,11
22,262144,sequential,1000,17.478673,17.411,0.8922577418823268,17.312,17.387,17.436,17.345,17.45805,33.567,13
23,262144,sequential,1000,17.924992,17.415,4.350409499432065,17.344,17.389,17.45025,17.356,17.969150000000003,85.461,100
24,262144,sequential,1000,17.731269,17.429,3.10534689108205,17.354,17.407,17.457,17.371,17.50105,66.695,45
25,262144,sequential,1000,17.536178,17.431,1.2245208285593085,17.3,17.405,17.458,17.377,17.49505,47.177,35
26,262144,sequential,1000,19.698806,19.627,0.7805759458061536,19.277,19.57075,19.688,19.478,19.89115,35.438,78
27,262144,sequential,1000,19.627341,19.557,0.7811807448184287,19.295,19.521,19.597,19.45795,19.7531,32.418,86
28,262144,sequential,1000,19.58873,19.505,0.8137145829604644,19.277,19.45,19.581,19.379849999999998,19.76655,32.313,49
29,262144,sequential,1000,19.722656,19.408,3.797947756199764,19.204,19.357,19.479,19.295,19.68,94.91,57
30,262144,sequential,1000,19.632841,19.3735,2.5321041394642703,19.108,19.333,19.416,19.2829,19.5452,68.622,59
31,262144,sequential,1000,19.401918,19.3215,0.9208277618768035,19.106,19.267,19.384,19.18395,19.51915,35.67,32
32,262144,sequential,1000,19.498859,19.241,3.0173717977214354,18.963,19.18675,19.307,19.093,19.4321,68.769,36
33,262144,sequential,1000,19.294259,19.207,0.7988010484682866,18.743,19.164,19.257,19.096,19.421,31.057,61
34,262144,sequential,1000,19.680909,19.165,4.830402549426757,18.94,19.116,19.216,19.051,19.394399999999997,87.393,64
35,262144,sequential,1000,19.176823,19.11,0.8494662963647585,18.774,19.035,19.176,18.944,19.3241,33.603,26
36,262144,sequential,1000,19.341237,19.083,3.034068709136753,18.864,19.043,19.124,18.97295,19.214299999999998,68.309,48
37,262144,sequential,1000,19.205102,19.083,0.8314937061574065,18.807,19.0085,19.32325,18.93995,19.412,32.719,7
38,262144,sequential,1000,19.174618,19.003,2.2374934079962845,18.71,18.955,19.057,18.866,19.269199999999998,66.988,84
39,262144,sequential,1000,19.02247,18.96,0.7078404687704916,18.733,18.912,19.017,18.855800000000002,19.1501,30.058,36
40,262144,sequential,1000,20.265876,18.9765,7.2093280899215655,18.65,18.914749999999998,19.078,18.823900000000002,20.0448,80.416,158
