num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,16384,random,200,6.264685,6.2645,0.01652729659270736,6.229,6.255,6.273,6.241,6.295,6.372,7
3,16384,random,200,6.343385,6.261,1.109743827913886,6.227,6.255,6.271,6.241,6.29725,21.955,12
4,16384,random,200,6.26474,6.263,0.01454165391186512,6.239,6.255,6.273,6.245,6.294099999999999,6.321,7
5,16384,random,200,6.32163,6.2620000000000005,0.7955028706333686,6.231,6.2545,6.2692499999999995,6.24295,6.30905,17.51,15
6,16384,random,200,6.356605,6.265,1.1416919908560823,6.148,6.255,6.275,6.243,6.334949999999999,22.381,18
7,16384,random,200,7.271785,6.265,5.271004771891362,6.096,6.2525,6.307,6.19385,7.087,48.204,45
8,16384,random,200,6.89342,6.259,4.88621691519232,6.057,6.249,6.271,6.237,6.557549999999999,48.969,31
9,16384,random,200,11.681465,11.619499999999999,0.9459651415459771,11.32,11.601,11.63525,11.581,11.6541,24.98,6
10,16384,random,200,11.638205,11.5805,0.7977868274704886,11.501,11.551,11.60725,11.52295,11.64025,22.852,1
11,16384,random,200,11.626405,11.565,0.8420548753140741,11.521,11.54775,11.583,11.53195,11.6191,23.47,2
12,16384,random,200,11.699995,11.624500000000001,0.7822975856652559,11.549,11.605,11.64,11.589,11.6905,22.519,11
13,16384,random,200,12.853225,12.699,2.221110205980458,12.623,12.67775,12.716,12.6489,12.736,44.105,1
14,16384,random,200,12.65027,12.5455,0.8894540740528688,12.438,12.506,12.581,12.468,12.93405,24.907,25
15,16384,random,200,12.59838,12.599499999999999,0.027310159723454602,12.53,12.579,12.615,12.55495,12.643,12.695,1
16,16384,random,200,12.375315,12.376,0.02294576903446278,12.308,12.359,12.39225,12.339,12.41305,12.423,1
17,16384,random,200,13.030415,12.967,0.918247578735861,12.895,12.94275,12.98325,12.92385,13.01215,25.945,2
18,16384,random,200,14.792395,14.604,2.450658844645496,14.521,14.582,14.634,14.54695,14.79955,49.264,19
19,16384,random,200,16.36253,16.2395,1.2451392201225682,16.185,16.218,16.262,16.19895,16.27905,30.241,2
20,16384,random,200,17.573195000000002,17.508,0.8971780476700851,17.461,17.48575,17.532,17.4709,17.5462,30.189,2
21,16384,random,200,17.786865,17.691,1.447080646947102,17.534,17.62275,17.74375,17.5579,17.815250000000002,38.12,1
22,16384,random,200,17.857975,17.774,0.9945139589001434,17.61,17.72975,17.812,17.671,17.867150000000002,31.656,7
23,16384,random,200,17.96137,17.788,1.2520693998377448,17.635,17.75575,17.810499999999998,17.66195,18.27535,30.707,34
24,16384,random,200,17.787835,17.6075,1.6190338820826629,17.539,17.582,17.664250000000003,17.5479,17.874299999999998,40.101,33
